cycleNo,n_roi,max_active_learning_qc_score,mean_active_learning_qc_score,n_immediate,n_with_visual_asset
116.0,11,0.4628752845220501,0.2296229530530506,1,5.0
156.0,10,0.46187387847744943,0.36047688173560505,1,6.0
147.0,4,0.4365721073227209,0.36691447571281777,0,0.0
86.0,6,0.4137966704997303,0.29095376093149744,1,6.0
151.0,4,0.40568892547941604,0.3532173770757535,0,0.0
146.0,4,0.3899138671968182,0.293955919600268,0,0.0
152.0,4,0.38806525060942454,0.31885204031618497,0,0.0
153.0,4,0.38694439295161775,0.34623649126376144,0,0.0
154.0,4,0.3820563600680058,0.3250770106849396,0,0.0
155.0,4,0.37969156799058623,0.3189796163721977,0,0.0
60.0,6,0.37544821890460955,0.3242847799141079,1,6.0
148.0,4,0.36597778400953207,0.30446876349159496,0,0.0
150.0,4,0.3342272344114818,0.28563496599012766,0,0.0
62.0,4,0.3318082382944181,0.2896628293390883,0,4.0
40.0,4,0.31364843871569503,0.2514223840740256,0,0.0
157.0,4,0.2968541006901156,0.27517524283058115,0,4.0
158.0,4,0.27484665836093203,0.2503336511141286,0,4.0
58.0,3,0.252679945929551,0.24779050174326142,0,3.0
88.0,4,0.17908237030526633,0.15189682652327952,0,4.0
90.0,3,0.1339331953109334,0.12540171443075307,0,3.0
118.0,2,0.1325122180092397,0.1257832802763035,0,2.0
