source_table,source_path,row_index,feature_set,method,target,split,auc,average_precision,spearman_rho,empirical_p_ge_observed,null_auc_p95,source_eta2,n_eval,leakage_penalty,control_bonus,auc_component,ap_component,rho_component,scientific_score,promotion_status
echem_conditioned_residual_dictionary,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_conditioned_residual_dictionary/echem_conditioned_residual_dictionary_metrics.csv,21,echem_context,leave_source,future_any_drop_within_8cycles,leave_source,0.9166666666666666,0.9577408897831432,0.7217574537964584,0.0033222591362126,0.6057484567901235,0.0,72.0,0.08,0.22,0.9166666666666666,0.9577408897831432,0.7217574537964584,1.4641,promote_for_followup
echem_conditioned_residual_dictionary,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_conditioned_residual_dictionary/echem_conditioned_residual_dictionary_metrics.csv,22,conditioned_residual_plus_echem_context,leave_source,future_any_drop_within_8cycles,leave_source,0.9135802469135802,0.9545196012677372,0.7164111022868551,0.0033222591362126,0.6072916666666667,0.0,72.0,0.08,0.22,0.9135802469135802,0.9545196012677372,0.7164111022868551,1.4593,promote_for_followup
echem_conditioned_residual_dictionary,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_conditioned_residual_dictionary/echem_conditioned_residual_dictionary_metrics.csv,25,conditioned_residual_plus_handcrafted_echem,leave_source,future_any_drop_within_8cycles,leave_source,0.902006172839506,0.941280463592384,0.6963622841258423,0.0033222591362126,0.5997685185185186,0.0,72.0,0.08,0.22,0.902006172839506,0.941280463592384,0.6963622841258423,1.4411,promote_for_followup
echem_conditioned_residual_dictionary,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_conditioned_residual_dictionary/echem_conditioned_residual_dictionary_metrics.csv,7,conditioned_residual_dictionary,leave_source,future_any_drop_within_16cycles,leave_source,0.7847953216374268,0.943170747586032,0.4006968485844078,0.0033222591362126,0.6362573099415205,0.0,72.0,0.0,0.22,0.7847953216374268,0.943170747586032,0.4006968485844078,1.375,promote_for_followup
acquisition_residualized_video_physics,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/acquisition_residualized_video_physics_benchmark/acquisition_residualized_metrics.csv,6,context_plus_residual_dictionary,,future_any_drop_within_8cycles,,1.0,1.0,0.8661089445557502,,,0.0,72.0,0.12,0.05,1.0,1.0,0.8661089445557502,1.3666,promote_for_followup
acquisition_residualized_video_physics,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/acquisition_residualized_video_physics_benchmark/acquisition_residualized_metrics.csv,8,context_plus_video_pca,,future_any_drop_within_8cycles,,1.0,1.0,0.8661089445557502,,,0.0,72.0,0.12,0.05,1.0,1.0,0.8661089445557502,1.3666,promote_for_followup
acquisition_residualized_video_physics,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/acquisition_residualized_video_physics_benchmark/acquisition_residualized_metrics.csv,12,residualized_residual_dictionary_plus_context_logit,,future_any_drop_within_8cycles,,1.0,1.0,0.8661089445557502,,,0.0,72.0,0.12,0.05,1.0,1.0,0.8661089445557502,1.3666,promote_for_followup
acquisition_residualized_video_physics,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/acquisition_residualized_video_physics_benchmark/acquisition_residualized_metrics.csv,16,residualized_video_pca_plus_context_logit,,future_any_drop_within_8cycles,,1.0,1.0,0.8661089445557502,,,0.0,72.0,0.12,0.05,1.0,1.0,0.8661089445557502,1.3666,promote_for_followup
echem_conditioned_residual_dictionary,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_conditioned_residual_dictionary/echem_conditioned_residual_dictionary_metrics.csv,23,handcrafted_plus_echem_context,leave_source,future_any_drop_within_8cycles,leave_source,0.905864197530864,0.9461080619826374,0.7030452235128466,,,0.0,72.0,0.08,0.13,0.905864197530864,0.9461080619826374,0.7030452235128466,1.3573,promote_for_followup
echem_conditioned_residual_dictionary,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_conditioned_residual_dictionary/echem_conditioned_residual_dictionary_metrics.csv,24,raw_residual_plus_echem_context,leave_source,future_any_drop_within_8cycles,leave_source,0.9035493827160496,0.9445966674477444,0.699035459880644,,,0.0,72.0,0.08,0.13,0.9035493827160496,0.9445966674477444,0.699035459880644,1.3541,promote_for_followup
