roi_id,cycleNo
cycle116_rank7_obj37,116.0
cycle118_rank1_obj7,118.0
cycle116_rank5_obj43,116.0
cycle116_rank2_obj2,116.0
cycle116_rank8_obj20,116.0
cycle116_rank1_obj6,116.0
cycle88_rank3_obj6,88.0
cycle88_rank2_obj4,88.0
cycle88_rank4_obj8,88.0
cycle86_rank5_obj8,86.0
cycle158_rank4_obj8,158.0
cycle58_rank4_obj2,58.0
cycle58_rank6_obj29,58.0
cycle158_rank6_obj3,158.0
cycle86_rank8_obj17,86.0
cycle58_rank3_obj9,58.0
cycle86_rank3_obj5,86.0
cycle86_rank4_obj9,86.0
cycle60_rank5_obj18,60.0
cycle157_rank1_obj1,157.0
cycle157_rank4_obj8,157.0
cycle157_rank6_obj3,157.0
cycle156_rank8_obj10,156.0
cycle62_rank4_obj1,62.0
cycle62_rank1_obj4,62.0
cycle158_rank2_obj1,158.0
cycle62_rank2_obj2,62.0
cycle60_rank1_obj1,60.0
cycle60_rank6_obj26,60.0
cycle60_rank4_obj5,60.0
