cohort,path,status,n_rows,n_cycles,n_sources
selected_roi_sequences,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/selected_roi_sequence_manifest.csv,ok,11,2,2
multi_cycle_roi_sequences,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/selected_roi_sequence_manifest.csv,ok,52,11,4
balanced_future_roi_sequences,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/selected_roi_sequence_manifest.csv,ok,72,24,9
control_roi_sequences,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_roi_sequences/selected_roi_sequence_manifest.csv,ok,16,2,2
control_roi_sequences_expanded,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_roi_sequences_expanded/selected_roi_sequence_manifest.csv,ok,32,4,2
source_balanced_roi_sequences,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/selected_roi_sequence_manifest.csv,ok,96,48,14
source_balanced_pre_event_roi_sequences,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/selected_roi_sequence_manifest.csv,ok,128,64,14
transfer_ranked_roi_sequences,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_sequences/selected_roi_sequence_manifest.csv,ok,48,12,4
source_balanced_roi_expansion_manifest,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/source_balanced_roi_table.csv,ok,96,48,14
source_balanced_pre_event_sampling_manifest,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/source_balanced_pre_event_roi_table.csv,ok,128,64,14
balanced_future_roi_reconstruction,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/balanced_future_roi_table.csv,ok,72,24,9
transfer_ranked_roi_reconstruction,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/transfer_ranked_roi_table.csv,ok,48,12,4
multi_cycle_roi_cohort,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_cohort/multi_cycle_roi_table.csv,ok,52,11,4
roi_front_qc_package,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/roi_front_qc_manifest.csv,ok,24,8,0
control_balanced_front_qc_package,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/control_balanced_front_qc_manifest.csv,ok,40,11,0
qc_review_packet,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/qc_review_packet/qc_review_manifest.csv,ok,30,7,0
precursor_informed_roi_review,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_informed_roi_review/precursor_informed_roi_review_manifest.csv,ok,47,11,0
