source_stem,n_cycle_rows,min_cycle,max_cycle,min_local_cycle,max_local_cycle,n_any_drop_cycles,n_future8_positive,n_future16_positive,n_cycles_with_any_roi,n_cycles_with_primary_roi,total_roi_rows,median_capacity_fraction,max_consensus_score,max_hazard_probability,roi_cycle_coverage_fraction,primary_roi_cycle_coverage_fraction
10_c2_x10_030723,5,86,94,1.0,9.0,1,0,0,5,5,89,0.9454395016823436,0.8126999459104489,0.6219984479106454,1.0,1.0
11_c2_x10_050723,5,96,104,1.0,9.0,0,0,3,5,5,38,0.9466646390988418,0.6214992033011846,0.8985716542053739,1.0,1.0
12_c2_x10_070723,5,106,114,1.0,9.0,0,4,5,5,5,48,0.9468630347525104,0.653099512589666,0.9516404439941396,1.0,1.0
13_c2_x6_100723,2,116,118,1.0,3.0,1,0,0,2,2,50,1.2459443233781182,0.7951514188778093,0.1490509235308146,1.0,1.0
14_c2_x10_HighCOV_110723,8,123,130,2.0,9.0,0,0,0,8,8,38,1.3131857468896233,0.7091560885205925,0.9989304526276724,1.0,1.0
15_c2_x5_HighCOV_120723,4,131,134,0.0,3.0,0,0,0,4,4,26,1.3087368816136902,0.5386964414797567,0.9332616754781254,1.0,1.0
16_c2_x10_HighHighCOV_130723,10,136,145,0.0,9.0,0,0,6,9,9,54,1.29573466116282,0.4420377349729772,0.5229779173899438,0.9,0.9
17_c2_x10_HighHighCOV_150723,10,146,155,0.0,9.0,0,8,10,10,10,164,1.2783811435164876,0.6463997608683184,0.8005544413930782,1.0,1.0
18_c2_xN_HighHighCOV_170723,3,156,158,0.0,2.0,1,0,0,3,3,42,,0.568138865483918,0.7325610284628066,1.0,1.0
2_c2_x14_200623,7,2,14,1.0,13.0,0,0,0,7,7,36,0.9914533326651126,0.5779721633732245,,1.0,1.0
4_c2_x10_240623,5,26,34,1.0,9.0,0,0,0,5,5,36,0.9819699147709476,0.5735788492498853,,1.0,1.0
5_c2_x10_260623,5,36,44,1.0,9.0,0,0,1,5,5,52,0.9726725307298484,0.6072249755146135,,1.0,1.0
6_c2_x10_270623_2,5,46,54,1.0,9.0,0,2,5,5,5,36,0.9670201658628756,0.4586556892268503,,1.0,1.0
7_c2_x10_290623,5,56,64,1.0,9.0,1,2,2,5,5,52,0.9638440515657726,0.6682945470398655,,1.0,1.0
8_c2_x10_300623,5,66,74,1.0,9.0,0,0,3,5,5,36,0.9575150062038144,0.6249321059714319,0.67273427862754,1.0,1.0
9_c2_x10_010723,5,76,84,1.0,9.0,0,4,5,5,5,54,0.949186607182162,0.7100667532723229,0.941089475106074,1.0,1.0
