roi_id,cohort_role,cycleNo,event_reference_cycle,manual_qc_preserved_status,auto_qc_tier,automatic_qc_surrogate_score,automatic_artifact_risk_score,surrogate_particle_identity_score,surrogate_front_mask_score,surrogate_diffusion_interpretability_score,auto_diffusion_guardrail,has_visual_asset,auto_flag_fragmented,auto_flag_diffusion_ci,auto_flag_threshold_sign,auto_flag_active_control,auto_qc_largest_component_fraction,auto_qc_n_components_min,auto_qc_edge_touch_fraction,front_radius2_slope_r2_track,front_radius_monotonic_fraction_track,combined_review_priority_score,review_priority_tier,recommended_review_reason,primary_qc_png,control_balanced_qc_png,roi_preview_path,front_crop_preview_path,front_tracking_plot_path,rollout_preview_path
cycle156_rank5_obj4,event,156.0,156.0,pending,auto_surrogate_artifact_risk,0.5983277058279372,0.625,0.5597826086956522,0.7233580018501388,0.2692553191489362,1,1,1,1,0,0,0.3426616915422885,75.0,0.0,0.0756415845917942,0.6451612903225806,13.178349878643404,high,event_roi;primary_visual_panel;control_balanced_panel;fragmentation_check;diffusion_ci_check;hard_rollout_mobility,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank5_obj4_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank5_obj4_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank5_obj4.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank5_obj4_dmd_rollout.png
cycle86_rank6_obj78,event,86.0,86.0,pending,auto_surrogate_artifact_risk,0.5424710915818687,0.5,0.6505434782608696,0.5996762257169288,0.22712765957446812,1,1,1,1,0,0,0.3465150766188828,74.0,0.0,0.4191335432944091,0.5161290322580645,5.967205254514814,routine,event_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle86_rank6_obj78_qc.png,,,,
cycle62_rank2_obj2,control,62.0,60.0,pending,auto_surrogate_artifact_risk,0.522900092506938,0.5,0.653804347826087,0.07779833487511564,0.9085106382978723,0,1,1,0,1,0,0.3038815117466802,74.0,0.0,0.6845526770989445,0.7096774193548387,15.340135552116203,high,control_roi;control_balanced_panel;fragmentation_check;large_conditioned_front_sign_residual,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank2_obj2.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle62_rank2_obj2_dmd_rollout.png
cycle157_rank2_obj2,control,157.0,156.0,pending,auto_surrogate_artifact_risk,0.48610487974098066,0.625,0.5608695652173914,0.4700277520814061,0.1944148936170213,1,1,1,1,0,0,0.4046961325966851,71.0,0.0,0.0955614473563636,0.4838709677419355,10.417215801481326,medium,control_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check;high_residual_mode_priority;large_conditioned_front_sign_residual,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle157_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle157_rank2_obj2.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle157_rank2_obj2_dmd_rollout.png
cycle86_rank4_obj9,event,86.0,86.0,pending,auto_surrogate_artifact_risk,0.46352913968547643,0.5,0.4875,0.626040703052729,0.04574468085106383,1,1,1,1,0,0,0.4017382906808305,75.0,0.0,,,6.422756519267371,medium,event_roi;primary_visual_panel;fragmentation_check;diffusion_ci_check,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle86_rank4_obj9_qc.png,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank4_obj9.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front4_obj9_crop_preview.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front4_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle86_rank4_obj9_dmd_rollout.png
cycle158_rank2_obj1,control,158.0,156.0,pending,auto_surrogate_artifact_risk,0.46324502775208143,0.5,0.64375,0.33996299722479184,0.22377659574468087,1,1,1,1,0,0,0.4287090558766859,62.0,0.0,0.0837031932487719,0.6129032258064516,9.096838087622668,medium,control_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check;large_conditioned_front_sign_residual,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle158_rank2_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle158_rank2_obj1.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle158_rank2_obj1_dmd_rollout.png
cycle86_rank5_obj8,event,86.0,86.0,pending,auto_surrogate_artifact_risk,0.4434798797409806,0.5,0.59375,0.2800185013876041,0.3226595744680851,1,1,1,1,0,0,0.2286419753086419,78.0,0.0,0.4537030822140212,0.5483870967741935,9.26357233528927,medium,event_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle86_rank5_obj8_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank5_obj8.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front5_obj8_crop_preview.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front5_obj8_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle86_rank5_obj8_dmd_rollout.png
cycle60_rank5_obj18,event,60.0,60.0,pending,auto_surrogate_artifact_risk,0.4243399629972249,0.625,0.5097826086956522,0.07580943570767809,0.6685106382978725,0,1,1,0,1,0,0.2565217391304348,81.0,0.0,0.0131479084184644,0.7096774193548387,14.409213793554136,high,event_roi;control_balanced_panel;fragmentation_check;large_conditioned_front_sign_residual,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle60_rank5_obj18_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank5_obj18.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle60_rank5_obj18_dmd_rollout.png
cycle62_rank4_obj1,control,62.0,60.0,pending,auto_surrogate_artifact_risk,0.39122964847363545,0.625,0.5315217391304348,0.22259481961147087,0.23170212765957443,1,1,1,1,0,1,0.3607068607068607,82.0,0.0,0.2797421918750208,0.5483870967741935,10.255241147783613,medium,control_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank4_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank4_obj1.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle62_rank4_obj1_dmd_rollout.png
cycle88_rank4_obj8,control,88.0,86.0,pending,auto_surrogate_artifact_risk,0.3667985661424607,0.5,0.41141304347826085,0.2354995374653099,0.6285106382978725,0,1,1,0,0,0,0.238676844783715,74.0,0.0,0.0001908549954531,0.5806451612903226,4.511800015196438,routine,control_roi;primary_visual_panel;control_balanced_panel;fragmentation_check,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle88_rank4_obj8_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle88_rank4_obj8_qc.png,,,,
cycle156_rank7_obj27,event,156.0,156.0,pending,auto_surrogate_likely_interpretable,0.9186555272895466,0.0,0.8986413043478261,0.9754394079555967,0.8136702127659574,0,1,0,0,0,0,0.8151881720430108,49.0,0.0,0.2709698736400573,0.6129032258064516,14.720918992751464,high,event_roi;primary_visual_panel;control_balanced_panel;no_auto_flags;high_residual_mode_priority;hard_rollout_mobility,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank7_obj27_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank7_obj27_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank7_obj27.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank7_obj27_dmd_rollout.png
cycle156_rank8_obj10,event,156.0,156.0,pending,auto_surrogate_likely_interpretable,0.8426237280296022,0.0,0.8046195652173913,0.9168825161887142,0.8643617021276596,0,1,0,0,0,0,0.5495750708215298,70.0,0.0,0.2176075102704954,0.6451612903225806,11.655276676027569,medium,event_roi;primary_visual_panel;control_balanced_panel;no_auto_flags;hard_rollout_mobility,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank8_obj10_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank8_obj10_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank8_obj10.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank8_obj10_dmd_rollout.png
cycle156_rank2_obj2,event,156.0,156.0,pending,auto_surrogate_likely_interpretable,0.8400113320999074,0.125,0.8057065217391304,0.9893617021276596,0.6181914893617022,0,1,0,0,0,0,0.879950495049505,52.0,0.0,0.0488041815029522,0.6129032258064516,13.168483287426232,high,event_roi;primary_visual_panel;control_balanced_panel;no_auto_flags;hard_rollout_mobility,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank2_obj2.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank2_obj2_dmd_rollout.png
cycle156_rank1_obj1,event,156.0,156.0,pending,auto_surrogate_likely_interpretable,0.8321209528214616,0.125,0.74375,0.973126734505088,0.782872340425532,0,1,0,0,0,0,0.4860706860706861,72.0,0.0,0.2141685222247821,0.5806451612903226,12.849218621808475,high,event_roi;primary_visual_panel;control_balanced_panel;no_auto_flags,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank1_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank1_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank1_obj1.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank1_obj1_dmd_rollout.png
cycle156_rank6_obj3,event,156.0,156.0,pending,auto_surrogate_likely_interpretable,0.7620879972247918,0.25,0.7364130434782609,0.9891304347826088,0.3123936170212766,1,1,0,1,0,0,0.5075787019043918,73.0,0.0,0.1143667774325355,0.7096774193548387,12.793660390821584,medium,event_roi;primary_visual_panel;control_balanced_panel;diffusion_ci_check,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank6_obj3_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank6_obj3_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank6_obj3.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank6_obj3_dmd_rollout.png
cycle157_rank1_obj1,control,157.0,156.0,pending,auto_surrogate_likely_interpretable,0.702695883441258,0.0,0.7282608695652174,0.7602220166512488,0.6567021276595744,0,1,0,0,0,0,0.4779411764705882,59.0,0.0,0.1977335648722195,0.5483870967741935,8.291807723888052,medium,control_roi;control_balanced_panel;no_auto_flags;large_conditioned_front_sign_residual,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle157_rank1_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle157_rank1_obj1.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle157_rank1_obj1_dmd_rollout.png
cycle60_rank3_obj9,event,60.0,60.0,pending,standard_review,0.7508074699352452,0.375,0.6945652173913044,0.6574468085106384,0.9525000000000001,0,1,1,0,0,0,0.3174603174603174,72.0,0.0,0.6725353420303015,0.6451612903225806,17.969687231644787,high,event_roi;primary_visual_panel;control_balanced_panel;fragmentation_check;high_residual_mode_priority;large_conditioned_front_sign_residual;hard_rollout_mobility,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle60_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle60_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank3_obj9.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle60_rank3_obj9_dmd_rollout.png
cycle62_rank3_obj9,control,62.0,60.0,pending,standard_review,0.7115042784458835,0.375,0.6461956521739131,0.656799259944496,0.877712765957447,0,1,1,0,0,1,0.3124042879019908,68.0,0.0,0.4423055212122806,0.6451612903225806,14.387223699839682,high,control_roi;primary_visual_panel;control_balanced_panel;fragmentation_check;high_residual_mode_priority;hard_rollout_mobility,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle62_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank3_obj9.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle62_rank3_obj9_dmd_rollout.png
cycle86_rank2_obj6,event,86.0,86.0,pending,standard_review,0.6521845513413506,0.375,0.736141304347826,0.5940101757631823,0.7860638297872341,0,1,1,0,0,0,0.3776996484178804,72.0,0.0,0.5426694936918888,0.6129032258064516,5.557303139273828,routine,event_roi;control_balanced_panel;fragmentation_check,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle86_rank2_obj6_qc.png,,,,
cycle116_rank7_obj37,event,116.0,116.0,pending,standard_review,0.6462848057354302,0.375,0.6641304347826087,0.6722710453283997,0.6994148936170214,0,1,1,0,0,0,0.3846153846153846,71.0,0.0,0.1070096376712486,0.6129032258064516,6.004618372906563,medium,event_roi;primary_visual_panel;control_balanced_panel;fragmentation_check,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank7_obj37_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle116_rank7_obj37_qc.png,,,,
cycle116_rank2_obj2,event,116.0,116.0,pending,standard_review,0.6260545790934321,0.0,0.678804347826087,0.9023126734505088,0.2297872340425532,1,1,0,0,0,0,0.5859683794466403,51.0,0.0,,,1.394632703392536,routine,event_roi;primary_visual_panel;no_auto_flags,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle116_rank2_obj2_qc.png,,,,,
cycle58_rank3_obj9,control,58.0,60.0,pending,standard_review,0.6124442645698428,0.375,0.5752717391304348,0.6022201665124884,0.7607446808510638,0,1,1,0,0,1,0.3744959677419355,68.0,0.0,0.1050495025748842,0.6129032258064516,9.262519420512536,medium,control_roi;control_balanced_panel;fragmentation_check;large_conditioned_front_sign_residual,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle58_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle58_rank3_obj9.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle58_rank3_obj9_dmd_rollout.png
