x,y,n,spearman_rho,p_value,abs_rho
cycleNo,persistence_particle_mse_fraction_of_full_mean,72,0.7605717657569397,9.15009535362996e-15,0.7605717657569397
cycleNo,velocity_particle_mse_fraction_of_full_mean,72,0.7568065589957669,1.4727073701042613e-14,0.7568065589957669
cycleNo,velocity_particle_to_nonparticle_mse_ratio_mean,72,0.727457255011239,4.573891147730946e-13,0.727457255011239
cycleNo,persistence_particle_to_nonparticle_mse_ratio_mean,72,0.7137480406500452,1.9633794240152586e-12,0.7137480406500452
object_y_full_approx,threshold_robust_phase_score,72,0.5107751837267107,4.55722873725662e-06,0.5107751837267107
first_frame_index,q70_radius2_slope_bootstrap_p50_px2_per_s,72,0.478719786436103,2.1031795897581567e-05,0.478719786436103
validation_score_recon,persistence_particle_mse_fraction_of_full_mean,72,-0.4743713422085022,2.5582729843108397e-05,0.4743713422085022
first_frame_index,radius2_slope_median_px2_per_s,72,0.4702703701349111,3.069912745197763e-05,0.4702703701349111
first_frame_index,diffusion_proxy_median_um2_per_s,72,0.4702703701349111,3.069912745197763e-05,0.4702703701349111
last_frame_index,q70_radius2_slope_bootstrap_p50_px2_per_s,72,0.4692026887000162,3.217916369601642e-05,0.4692026887000162
validation_score_recon,velocity_particle_mse_fraction_of_full_mean,72,-0.46601067592771245,3.700886603728761e-05,0.46601067592771245
validation_score_recon,persistence_particle_to_nonparticle_mse_ratio_mean,72,-0.4629879735031192,4.2195100650234897e-05,0.4629879735031192
last_frame_index,radius2_slope_median_px2_per_s,72,0.4579070684164972,5.24568742557332e-05,0.4579070684164972
last_frame_index,diffusion_proxy_median_um2_per_s,72,0.4579070684164972,5.24568742557332e-05,0.4579070684164972
stage_drift_xy_sampled,persistence_particle_to_nonparticle_mse_ratio_mean,72,-0.44125700879593177,0.00010455787205640964,0.44125700879593177
validation_score_recon,velocity_particle_to_nonparticle_mse_ratio_mean,72,-0.44038201813621464,0.00010831151516939858,0.44038201813621464
stage_drift_xy_sampled,velocity_particle_mse_fraction_of_full_mean,72,-0.43425603772549815,0.00013828042562464082,0.43425603772549815
stage_drift_xy_sampled,velocity_particle_to_nonparticle_mse_ratio_mean,72,-0.4311716938273351,0.00015610425201240553,0.4311716938273351
stage_drift_xy_sampled,persistence_particle_mse_fraction_of_full_mean,72,-0.42798943424986524,0.000176690959863939,0.42798943424986524
object_area_ds_px,persistence_particle_to_nonparticle_mse_ratio_mean,72,0.4214894124709229,0.0002267073400893795,0.4214894124709229
object_y_full_approx,mask_instability_score,72,-0.40062383935823603,0.0004881264598197769,0.40062383935823603
object_y_full_approx,phase_slope_positive_fraction,72,0.3905085372978914,0.0006956012139674702,0.3905085372978914
object_area_ds_px,persistence_particle_mse_fraction_of_full_mean,72,0.3813314811926912,0.0009500911074242732,0.3813314811926912
local_cycle_index,q70_radius2_slope_bootstrap_p50_px2_per_s,72,0.37725129852029304,0.0010882402219725977,0.37725129852029304
local_cycle_index,radius2_slope_median_px2_per_s,72,0.3720521886617573,0.0012905154408615728,0.3720521886617573
local_cycle_index,diffusion_proxy_median_um2_per_s,72,0.3720521886617573,0.0012905154408615728,0.3720521886617573
cycleNo,accepted_area_cv,72,0.3555706795230781,0.0021755995883384247,0.3555706795230781
validation_score_recon,threshold_robust_phase_score,72,-0.35540081997716705,0.0021870326545253287,0.35540081997716705
last_frame_index,phase_slope_positive_fraction,72,-0.34740616421540294,0.0027900222056920563,0.34740616421540294
balanced_cycle_rank,persistence_particle_mse_fraction_of_full_mean,72,0.3425372715036332,0.003226255936931125,0.3425372715036332
first_frame_index,phase_slope_positive_fraction,72,-0.3406858642062263,0.003407466052764065,0.3406858642062263
validation_score_recon,mask_instability_score,72,0.3179625699401891,0.006492608735862318,0.3179625699401891
cycleNo,q70_radius2_slope_bootstrap_p50_px2_per_s,72,0.3171462618064924,0.006638907974169997,0.3171462618064924
object_area_ds_px,velocity_particle_to_nonparticle_mse_ratio_mean,72,0.31640654383977934,0.0067739768751668376,0.31640654383977934
local_cycle_index,phase_slope_positive_fraction,72,-0.31078485139864,0.007881851764879011,0.31078485139864
cycleNo,radius2_slope_median_px2_per_s,72,0.3009269096045165,0.010211105939100924,0.3009269096045165
cycleNo,diffusion_proxy_median_um2_per_s,72,0.3009269096045165,0.010211105939100924,0.3009269096045165
transferred_masked_residual_signature,phase_slope_positive_fraction,72,0.2932677562030291,0.012414281571587648,0.2932677562030291
balanced_cycle_rank,radius2_slope_median_px2_per_s,72,0.28914857050546267,0.013761304926682566,0.28914857050546267
balanced_cycle_rank,diffusion_proxy_median_um2_per_s,72,0.28914857050546267,0.013761304926682566,0.28914857050546267
object_area_ds_px,velocity_particle_mse_fraction_of_full_mean,72,0.288921600085475,0.013839063189336927,0.288921600085475
balanced_cycle_rank,q70_radius2_slope_bootstrap_p50_px2_per_s,72,0.2817147007462237,0.01651341871868938,0.2817147007462237
balanced_cycle_rank,velocity_particle_mse_fraction_of_full_mean,72,0.28026654429961867,0.01710131916163916,0.28026654429961867
balanced_cycle_rank,persistence_particle_to_nonparticle_mse_ratio_mean,72,0.2788183878530137,0.017707094415296446,0.2788183878530137
transferred_masked_residual_signature,accepted_area_cv,72,0.26173014178307485,0.026360842882378457,0.26173014178307485
