cycleNo,method,particle_mse_mean_mean,particle_mse_mean_median,nonparticle_mse_mean_mean,nonparticle_mse_mean_median,particle_to_nonparticle_mse_ratio_mean_mean,particle_to_nonparticle_mse_ratio_mean_median,mask_fallback_used_mean_mean
40.0,low_rank_dmd,0.004904132509788421,0.005088191814138554,0.0006551264014736565,0.0008001059413800249,8.94568178871265,7.564897489046257,0.0
40.0,persistence,8.309325014958328e-05,9.658656881583738e-05,7.23221230979713e-05,8.697721023054328e-05,1.1741896724935013,1.1053324134286275,0.0
40.0,velocity,0.00021502762319869362,0.0002527307360651321,0.00021141339137405643,0.00025181308046740014,1.0246422964950737,0.997027827813531,0.0
44.0,low_rank_dmd,0.003888744628056884,0.004494728331337683,0.000731629064224156,0.0007209264567791251,8.684638019970963,6.347074390528564,0.0
44.0,persistence,7.001431602778514e-05,8.066608370427275e-05,7.134323529574733e-05,8.844154285725381e-05,1.031087310294476,0.9590782787295334,0.0
44.0,velocity,0.00019169409635348225,0.00022666042832497624,0.00020887502091682109,0.00025465184307904565,0.9468631167930966,0.8922122042211063,0.0
76.0,low_rank_dmd,0.004718369159187811,0.005876763032574672,0.0007409270310745342,0.0008502853979734937,8.08292592227623,6.919982604501031,0.0
76.0,persistence,6.867977500254104e-05,7.406506097140664e-05,6.183071919470724e-05,6.429700158605556e-05,1.1144140377090246,1.1376185659143365,0.0
76.0,velocity,0.00018752440754118047,0.00020112714355491335,0.00018162443810372983,0.00018666457845029072,1.0265953674802437,1.007178058519522,0.0
78.0,low_rank_dmd,0.005168720022387181,0.004808522135135718,0.0008398199761359137,0.0006894634070704342,7.548253220656259,5.070694071102723,0.0
78.0,persistence,5.388417741869489e-05,4.270313297638495e-05,4.4427779698708036e-05,3.4481899319871445e-05,1.20414639281765,1.2076014720761992,0.0
78.0,velocity,0.00013125808815554288,9.983531867874262e-05,0.0001280671691953709,0.00010137402773580106,1.0051949315998703,0.9832255249253044,0.0
84.0,low_rank_dmd,0.00330950454796645,0.0037137810213607736,0.0005200409298140585,0.0006805853754485724,7.961445719759233,6.0297968337549674,0.0
84.0,persistence,0.00014007048273848946,0.000168159220720554,7.101512968195796e-05,8.246700429026532e-05,1.8107302367498634,1.883156768650285,0.0
84.0,velocity,0.0002924749124607236,0.0003572843324946007,0.00019308686501062766,0.00021158340859983582,1.3964611276781822,1.4311770454988497,0.0
104.0,low_rank_dmd,0.003818172772298567,0.002772917814581888,0.00044443336279679596,0.0003987734344264027,9.410860275511093,8.273374330391274,0.3333333333333333
104.0,persistence,6.2685696036624e-05,5.824156698963634e-05,5.381035218003186e-05,4.945430453062727e-05,1.1663259905339587,1.1689486692557247,0.3333333333333333
104.0,velocity,0.00017476279026595876,0.0001682847150732414,0.00015614264058664654,0.00014732127101524384,1.0936499710781464,1.1422403280953468,0.3333333333333333
108.0,low_rank_dmd,0.004487576120785282,0.002471716914442368,0.0009312639338835046,0.000309437882151542,7.624256902281371,7.6442930742097674,0.0
