roi_id,cycleNo,cohort_role,event_reference_cycle,method,particle_mse_mean,particle_mse_median,particle_mse_max,particle_mae_mean,particle_mae_median,nonparticle_mse_mean,nonparticle_mse_median,nonparticle_mae_mean,nonparticle_mae_median,full_crop_mse_mean,full_crop_mse_median,particle_to_nonparticle_mse_ratio_mean,particle_to_nonparticle_mse_ratio_median,particle_mse_fraction_of_full_mean,particle_mse_fraction_of_full_median,particle_mask_area_fraction_mean,nonparticle_context_area_fraction_mean,mask_fallback_used_mean,accepted_area_fraction_median,validation_score_first
cycle104_rank6_obj1,104.0,,,low_rank_dmd,0.006397891469532624,0.006044649751856923,0.010220595635473728,0.04613083542790264,0.045226043090224266,0.0003987734344264027,0.00039876926166471094,0.01455358785460703,0.014782644342631102,0.0014168081670504762,0.001422304892912507,15.746829378802774,15.875481294500776,4.476059027790375,4.54505986640226,0.17273966471354166,0.5820346408420138,0.0,0.16905381944444445,25.17135094255524
cycle104_rank6_obj1,104.0,,,persistence,3.8860353413383564e-05,3.559854485502001e-05,6.005203613312915e-05,0.004569225973682478,0.004460533848032355,3.3174750910802686e-05,3.315232788736466e-05,0.00455926384893246,0.004569282988086343,3.8938942225286155e-05,3.8300158848869614e-05,1.1689486692557247,1.0740966269578465,0.9903473063619409,0.9278929365710655,0.17273966471354166,0.5820346408420138,0.0,0.16905381944444445,25.17135094255524
cycle104_rank6_obj1,104.0,,,velocity,9.52781711021089e-05,9.004002276924439e-05,0.00014358297630678862,0.007378016030997969,0.007224966771900654,9.801244254958874e-05,9.78792850219179e-05,0.007829075781046413,0.007815472083166242,0.00011153252194162633,0.00011039862874895334,0.9709061037413413,0.9106624463302664,0.8506305736502302,0.8193942526307338,0.17273966471354166,0.5820346408420138,0.0,0.16905381944444445,25.17135094255524
cycle104_rank6_obj2,104.0,,,low_rank_dmd,0.0022837090327811893,0.0022558795753866434,0.0028324637096375227,0.028844883723650128,0.028659445233643055,0.0002752178975242714,0.000270254400675185,0.01246110227657482,0.012293724808841944,0.001242793041456025,0.0012260721414349973,8.273374330391274,8.359216242105425,1.8361068368749314,1.8405864926643294,0.4516059027777778,0.3031684027777778,1.0,0.4516059027777778,26.016309967505705
cycle104_rank6_obj2,104.0,,,persistence,5.824156698963634e-05,5.727712778025307e-05,7.346487109316513e-05,0.00590672274120152,0.005857156123965979,4.945430453062727e-05,4.935385368298739e-05,0.005557648517424241,0.005565242609009147,6.344461235130439e-05,6.28160523774568e-05,1.177540976492315,1.1682966129797223,0.9171793746343873,0.9127931062086578,0.4516059027777778,0.3031684027777778,1.0,0.4516059027777778,26.016309967505705
cycle104_rank6_obj2,104.0,,,velocity,0.0001682847150732414,0.0001645243537495844,0.0001964139228221029,0.010080507403472438,0.009979043155908585,0.00014732127101524384,0.00014788348926231265,0.009599507553502917,0.009603986516594887,0.00018603606122269412,0.00018509080837247893,1.1422403280953468,1.1338654585609824,0.9038673552583649,0.8986147069024804,0.4516059027777778,0.3031684027777778,1.0,0.4516059027777778,26.016309967505705
cycle104_rank6_obj3,104.0,,,low_rank_dmd,0.002772917814581888,0.0026493300683796406,0.004238564055413008,0.03349711367627606,0.03286689706146717,0.0006593087564397138,0.0006387982575688511,0.01762857096036896,0.017425420694053173,0.0012995409961149562,0.0012435809476301074,4.212377117339233,4.208344027859862,2.1131483005252427,2.11806058262273,0.2777201334635417,0.4770541720920139,0.0,0.279296875,26.27643821059555
cycle104_rank6_obj3,104.0,,,persistence,9.095516770685208e-05,8.657804210088216e-05,0.00013315114483702928,0.00730981191736646,0.0072214489337056875,7.880200109866564e-05,7.805799032212235e-05,0.0070123740151757374,0.006988190812990069,9.504368495072413e-05,9.34579766180832e-05,1.1524883258538363,1.1191359378538865,0.953346085725471,0.9356359516631152,0.2777201334635417,0.4770541720920139,0.0,0.279296875,26.27643821059555
cycle104_rank6_obj3,104.0,,,velocity,0.000260725484622526,0.0002443516204948537,0.0003655971377156675,0.012421520630596206,0.01211906224489212,0.00022309420819510706,0.00022166474809637293,0.011820524174254388,0.011795675847679377,0.00027027032683690777,0.00026474398327991366,1.1678034813977511,1.1174641963971357,0.9612317554780462,0.9357391092210088,0.2777201334635417,0.4770541720920139,0.0,0.279296875,26.27643821059555
cycle108_rank21_obj1,108.0,,,low_rank_dmd,0.008659240673296154,0.008645955007523298,0.009597349911928177,0.05546398519072682,0.05554649792611599,0.0022734306257916614,0.0022433744743466377,0.02505563077284023,0.02483437769114971,0.0033892814244609326,0.003382458700798452,3.8118503100051107,3.809645519467348,2.5541481238485084,2.545664264755669,0.1821628146701389,0.5726114908854166,0.0,0.18245442708333331,24.57545572680972
