cycleNo,phase_slope_median_per_s,phase_slope_abs_median_per_s,phase_slope_positive_fraction,radius2_slope_median_px2_per_s,radius2_slope_positive_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s,threshold_robust_phase_score,threshold_robust_diffusion_score,q70_phase_slope_bootstrap_p50,q70_radius2_slope_bootstrap_p50_px2_per_s,roi_mean_delta_last_minus_first,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,object_mean_abs_z,object_mean_residual,transferred_masked_residual_signature,persistence_particle_mse_mean,persistence_particle_to_nonparticle_mse_ratio_mean,persistence_particle_mse_fraction_of_full_mean,low_rank_dmd_particle_mse_mean,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,low_rank_dmd_particle_mse_fraction_of_full_mean,velocity_particle_mse_mean,velocity_particle_to_nonparticle_mse_ratio_mean,velocity_particle_mse_fraction_of_full_mean,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,selection_subrole
40.0,1.2572894658880078e-06,1.2572894658880078e-06,1.0,0.0011306406741123,0.7142857142857143,2.604996113154949e-06,2.604996113154949e-06,0.5555555555555556,-0.2013888888888889,1.1531738219556315e-06,0.001134214623247,0.853515625,-0.0001339614391326,0.2500000000000227,26.217365264892575,10660.646484375,0.7842017555889671,9.658656881583738e-05,1.1053324134286275,0.9456390620128164,0.0050881918141385,7.564897489046257,3.627678653805016,0.0002527307360651,0.997027827813531,0.8761090424593571,0,0,0,hard_negative_high_warning
44.0,3.896808439803886e-07,5.41479221336569e-07,1.0,-0.00048127012952,0.0,-1.1088463784141226e-06,1.1088463784141226e-06,0.5694444444444444,0.4791666666666667,4.002712724106639e-07,-0.0004627035579771,-5.150390625,-0.0002811923623085,0.2915475947422533,31.54570960998535,13180.04296875,0.6286054582853854,8.066608370427275e-05,0.9590782787295334,0.8392288110904451,0.0044947283313376,6.347074390528564,3.405899474411546,0.0002266604283249,0.8922122042211063,0.7941177510483526,0,1,0,hard_negative_high_warning
76.0,7.970035181570776e-07,7.970035181570776e-07,1.0,0.0003649855616665,1.0,8.409267340797663e-07,1.1616820100929252e-06,0.7916666666666667,0.7986111111111112,6.801750850895373e-07,0.0002471315436033,0.2783203125,4.298985004425049e-06,0.2500000000000227,25.22130012512207,10902.2548828125,0.2739127589669339,7.406506097140664e-05,1.1376185659143363,0.9647639708160224,0.0058767630325746,6.919982604501031,3.436079605634891,0.0002011271435549,1.007178058519522,0.8898933077343856,0,1,0,low_risk_negative
78.0,7.502860047931208e-07,7.502860047931208e-07,1.0,-9.339466645375634e-05,0.2857142857142857,-2.151813115094546e-07,2.212140457912842e-06,0.6666666666666666,0.4791666666666667,7.87697861069195e-07,-0.0001869962961736,6.3017578125,0.0002939477562904,0.25,19.99983024597168,7448.890625,0.2683863942126585,4.270313297638495e-05,1.2076014720761992,1.0153278215235606,0.0048085221351357,5.070694071102723,2.734859073136909,9.983531867874262e-05,0.9832255249253044,0.8670838449103709,1,1,0,high_warning_positive
84.0,9.14086053570685e-08,3.727830286071576e-07,0.8571428571428571,-0.0002663373802081,0.1428571428571428,-6.136413239995928e-07,1.1705635072920715e-06,0.6527777777777778,0.3055555555555556,1.4291087226171715e-09,-8.959182824491732e-05,-6.341796875,-0.0003010556101799,0.2915475947422533,23.681468963623047,10268.96875,0.257364534667413,0.0001681592207205,1.883156768650285,1.4010006799561154,0.0037137810213607,6.029796833754968,2.868395881241253,0.0003572843324946,1.4311770454988495,1.1199140814527233,1,1,0,high_warning_positive
104.0,-3.241931372396297e-07,3.886094213072397e-07,0.0,-0.0008926168145609,0.0,-2.0565891407483154e-06,2.0565891407483154e-06,0.6666666666666667,0.8541666666666667,-2.641811703089368e-07,-0.0007504249566373,-10.3427734375,-0.0004455596208572,0.2500000000000227,28.433032989501957,13086.8427734375,0.3719069574735253,5.824156698963634e-05,1.1689486692557247,0.953346085725471,0.0027729178145818,8.273374330391274,2.1131483005252427,0.0001682847150732,1.1422403280953468,0.9038673552583648,0,1,0,hard_negative_high_warning
108.0,8.598190275741233e-07,8.598190275741233e-07,1.0,-0.000161900485488,0.1428571428571428,-3.730187185644096e-07,9.399702491609904e-07,0.5416666666666667,0.3333333333333333,8.281728104624789e-07,-0.0001720972325573,-1.42578125,-4.844367504119873e-05,0.2236067977498773,21.67879295349121,9662.458984375,0.3455880466883458,0.0001009986773397,1.8809594504455156,1.3536814088096163,0.0024717169144423,7.644293074209767,3.561958870136096,0.0002447360163841,1.7774501768175317,1.283452847104679,1,1,0,high_warning_positive
110.0,5.228350674390018e-07,5.228350674390018e-07,1.0,-0.0006633483908045,0.1428571428571428,-1.5283546924136028e-06,1.5283546924136028e-06,0.7222222222222222,0.3194444444444445,5.551150658985691e-07,-0.0007558235584923,-1.708984375,-0.0001486539840698,0.2121320343559321,22.89075469970703,10264.3447265625,0.1861489207307045,0.0001379385056452,1.7057554042554028,1.3887764676163643,0.0041892446461133,9.15683415099472,3.880033231708752,0.0003212945871382,1.4152966418749848,1.1704606555557806,1,1,0,high_warning_positive
129.0,-3.125075136659221e-08,3.042698791918687e-07,0.4285714285714285,-0.000145674202857,0.2857142857142857,-3.356333633826293e-07,1.030746739025892e-06,-0.1805555555555555,-0.0069444444444444,-7.363352272307962e-08,-0.0003123231027758,8.779296875,0.0005150437355041,0.2500000000000227,23.285369873046875,10286.3154296875,0.2863584478094875,7.360560084634926e-05,1.4196052729453308,1.1797688619566378,0.003784225857089,13.206157209594863,3.6590097575625498,0.0001903665754525,1.180525034853137,1.0238377888786518,0,0,0,low_risk_negative
131.0,-8.439095374030734e-07,1.189906067866168e-06,0.2857142857142857,-0.0009689563801152,0.1428571428571428,-2.2324754997855146e-06,2.2324754997855146e-06,-0.0972222222222222,0.3472222222222222,-8.490210122929049e-07,-0.0009495242463037,27.177734375,0.0011234432458877,0.2121320343559321,19.450069427490234,8524.5419921875,0.6026405442281145,0.001551828117158,4.059442893094627,1.6156122360542222,0.0053890189446974,12.009717387158712,3.70936876399368,0.0033914749501491,3.961291034819395,1.638834347786449,0,0,0,hard_negative_high_warning
139.0,-7.775621245466107e-06,7.775621245466107e-06,0.0,0.0013956179061917,1.0,3.215503655865696e-06,3.215503655865696e-06,0.6805555555555556,0.9097222222222224,-7.777104225674542e-06,0.0012399802522975,0.10302734375,-0.0006001889705657,0.2121320343559321,24.59981918334961,9929.759765625,0.2177667218010263,0.0004373688316263,2.2325019791687706,1.4125587003405409,0.0056051810388453,4.88389314825149,3.376747371684268,0.0010628119744069,2.242984903505327,1.3826401346923425,0,0,0,low_risk_negative
