candidate_id,x_ds,y_ds,x_full_approx,y_full_approx,area_ds_px,area_full_approx_px,bbox_x0_ds,bbox_y0_ds,bbox_x1_ds,bbox_y1_ds,mean_residual,mean_abs_z,mean_temporal_std,polarity,rank_score,candidate_rank,cycleNo,balanced_cycle_rank,selection_role,selection_subrole,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,cycle_table_n_frames,downsample,n_candidates,overlay_png
153,300.7096774193548,275.31182795698925,1202.8387096774193,1101.247311827957,93,1488,296,268,306,283,6981.751953125,18.055540084838867,2245.57666015625,bright,11723515.109440695,1,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
63,207.29268292682926,98.7560975609756,829.170731707317,395.0243902439024,82,1312,203,94,213,105,7332.19677734375,18.921016693115234,2504.914794921875,bright,11376074.6449488,2,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
16,212.05882352941177,21.08823529411765,848.2352941176471,84.3529411764706,68,1088,207,17,218,26,7995.30517578125,20.72759437561035,2206.341796875,bright,11269194.0963112,3,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
26,337.6175115207373,46.672811059907836,1350.4700460829492,186.69124423963135,217,3472,329,35,346,57,3634.32275390625,13.690568923950195,1414.927734375,bright,10797040.315468777,4,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
30,253.3409090909091,46.79545454545455,1013.3636363636364,187.1818181818182,44,704,250,43,258,51,9749.5068359375,25.06739616394043,3018.51708984375,bright,10753369.01141759,5,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
103,302.1063829787234,167.27659574468086,1208.4255319148936,669.1063829787234,47,752,299,163,306,172,9307.41796875,23.829364776611328,2172.943603515625,bright,10424123.321569338,6,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
24,411.4651162790698,32.06976744186046,1645.860465116279,128.27906976744185,43,688,408,29,416,36,9655.1767578125,24.83236312866211,2479.2587890625,bright,10309716.778820995,7,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
34,418.95454545454544,52.5,1675.8181818181818,210.0,110,1760,411,48,428,58,5922.021484375,15.512540817260742,1801.464599609375,bright,10105215.999676846,8,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
38,146.625,60.3875,586.5,241.55,80,1280,140,55,153,67,6782.37255859375,17.877593994140625,2031.3218994140625,bright,9700200.233563185,9,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
133,24.76595744680851,230.70212765957447,99.06382978723404,922.8085106382979,47,752,21,227,31,236,7678.75537109375,20.91875648498535,1967.0528564453125,bright,7549610.644637124,10,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
146,32.24074074074074,255.2037037037037,128.96296296296296,1020.8148148148148,54,864,29,250,37,262,7172.78662109375,18.491121292114258,2124.83544921875,bright,7162174.840307342,11,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
13,16.285714285714285,18.738095238095237,65.14285714285714,74.95238095238095,42,672,13,15,20,23,8017.17724609375,20.599674224853516,1919.595947265625,bright,6936352.0578424595,12,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
21,77.63235294117646,29.294117647058822,310.52941176470586,117.17647058823529,68,1088,73,23,83,36,6022.0302734375,15.659323692321777,1732.9410400390625,bright,6412462.650896881,13,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
129,79.0,225.5,316.0,902.0,22,352,77,223,82,229,10465.880859375,26.7435302734375,1660.696533203125,bright,6157681.235219479,14,146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
