cycleNo,balanced_cycle_rank,selection_role,selection_subrole,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,cycle_table_n_frames,downsample,n_candidates,overlay_png
146.0,1,future8_negative,hard_negative_high_warning,3.21719464829548,0,1,0,17_c2_x10_HighHighCOV_150723,0,10,12377,0,1237,0,1236,16,1244.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
40.0,2,future8_negative,hard_negative_high_warning,0.7842017555889671,0,0,0,5_c2_x10_260623,5,10,9279,4639,5567,4639,5566,16,927.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_40_rank2_5_c2_x10_260623_local5.png
147.0,3,future8_negative,hard_negative_high_warning,0.6943342227566772,0,1,0,17_c2_x10_HighHighCOV_150723,1,10,12377,1237,2475,1237,2474,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_147_rank3_17_c2_x10_HighHighCOV_150723_local1.png
44.0,4,future8_negative,hard_negative_high_warning,0.6286054582853854,0,1,0,5_c2_x10_260623,9,10,9279,8351,9279,8351,9278,16,925.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_44_rank4_5_c2_x10_260623_local9.png
131.0,5,future8_negative,hard_negative_high_warning,0.6026405442281145,0,0,0,15_c2_x5_HighCOV_120723,0,5,6193,0,1238,0,1237,16,1181.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_131_rank5_15_c2_x5_HighCOV_120723_local0.png
104.0,6,future8_negative,hard_negative_high_warning,0.3719069574735253,0,1,0,11_c2_x10_050723,9,10,9020,8118,9020,8118,9019,16,899.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_104_rank6_11_c2_x10_050723_local9.png
129.0,7,future8_negative,low_risk_negative,0.2863584478094875,0,0,0,14_c2_x10_HighCOV_110723,8,10,11902,9521,10711,9521,10710,16,1185.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_129_rank7_14_c2_x10_HighCOV_110723_local8.png
76.0,8,future8_negative,low_risk_negative,0.2739127589669339,0,1,0,9_c2_x10_010723,1,10,9096,909,1819,909,1818,16,905.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_76_rank8_9_c2_x10_010723_local1.png
140.0,9,future8_negative,low_risk_negative,0.2389476922815127,0,1,0,16_c2_x10_HighHighCOV_130723,4,10,12245,4898,6122,4898,6121,16,1253.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_140_rank9_16_c2_x10_HighHighCOV_130723_local4.png
143.0,10,future8_negative,low_risk_negative,0.2351301084038065,0,1,0,16_c2_x10_HighHighCOV_130723,7,10,12245,8571,9796,8571,9795,16,1247.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_143_rank10_16_c2_x10_HighHighCOV_130723_local7.png
139.0,11,future8_negative,low_risk_negative,0.2177667218010263,0,0,0,16_c2_x10_HighHighCOV_130723,3,10,12245,3673,4898,3673,4897,16,1252.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_139_rank11_16_c2_x10_HighHighCOV_130723_local3.png
158.0,12,future8_negative,low_risk_negative,0.1268052199398837,0,0,0,18_c2_xN_HighHighCOV_170723,2,3,5818,3878,5818,3878,5817,16,1219.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_158_rank12_18_c2_xN_HighHighCOV_170723_local2.png
150.0,13,future8_positive,high_warning_positive,40.97186183003927,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,16,1237.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_150_rank13_17_c2_x10_HighHighCOV_150723_local4.png
151.0,14,future8_positive,high_warning_positive,1.4388691546947752,1,1,0,17_c2_x10_HighHighCOV_150723,5,10,12377,6188,7426,6188,7425,16,1236.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_151_rank14_17_c2_x10_HighHighCOV_150723_local5.png
152.0,15,future8_positive,high_warning_positive,1.1876601241161993,1,1,0,17_c2_x10_HighHighCOV_150723,6,10,12377,7426,8663,7426,8662,16,1235.0,4,80,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_152_rank15_17_c2_x10_HighHighCOV_150723_local6.png
