cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,cohort_role,selection_subrole,event_reference_cycle,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,balanced_cycle_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
146.0,17_c2_x10_HighHighCOV_150723,0,1,3,23.925995386659018,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,146.0,848.2352941176471,84.3529411764706,212.05882352941177,21.08823529411765,68,7995.30517578125,20.72759437561035,1,3.21719464829548,0,1,0,0,1237,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
146.0,17_c2_x10_HighHighCOV_150723,0,1,2,23.67346169899455,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,146.0,829.170731707317,395.0243902439024,207.29268292682926,98.7560975609756,82,7332.19677734375,18.921016693115234,1,3.21719464829548,0,1,0,0,1237,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
146.0,17_c2_x10_HighHighCOV_150723,0,1,1,23.663902942445056,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,146.0,1202.8387096774193,1101.247311827957,300.7096774193548,275.31182795698925,93,6981.751953125,18.055540084838867,1,3.21719464829548,0,1,0,0,1237,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_146_rank1_17_c2_x10_HighHighCOV_150723_local0.png
40.0,5_c2_x10_260623,5,2,3,26.16938597041552,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,40.0,1178.5882352941176,583.6470588235294,294.6470588235294,145.91176470588235,34,12388.37890625,30.30314064025879,2,0.7842017555889671,0,0,0,4639,5567,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_40_rank2_5_c2_x10_260623_local5.png
40.0,5_c2_x10_260623,5,2,1,25.31408396943277,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,40.0,563.8367346938776,158.77551020408163,140.9591836734694,39.69387755102041,49,10660.646484375,26.217365264892578,2,0.7842017555889671,0,0,0,4639,5567,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_40_rank2_5_c2_x10_260623_local5.png
40.0,5_c2_x10_260623,5,2,2,24.798367448484502,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,40.0,1323.6972972972974,100.90810810810811,330.92432432432435,25.227027027027027,185,4437.248046875,15.645694732666016,2,0.7842017555889671,0,0,0,4639,5567,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_40_rank2_5_c2_x10_260623_local5.png
147.0,17_c2_x10_HighHighCOV_150723,1,3,3,24.767776766802946,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,147.0,1645.860465116279,128.27906976744185,411.4651162790698,32.06976744186046,43,9487.4189453125,25.715286254882812,3,0.6943342227566772,0,1,0,1237,2475,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_147_rank3_17_c2_x10_HighHighCOV_150723_local1.png
147.0,17_c2_x10_HighHighCOV_150723,1,3,1,24.41064832763167,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,147.0,846.9375,84.625,211.734375,21.15625,64,8326.810546875,22.656352996826172,3,0.6943342227566772,0,1,0,1237,2475,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_147_rank3_17_c2_x10_HighHighCOV_150723_local1.png
147.0,17_c2_x10_HighHighCOV_150723,1,3,2,23.407189597254643,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,147.0,1202.1509433962265,1102.4150943396226,300.5377358490566,275.60377358490564,106,6104.34765625,16.851280212402344,3,0.6943342227566772,0,1,0,1237,2475,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_147_rank3_17_c2_x10_HighHighCOV_150723_local1.png
44.0,5_c2_x10_260623,9,4,1,27.218407235153958,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,44.0,562.6666666666666,159.0,140.66666666666666,39.75,36,13757.1552734375,32.909332275390625,4,0.6286054582853854,0,1,0,8351,9279,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_44_rank4_5_c2_x10_260623_local9.png
44.0,5_c2_x10_260623,9,4,3,26.526363450015676,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,44.0,1178.0,578.0,294.5,144.5,32,13180.04296875,31.54570960998535,4,0.6286054582853854,0,1,0,8351,9279,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_44_rank4_5_c2_x10_260623_local9.png
44.0,5_c2_x10_260623,9,4,2,24.701245784994107,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,44.0,1324.2823529411764,99.31764705882352,331.0705882352941,24.82941176470588,170,4886.87353515625,16.21965789794922,4,0.6286054582853854,0,1,0,8351,9279,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_44_rank4_5_c2_x10_260623_local9.png
131.0,15_c2_x5_HighCOV_120723,0,5,1,24.73669107136929,balanced_future_roi_candidate,future8_negative,hard_negative_high_warning,131.0,842.5714285714286,78.57142857142857,210.64285714285714,19.642857142857142,56,10464.4716796875,23.83854103088379,5,0.6026405442281145,0,0,0,0,1238,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_131_rank5_15_c2_x5_HighCOV_120723_local0.png
