roi_id,cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,object_x_full_approx,object_y_full_approx,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,cohort_role,selection_subrole,event_reference_cycle,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,transferred_masked_residual_signature,npz_path,preview_png
cycle40_rank2_obj3,40.0,5_c2_x10_260623,5,2,3,26.16938597041552,balanced_future_roi_candidate,1178.5882352941176,583.6470588235294,1083,488,1275,680,192,96,96,4639,5566,8059.3525390625,8059.38525390625,0.03271484375,0.08192383497953415,0.08178987354040146,-0.00013396143913269043,0.2500000000000227,future8_negative,hard_negative_high_warning,40.0,0.0,0.0,0.0,0.7842017555889671,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle40_rank2_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle40_rank2_obj3.png
cycle40_rank2_obj1,40.0,5_c2_x10_260623,5,2,1,25.31408396943277,balanced_future_roi_candidate,563.8367346938776,158.77551020408163,468,63,660,255,192,96,96,4639,5566,8469.705078125,8470.55859375,0.853515625,0.09464480727910995,0.09447070956230164,-0.0001740977168083191,0.2500000000000227,future8_negative,hard_negative_high_warning,40.0,0.0,0.0,0.0,0.7842017555889671,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle40_rank2_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle40_rank2_obj1.png
cycle40_rank2_obj2,40.0,5_c2_x10_260623,5,2,2,24.798367448484505,balanced_future_roi_candidate,1323.6972972972974,100.90810810810812,1228,5,1420,197,192,96,96,4639,5566,8688.3349609375,8699.9775390625,11.642578125,0.07259220629930496,0.07316671311855316,0.0005745068192481995,0.2500000000000227,future8_negative,hard_negative_high_warning,40.0,0.0,0.0,0.0,0.7842017555889671,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle40_rank2_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle40_rank2_obj2.png
cycle44_rank4_obj1,44.0,5_c2_x10_260623,9,4,1,27.21840723515396,balanced_future_roi_candidate,562.6666666666666,159.0,467,63,659,255,192,96,96,8351,9278,8451.7900390625,8447.6689453125,-4.12109375,0.09225283563137054,0.09197164326906204,-0.0002811923623085022,0.29154759474225334,future8_negative,hard_negative_high_warning,44.0,0.0,1.0,0.0,0.6286054582853854,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle44_rank4_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle44_rank4_obj1.png
cycle44_rank4_obj3,44.0,5_c2_x10_260623,9,4,3,26.52636345001568,balanced_future_roi_candidate,1178.0,578.0,1082,482,1274,674,192,96,96,8351,9278,8017.73974609375,8012.58935546875,-5.150390625,0.08013547956943512,0.07974036782979965,-0.00039511173963546753,0.29154759474225334,future8_negative,hard_negative_high_warning,44.0,0.0,1.0,0.0,0.6286054582853854,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle44_rank4_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle44_rank4_obj3.png
cycle44_rank4_obj2,44.0,5_c2_x10_260623,9,4,2,24.701245784994107,balanced_future_roi_candidate,1324.2823529411764,99.31764705882352,1228,3,1420,195,192,96,96,8351,9278,8703.5263671875,8697.494140625,-6.0322265625,0.07395674288272858,0.07368874549865723,-0.0002679973840713501,0.29154759474225334,future8_negative,hard_negative_high_warning,44.0,0.0,1.0,0.0,0.6286054582853854,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle44_rank4_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle44_rank4_obj2.png
cycle76_rank8_obj1,76.0,9_c2_x10_010723,1,8,1,26.288093847288607,balanced_future_roi_candidate,1334.6818181818182,122.27272727272728,1239,26,1431,218,192,96,96,909,1818,8706.2646484375,8705.82421875,-0.4404296875,0.07444239407777786,0.074410080909729,-3.231316804885864e-05,0.2500000000000227,future8_negative,low_risk_negative,76.0,0.0,1.0,0.0,0.2739127589669339,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle76_rank8_obj1.png
cycle76_rank8_obj3,76.0,9_c2_x10_010723,1,8,3,25.981851806001654,balanced_future_roi_candidate,576.0,184.22857142857143,480,88,672,280,192,96,96,909,1818,8485.361328125,8486.9619140625,1.6005859375,0.0877872034907341,0.08790460973978043,0.00011740624904632568,0.2500000000000227,future8_negative,low_risk_negative,76.0,0.0,1.0,0.0,0.2739127589669339,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle76_rank8_obj3.png
cycle76_rank8_obj2,76.0,9_c2_x10_010723,1,8,2,25.083032624261563,balanced_future_roi_candidate,1190.9818181818182,1047.490909090909,1095,951,1287,1143,192,96,96,909,1818,8314.3515625,8314.6298828125,0.2783203125,0.08237205445766449,0.08237635344266891,4.298985004425049e-06,0.2500000000000227,future8_negative,low_risk_negative,76.0,0.0,1.0,0.0,0.2739127589669339,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle76_rank8_obj2.png
cycle78_rank22_obj1,78.0,9_c2_x10_010723,3,22,1,24.74683509607009,balanced_future_roi_candidate,1336.548387096774,121.29032258064515,1241,25,1433,217,192,96,96,2728,3637,8704.68359375,8706.0693359375,1.3857421875,0.07396160811185837,0.07403014600276947,6.85378909111023e-05,0.25,future8_positive,high_warning_positive,78.0,1.0,1.0,0.0,0.2683863942126585,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle78_rank22_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle78_rank22_obj1.png
