cohort_role,event_reference_cycle,cycleNo,n_roi,phase_slope_median_per_s,phase_slope_abs_median_per_s,diffusion_proxy_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s,threshold_robust_phase_score,threshold_robust_diffusion_score
future8_negative,40.0,40.0,3,1.372435502922655e-06,1.372435502922655e-06,1.8907113366591356e-06,2.8904416776940903e-06,0.5833333333333334,0.12268518518518522
future8_negative,44.0,44.0,3,1.5352464723015387e-07,5.145107947878666e-07,-1.0057559214935473e-06,1.736723481675439e-06,0.5694444444444445,0.5925925925925927
future8_negative,76.0,76.0,3,1.046745153465183e-06,1.046745153465183e-06,-4.568025465310925e-07,1.7918750426462205e-06,0.5972222222222222,0.7847222222222223
future8_negative,104.0,104.0,3,-4.552823687468893e-08,4.296734688232239e-07,-1.83716185713282e-06,1.83716185713282e-06,0.6851851851851852,0.9050925925925926
future8_negative,129.0,129.0,3,3.3263407500847165e-07,5.54915026942893e-07,-7.207123420370577e-08,8.388488340686417e-07,0.10648148148148145,0.16435185185185183
future8_negative,131.0,131.0,3,-2.3673604155839324e-07,1.1191410286211009e-06,-2.5023001415542972e-06,3.6799432455963135e-06,0.050925925925925895,0.5347222222222222
future8_negative,139.0,139.0,3,-8.298128999013202e-06,8.298128999013202e-06,4.540165306119326e-06,4.540165306119326e-06,0.7083333333333334,0.7361111111111112
future8_negative,140.0,140.0,3,-5.887842033566324e-06,5.887842033566324e-06,8.998506029123412e-07,4.978488301566115e-06,0.6944444444444445,0.664351851851852
future8_negative,143.0,143.0,3,-2.9624998553045367e-06,2.9624998553045367e-06,-1.7009334441607521e-06,1.7009334441607521e-06,0.8333333333333334,0.5046296296296297
future8_negative,146.0,146.0,3,2.9338588180183343e-06,2.9338588180183343e-06,-5.9392356486259255e-06,5.9392356486259255e-06,0.5972222222222222,0.6967592592592592
future8_negative,147.0,147.0,3,3.5543700057379374e-06,3.5543700057379374e-06,-8.012598951753861e-06,8.012598951753861e-06,0.6481481481481481,0.9421296296296298
future8_negative,158.0,158.0,3,7.83225030976405e-07,7.83225030976405e-07,-6.763922083320172e-07,1.123521689653679e-06,0.5277777777777778,0.27314814814814814
future8_positive,78.0,78.0,3,1.2465814717205687e-06,1.2465814717205687e-06,3.4306345454687484e-07,1.9612779674950725e-06,0.5092592592592592,0.46527777777777785
future8_positive,84.0,84.0,3,5.961903104325e-08,3.0814105011468837e-07,3.2544899639456686e-08,1.222014787167233e-06,0.40740740740740744,0.40046296296296297
future8_positive,108.0,108.0,3,9.356769640190332e-07,9.356769640190332e-07,-6.16144796654663e-07,1.2427916294286567e-06,0.5925925925925926,0.5277777777777778
future8_positive,110.0,110.0,3,7.00541174733643e-07,7.00541174733643e-07,-9.69586126650654e-07,1.0741362944489609e-06,0.6388888888888888,0.36574074074074076
future8_positive,148.0,148.0,3,3.4397710705049387e-06,3.4397710705049387e-06,-4.247332469766233e-06,4.247332469766233e-06,0.6805555555555557,0.3935185185185186
future8_positive,149.0,149.0,3,3.4358513596002273e-06,3.4358513596002273e-06,-3.1809613495191466e-07,1.958406637944948e-06,0.8703703703703703,0.45138888888888884
future8_positive,150.0,150.0,3,2.9380349504785054e-06,2.9380349504785054e-06,1.983771417390593e-06,2.5800040026992653e-06,1.0648148148148149,0.4467592592592593
future8_positive,151.0,151.0,3,1.8283424024848146e-06,1.8283424024848146e-06,5.548365671100631e-06,5.548365671100631e-06,0.6712962962962963,0.6643518518518519
future8_positive,152.0,152.0,3,5.632726809592687e-08,1.9261329412293965e-06,6.276044658032285e-06,6.276044658032285e-06,0.12499999999999996,0.4143518518518519
future8_positive,153.0,153.0,3,-2.8698743676236255e-07,2.453390531290398e-06,1.4345788803796265e-05,1.4345788803796265e-05,0.004629629629629613,0.4513888888888889
future8_positive,154.0,154.0,3,-4.605578731357581e-07,1.92996951111295e-06,8.341207206593357e-06,8.341207206593357e-06,0.018518518518518528,0.4421296296296296
future8_positive,155.0,155.0,3,-1.3032294444641744e-07,1.2435333315889176e-06,6.841060454285177e-06,6.841060454285177e-06,-0.018518518518518507,0.2222222222222223
