relative_path,source_class,channel,location,statement_type,value,unit,px_dimension,inferred_nm_per_px,scale_status,evidence_strength,snippet
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_pair,180.0,um x um,,,,derived_project_note,king. - Used provisional pixel calibration 0.096 um/px from `Battery_Degradation_Project/Degradation Paper Outline.pptx` slide text noting 96 nm pixel size and 180x120 um FoV. - Converted front-tracking radius-squared slopes and apparent diffusion proxies from full-pixel units into um^2/s using pixel area 0.009216 um^2/px^2. - T
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_pair,180.0,um x um,,,,derived_project_note,ather than every exposure. - PPTX text extraction found slide-derived calibration context: `Degradation Paper Outline.pptx` slide 3 states 96 nm pixel size and 180x120 um field of view; slide 16 mentions a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - Th
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,10.04,s,,,,derived_project_note,"g was read from `camera_timing` to normalize apparent transport proxies to seconds; the observed frame spacing is about 10.04 s/frame for both selected event segments. Interpretation: this is the first front-specific, time-normalized ROI selectio"
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,10.0,s,,,,derived_project_note,"hase growth rates correspond to 3.51e-6/s for events vs 1.60e-6/s for expanded controls; sampled ROI frames are roughly 10 s apart. - Event ROIs show larger first-last absolute change: 0.01213 vs 0.00828, p=0.00925, and lower first-last correla"
alek_jiho_nmc_deg/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,2.0,ms,,,,derived_project_note,ons a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - The project synthesis now carries the calibration metadata audit into `nmc_ai_physics_synthesis_summary.json` and th
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_pair,180.0,um x um,,,,derived_project_note,king. - Used provisional pixel calibration 0.096 um/px from `Battery_Degradation_Project/Degradation Paper Outline.pptx` slide text noting 96 nm pixel size and 180x120 um FoV. - Converted front-tracking radius-squared slopes and apparent diffusion proxies from full-pixel units into um^2/s using pixel area 0.009216 um^2/px^2. - T
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,fov_pair,180.0,um x um,,,,derived_project_note,ather than every exposure. - PPTX text extraction found slide-derived calibration context: `Degradation Paper Outline.pptx` slide 3 states 96 nm pixel size and 180x120 um field of view; slide 16 mentions a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - Th
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,10.04,s,,,,derived_project_note,"g was read from `camera_timing` to normalize apparent transport proxies to seconds; the observed frame spacing is about 10.04 s/frame for both selected event segments. Interpretation: this is the first front-specific, time-normalized ROI selectio"
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,10.0,s,,,,derived_project_note,"hase growth rates correspond to 3.51e-6/s for events vs 1.60e-6/s for expanded controls; sampled ROI frames are roughly 10 s apart. - Event ROIs show larger first-last absolute change: 0.01213 vs 0.00828, p=0.00925, and lower first-last correla"
alek_jiho_nmc_deg/scripts/OBJECTIVES_OBSERVATIONS.md,project_observation_note,file_text_sample,first_256kb,time_or_exposure_statement,2.0,ms,,,,derived_project_note,ons a minimum viable facet-size/point-spread-function note; `Degradation Project.pptx` slide 3 mentions exposure time = 2 ms. - The project synthesis now carries the calibration metadata audit into `nmc_ai_physics_synthesis_summary.json` and th
