split,physics_category,n_pairs,n_strong_centered,max_abs_source_centered_rho,max_abs_raw_rho
leave_cycle,echem_state,3276,1489,0.7638184829263878,0.5432194775655609
leave_cycle,degradation_trace,936,71,0.6763712041956714,0.9032416738409933
leave_cycle,rollout_prediction,819,70,0.5889335218816505,0.41558025999167364
leave_cycle,front_phase_diffusion,819,70,0.5000454842576505,0.5612827228228077
leave_cycle,particle_optical,1794,67,0.43973234430003366,0.5208552549972519
leave_cycle,mask_qc,624,40,0.42815507847334405,0.2975226687842323
leave_source,front_phase_diffusion,819,315,0.815008837484705,0.7593733661678431
leave_source,echem_state,3276,1296,0.7687685751950195,0.6315108975959938
leave_source,rollout_prediction,819,242,0.7665405410062378,0.6899830726534342
leave_source,degradation_trace,936,168,0.7099920028528247,0.8331757092597358
leave_source,particle_optical,1794,117,0.7099470007988637,0.5932788895848936
leave_source,mask_qc,624,55,0.5183390753054912,0.40940438990119715
