stratum,n_roi,n_event,n_control,event_fraction,front_quality_median,q70_phase_ci_positive_fraction,original_qc_fragmented_q70_mask_fraction,original_qc_no_auto_flags_fraction,balanced_qc_fragmented_q70_mask_fraction,balanced_qc_no_auto_flags_fraction
all_front_rois,52,24,28,0.46153846153846156,1.1713631203445254,0.5,0.3269230769230769,0.09615384615384616,0.5769230769230769,0.038461538461538464
complete_threshold_sweep,52,24,28,0.46153846153846156,1.1713631203445254,0.5,0.3269230769230769,0.09615384615384616,0.5769230769230769,0.038461538461538464
front_quality_top_half,26,20,6,0.7692307692307693,1.515699271023522,0.5769230769230769,0.3076923076923077,0.19230769230769232,0.5769230769230769,0.0
q70_phase_ci_excludes_zero,30,18,12,0.6,1.1713631203445254,0.8666666666666667,0.4,0.16666666666666666,0.5,0.03333333333333333
q70_phase_ci_positive,26,18,8,0.6923076923076923,1.25182713986658,1.0,0.46153846153846156,0.19230769230769232,0.46153846153846156,0.0
original_qc_selected,24,18,6,0.75,1.2825290987485947,0.75,0.7083333333333334,0.20833333333333334,0.5,0.0
original_qc_not_fragmented,7,7,0,1.0,1.4367926892737708,0.8571428571428571,0.0,0.7142857142857143,0.0,0.0
original_qc_no_auto_flags,5,5,0,1.0,1.5087951450912631,1.0,0.0,1.0,0.0,0.0
balanced_qc_selected,40,16,24,0.4,1.262943994057727,0.425,0.3,0.1,0.75,0.05
balanced_qc_new_only,22,4,18,0.18181818181818182,1.0580409764402285,0.22727272727272727,0.0,0.0,0.8181818181818182,0.09090909090909091
balanced_qc_not_fragmented,10,6,4,0.6,1.3784121715928666,0.5,0.0,0.4,0.0,0.2
balanced_qc_no_auto_flags,2,0,2,0.0,0.9101169549284062,0.0,0.0,0.0,0.0,1.0
balanced_qc_not_fragmented_no_active_control,10,6,4,0.6,1.3784121715928666,0.5,0.0,0.4,0.0,0.2
