cycleNo,n_tracked_rois,radius2_slope_full_px2_per_s,radius2_slope_r2,apparent_diffusion_proxy_full_px2_per_s,roi_mean_delta_corrected,active_fraction_last,stage_drift_xy
58.0,3,-0.2075508377708377,0.33737460904290445,-0.05188770944270942,2.3330078125,0.1054054542824074,0.21212340707186458
60.0,6,-0.0073016832177746835,0.019906139623044494,-0.0018254208044436709,1.9029947916666667,0.22107837818287038,0.22363409516745456
62.0,4,-0.003505109620135196,0.03629514017474178,-0.000876277405033799,13.882568359375,0.2044338650173611,0.2500244143604941
86.0,3,-0.1457217079128196,0.15655401320956688,-0.0364304269782049,-0.6155598958333334,0.10087528935185186,0.22363409516745456
88.0,4,-0.023561585312085614,0.11729103625729351,-0.0058903963280214034,-5.991455078125,0.03427463107638889,0.18026741406264754
90.0,3,-0.1372355287860352,0.13407699759420488,-0.0343088821965088,-1.4900716145833333,0.03807689525462963,0.21212340707186458
116.0,1,-0.217030104531719,0.612143252222972,-0.05425752613292975,-5.15625,0.04250759548611111,0.22363409516745456
118.0,2,-0.1896560164321775,0.282387634601726,-0.047414004108044375,-6.10595703125,0.038357204861111105,0.2500244143604941
156.0,6,-0.061332428920461535,0.1402277407810484,-0.015333107230115384,314.6609700520833,0.22928873697916666,0.1802335506961064
157.0,4,-0.013991383204708266,0.02660523562092837,-0.0034978458011770664,-222.148681640625,0.1161227756076389,0.22360679941597944
158.0,4,-0.0260528883100755,0.05002843821563216,-0.006513222077518875,66.36767578125,0.09206136067708333,0.1802335506961064
