model_name,eval_cohort,x,y,n,spearman_rho,p_value
transfer_ranked_internal,transfer_ranked,cycleNo,particle_mse_mean,48,0.5685066284008067,2.493274873292212e-05
pooled,transfer_ranked,cycleNo,particle_mse_mean,48,0.51056687240287,0.00020919396661903575
selected_internal,selected,cycleNo,particle_mse_mean,11,-0.8660254037844386,0.0005669643108945608
selected_internal,transfer_ranked,validation_score_first,dmd_particle_mse_ratio_vs_persistence,48,0.40762049500651326,0.0040315560287330285
transfer_ranked_internal,selected,validation_score_first,particle_mse_mean,11,-0.7818181818181819,0.004473162252783041
selected_internal,transfer_ranked,validation_score_first,particle_mse_mean,48,0.381133304385584,0.0075249523908318345
pooled,transfer_ranked,validation_score_first,particle_mse_mean,48,-0.2256838905775076,0.12299037560157752
transfer_ranked_internal,selected,validation_score_first,dmd_particle_mse_ratio_vs_persistence,11,-0.48181818181818187,0.1334338382568287
selected_internal,transfer_ranked,mask_fallback_used_mean,particle_mse_mean,48,0.20531909269053564,0.16152472855223052
pooled,selected,validation_score_first,dmd_particle_mse_ratio_vs_persistence,11,0.43636363636363645,0.1796648765800111
pooled,transfer_ranked,accepted_area_fraction_median,particle_mse_mean,48,-0.1932857492502189,0.18808133743379163
transfer_ranked_internal,transfer_ranked,accepted_area_fraction_median,particle_mse_mean,48,-0.18948625403889754,0.1970795107432342
transfer_ranked_internal,transfer_ranked,validation_score_first,particle_mse_mean,48,-0.1849761181068172,0.2081510632982439
pooled,selected,cycleNo,particle_mse_mean,11,-0.40414518843273806,0.21766200933541355
transfer_ranked_internal,transfer_ranked,validation_score_first,dmd_particle_mse_ratio_vs_persistence,48,0.17585757707338254,0.23185048556786675
pooled,transfer_ranked,mask_fallback_used_mean,particle_mse_mean,48,-0.17373153996891472,0.2376322329722433
selected_internal,transfer_ranked,accepted_area_fraction_median,particle_mse_mean,48,-0.15149130192568405,0.30402344156043276
selected_internal,selected,accepted_area_fraction_median,particle_mse_mean,11,-0.33636363636363636,0.31182431390038623
pooled,transfer_ranked,validation_score_first,dmd_particle_mse_ratio_vs_persistence,48,0.13656100738167606,0.3546908951083303
selected_internal,selected,validation_score_first,dmd_particle_mse_ratio_vs_persistence,11,0.27272727272727276,0.41714143714253127
transfer_ranked_internal,selected,cycleNo,particle_mse_mean,11,0.23094010767585033,0.49446565128734404
transfer_ranked_internal,transfer_ranked,mask_fallback_used_mean,particle_mse_mean,48,-0.07896888180405215,0.5936701221936805
selected_internal,transfer_ranked,cycleNo,particle_mse_mean,48,-0.06752377578706899,0.6483842620655151
pooled,selected,accepted_area_fraction_median,particle_mse_mean,11,-0.11818181818181818,0.7292847795197802
selected_internal,selected,validation_score_first,particle_mse_mean,11,0.10000000000000002,0.7698749998921367
transfer_ranked_internal,selected,accepted_area_fraction_median,particle_mse_mean,11,-0.08181818181818183,0.810990394300046
pooled,selected,validation_score_first,particle_mse_mean,11,0.08181818181818183,0.810990394300046
