cycleNo,consensus_class,cross_modal_consensus_score,n_modal_votes,any_abrupt_drop,synchronized_drop_2plus,future_any_drop_within_8cycles,frames_percentile,drop_count,max_abs_delta_prev,integrated_evidence_score,hazard_probability_max,roi_diffusion_proxy_abs_median_um2_per_s,roi_transferred_masked_residual_signature,joint_rollout_residual_energy_mean,state_state_step_norm,trace_vote,acquisition_vote,integrated_event_vote,ai_rollout_vote,front_motion_vote,echem_state_vote,integrated_degradation_mode_hypothesis
86,synchronized_multimodal_degradation_candidate,0.8126999459104489,4,1,1,0,0.0786516853932584,3,0.1680327868852459,12.399287527913966,0.942168570758731,,,0.0017062032611647,8.521464254560303,1,1,0,1,0,1,synchronized_persistent_drop_low_frame_count
116,synchronized_multimodal_degradation_candidate,0.7951514188778093,4,1,1,0,0.0112359550561797,3,0.2622950819672129,12.929917335181958,0.6553555372731211,,,0.0006107718304898,13.563520693660344,1,1,1,0,0,1,synchronized_persistent_drop_low_frame_count
150,multimodal_outlier_without_trace_drop,0.6463997608683184,3,0,0,1,0.848314606741573,0,0.0555555555555555,,0.9999994341692892,1.685953121692708e-06,40.97186183003927,,29.647137869789937,0,0,0,1,1,1,
151,multimodal_outlier_without_trace_drop,0.6252469725648413,3,0,0,1,0.8314606741573034,0,0.0368852459016393,,0.9991591620464354,3.5548311927908026e-06,1.4388691546947752,,28.533194056224296,0,0,0,1,1,1,
104,multimodal_outlier_without_trace_drop,0.6214992033011846,3,0,0,0,0.0786516853932584,0,0.1666666666666667,,0.9992884665151364,2.0565891407483154e-06,0.3719069574735253,,1.4822759143483983,1,1,0,1,0,0,
126,multimodal_outlier_without_trace_drop,0.5645102487330952,3,0,0,0,0.7078651685393258,0,0.0163934426229508,,1.0,,,,25.535815332623,1,0,0,1,0,1,
76,low_consensus,0.7100667532723229,2,0,0,0,0.2022471910112359,0,0.3333333333333332,,0.9915176758775572,1.1616820100929252e-06,0.2739127589669339,,4.530712836386308,1,0,0,0,0,1,
125,low_consensus,0.7091560885205925,2,0,0,0,0.7415730337078652,0,0.2222222222222221,,0.974616592397145,,,,5.178836359034327,1,0,0,0,0,1,
88,low_consensus,0.6974769390575238,2,0,0,0,0.1797752808988764,0,0.1111111111111111,,0.9816603081797028,,,,1.6534033937795864,1,0,0,0,0,1,
90,low_consensus,0.6537558396927734,2,0,0,0,0.1629213483146067,0,0.081967213114754,,0.7970151635594439,,,,2.145574240764198,1,0,0,0,0,1,
106,low_consensus,0.653099512589666,2,0,0,0,0.0337078651685393,0,0.0555555555555553,,0.9999905504552902,,,,2.242120563650745,0,1,0,1,0,0,
112,low_consensus,0.6492858679943373,2,0,0,1,0.1404494382022472,0,0.0563380281690142,,0.9952265116774436,,,,8.756170712128581,0,1,0,0,0,1,
118,low_consensus,0.6210497900874848,2,0,0,0,0.0786516853932584,0,0.0901639344262295,,0.0771833478762239,,,,7.277462750010905,0,1,0,0,0,1,
110,low_consensus,0.611098871807764,2,0,0,1,0.1179775280898876,0,0.1666666666666665,,0.9994451427249464,1.5283546924136028e-06,0.1861489207307045,,3.726419147611593,0,1,0,1,0,0,
130,low_consensus,0.599774152201058,2,0,0,0,0.6853932584269663,0,0.0555555555555555,,0.9985020455947876,,,,2.278544488589542,1,0,0,1,0,0,
96,low_consensus,0.5930616145518888,2,0,0,0,0.0224719101123595,0,0.2704918032786886,,0.7380682682559461,,,,3.568710314025355,1,1,0,0,0,0,
94,low_consensus,0.569990226281757,2,0,0,0,0.1404494382022472,0,0.0478873239436619,,0.705521921007485,,,,2.77182848467324,1,1,0,0,0,0,
156,trace_event_low_modal_support,0.568138865483918,2,1,0,0,0.9101123595505618,1,0.2131147540983602,4.816527810967591,0.9662896639366352,,,,6.385183479815459,1,0,0,0,0,1,single_persistent_drop_needs_roi_qc
154,low_consensus,0.5447656460704666,2,0,0,1,0.7921348314606742,0,0.1666666666666667,,0.9970977364488596,8.276832612639884e-06,1.0097002411185476,,0.5547306155173712,1,0,0,0,1,0,
128,low_consensus,0.5432225633158942,2,0,0,0,0.6853932584269663,0,0.0555555555555555,,0.9980765378927536,,,,1.633830586879799,1,0,0,1,0,0,
153,low_consensus,0.510754289908875,2,0,0,1,0.8089887640449438,0,0.0555555555555555,,0.9900561363108876,1.4778848079399394e-05,0.8710369083836372,,0.8322469875994432,1,0,0,0,1,0,
147,low_consensus,0.4849426161254119,2,0,0,0,0.848314606741573,0,0.0409836065573769,,0.646474090948542,7.139088247327485e-06,0.6943342227566772,,2.0433041588295424,1,0,0,0,1,0,
129,low_consensus,0.4524770148222184,2,0,0,0,0.6853932584269663,0,0.0081967213114755,,0.9995241920278646,1.030746739025892e-06,0.2863584478094875,,1.889283937086472,1,0,0,1,0,0,
92,low_consensus,0.7007544485570945,1,0,0,0,0.2022471910112359,0,0.1111111111111111,,0.9477870247376824,,,,2.499289041599082,1,0,0,0,0,0,
60,trace_event_low_modal_support,0.6682945470398655,1,1,0,0,0.3707865168539326,1,0.2222222222222223,5.37722440775176,,,,,3.3674690546455954,1,0,0,0,0,0,single_persistent_drop_needs_roi_qc
