roi_id,context_role,cycleNo,source_stem,strategy,default_q70_positive_ci,front_identity_flags,threshold_value,area_px_median,area_px_cv,raw_component_count_median,raw_largest_component_fraction_median,radius2_slope_px2_per_sample,radius2_slope_r2,apparent_D_um2_per_sample,centroid_path_px,centroid_net_px
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,raw,False,fragmented_q70_mask;no_dominant_component;weak_radius2_fit,0.07791147232055662,2338.5,0.0959061407906269,54.0,0.40873240351488926,0.026766170266087793,0.016897638607998866,6.166925629306627e-05,21.53692387445518,0.1320299498365109
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,largest_component,False,fragmented_q70_mask;no_dominant_component;weak_radius2_fit,0.07791147232055662,934.0,0.15746362307461167,54.0,0.40873240351488926,-0.2949848471935133,0.0021658926945229418,-0.0006796450879338547,247.11809891315204,0.19855966256556287
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,central_component,False,fragmented_q70_mask;no_dominant_component;weak_radius2_fit,0.07791147232055662,934.0,0.1581753475601496,54.0,0.40873240351488926,0.48120073787104617,0.022577201459528018,0.0011086865000548903,90.89812453188622,0.19855966256556287
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,top3_components,False,fragmented_q70_mask;no_dominant_component;weak_radius2_fit,0.07791147232055662,1894.5,0.17074712874929587,54.0,0.40873240351488926,0.28975784698533286,0.04189349977418866,0.0006676020794542069,160.6613343713037,0.1827006107269981
cycle78_rank22_obj1,same_cycle_neighbor_object,78.0,9_c2_x10_010723,raw,False,fragmented_q70_mask;no_dominant_component;weak_radius2_fit,0.07624874264001846,2192.0,0.058017151791631985,63.0,0.4819628937624404,-0.09242797221112287,0.15910422346530007,-0.0002129540479744271,21.023381078186812,0.5424813602790197
cycle78_rank22_obj1,same_cycle_neighbor_object,78.0,9_c2_x10_010723,largest_component,False,fragmented_q70_mask;no_dominant_component;weak_radius2_fit,0.07624874264001846,1047.0,0.15312275518707277,63.0,0.4819628937624404,-0.5958272188596228,0.014341442340595645,-0.0013727859122525709,298.31243367010273,11.281489621794531
cycle78_rank22_obj1,same_cycle_neighbor_object,78.0,9_c2_x10_010723,central_component,False,fragmented_q70_mask;no_dominant_component;weak_radius2_fit,0.07624874264001846,1047.0,0.15312275518707277,63.0,0.4819628937624404,-0.5958272188596228,0.014341442340595645,-0.0013727859122525709,298.31243367010273,11.281489621794531
cycle78_rank22_obj1,same_cycle_neighbor_object,78.0,9_c2_x10_010723,top3_components,False,fragmented_q70_mask;no_dominant_component;weak_radius2_fit,0.07624874264001846,1397.5,0.08200647173971892,63.0,0.4819628937624404,-0.17351440848901603,0.012256595136608706,-0.00039977719715869294,392.69709401041126,3.930560767723018
cycle78_rank22_obj2,target_nearest_diffusion_candidate,78.0,9_c2_x10_010723,raw,True,fragmented_q70_mask;no_dominant_component,0.07771071717143058,2349.5,0.094893233212084,53.0,0.4196332270404671,0.14441346960694823,0.42383105232167195,0.00033272863397440874,18.749032742994544,0.5129455564813664
cycle78_rank22_obj2,target_nearest_diffusion_candidate,78.0,9_c2_x10_010723,largest_component,True,fragmented_q70_mask;no_dominant_component,0.07771071717143058,989.5,0.14837939030792863,53.0,0.4196332270404671,2.581939034740307,0.12654892517613958,0.005948787536041667,222.07023887619837,1.224151008429059
cycle78_rank22_obj2,target_nearest_diffusion_candidate,78.0,9_c2_x10_010723,central_component,True,fragmented_q70_mask;no_dominant_component,0.07771071717143058,989.5,0.1494563837714712,53.0,0.4196332270404671,0.7427385187243775,0.06688246802939612,0.0017112695471409656,66.93641702133326,1.224151008429059
cycle78_rank22_obj2,target_nearest_diffusion_candidate,78.0,9_c2_x10_010723,top3_components,True,fragmented_q70_mask;no_dominant_component,0.07771071717143058,2037.0,0.1515471649103055,53.0,0.4196332270404671,0.29231128721813504,0.07058515792015452,0.0006734852057505832,136.3401537786586,0.15043917280000854
cycle78_rank22_obj3,same_cycle_neighbor_object,78.0,9_c2_x10_010723,raw,False,fragmented_q70_mask;no_dominant_component;weak_radius2_fit,0.07345127165317535,2207.0,0.07947701697150582,78.5,0.33587757361195963,-0.017964378325927646,0.009080119099505235,-4.13899276629373e-05,22.301233013013967,0.21004233277849702
