feature_set,target,n_eval_cycles,r2,mae,spearman_rho,spearman_p
cycle_state_only,macro_mode_fraction,11,,0.26083887965781316,,
context_only,macro_mode_fraction,11,,0.30348576022884316,,
cycle_state_plus_context,macro_mode_fraction,11,,0.3484362128764394,,
cycle_state_echem_context,macro_mode_fraction,11,,0.39479627039913506,,
echem_only,macro_mode_fraction,11,,0.3955182839575299,,
echem_plus_context,macro_mode_fraction,11,,0.4087298325304406,,
cycle_state_only,mode_fraction__front_negative_high_apparent_front_proxy,11,-1.2505143605058708,0.31188014339204523,-0.19595032047695293,0.5636426452185316
context_only,mode_fraction__front_negative_high_apparent_front_proxy,11,-1.272297308920387,0.3283345688611863,-0.18161249214937103,0.5930410024112571
cycle_state_plus_context,mode_fraction__front_negative_high_apparent_front_proxy,11,-2.075452704756123,0.38977941090166096,-0.2246259771321168,0.5066652378770767
echem_only,mode_fraction__front_negative_high_apparent_front_proxy,11,-8.539258454073357,0.6032671618483488,-0.5687338569940829,0.06788340701032025
cycle_state_echem_context,mode_fraction__front_negative_high_apparent_front_proxy,11,-7.04790698554425,0.6051581147918008,-0.43969340204584567,0.17598678735328546
echem_plus_context,mode_fraction__front_negative_high_apparent_front_proxy,11,-8.03762199416715,0.6255396788948316,-0.5066032675745612,0.11177620482191233
cycle_state_only,mode_fraction__near_baseline_or_context_like,11,-0.16028513173705639,0.2684836532428032,0.2905328045096922,0.386100121923995
context_only,mode_fraction__near_baseline_or_context_like,11,-1.9241596819008393,0.4375188232179479,-0.1221141857116416,0.7205837243200962
cycle_state_plus_context,mode_fraction__near_baseline_or_context_like,11,-2.2237854043393392,0.4558173436182696,-0.15932444118273442,0.6398374832638809
echem_only,mode_fraction__near_baseline_or_context_like,11,-3.9561521055357964,0.5536197973258242,-0.0609181686875161,0.8587820949108719
cycle_state_echem_context,mode_fraction__near_baseline_or_context_like,11,-3.496273733027353,0.571395363828084,-0.2389866617741017,0.479108774527858
echem_plus_context,mode_fraction__near_baseline_or_context_like,11,-4.840624520635364,0.6362281913754809,-0.28584679153372944,0.39415442741820994
echem_plus_context,mode_fraction__optical_brightening_decorrelating_rollout_hard_front_positive,11,0.46474870340495145,0.17300401322763873,0.4743416490252569,0.14045297087829414
cycle_state_echem_context,mode_fraction__optical_brightening_decorrelating_rollout_hard_front_positive,11,0.4418982875190631,0.17768237153425354,0.6755775001268811,0.02251735535056164
echem_only,mode_fraction__optical_brightening_decorrelating_rollout_hard_front_positive,11,0.2865410679658552,0.1952074056779253,0.5462115958472655,0.08213989920574079
cycle_state_only,mode_fraction__optical_brightening_decorrelating_rollout_hard_front_positive,11,-0.5368820068022471,0.2801002292463704,0.5078809575421943,0.11072592299086084
context_only,mode_fraction__optical_brightening_decorrelating_rollout_hard_front_positive,11,-0.23241640301716782,0.28455943380733123,0.5845422341523367,0.05893937328927071
cycle_state_plus_context,mode_fraction__optical_brightening_decorrelating_rollout_hard_front_positive,11,-1.1086360333739589,0.3725001191409972,0.33539308516937355,0.31331056216054093
context_only,mode_fraction__optical_loss_rollout_hard,11,-0.747388222150178,0.16353021502890727,0.12140553864150608,0.7221495669317727
cycle_state_plus_context,mode_fraction__optical_loss_rollout_hard,11,-0.8431220221643687,0.17564797784483005,0.046249729006288036,0.8925892307369571
cycle_state_only,mode_fraction__optical_loss_rollout_hard,11,-0.7541328230326168,0.18289149275003377,-0.1329679708930781,0.6967242913182145
echem_plus_context,mode_fraction__optical_loss_rollout_hard,11,-0.9526206786151719,0.20014744662381193,0.052030945132074034,0.8792428935247815
cycle_state_echem_context,mode_fraction__optical_loss_rollout_hard,11,-1.5947529909210725,0.22494923144240167,0.023124864503144018,0.9461940481133146
echem_only,mode_fraction__optical_loss_rollout_hard,11,-1.624063672534386,0.2299787709780214,-0.02890608062893002,0.9327661536520415
