cycleNo,mode_count__front_negative_high_apparent_front_proxy,mode_count__near_baseline_or_context_like,mode_count__optical_brightening_decorrelating_rollout_hard_front_positive,mode_count__optical_loss_rollout_hard,n_roi,mode_fraction__front_negative_high_apparent_front_proxy,mode_fraction__near_baseline_or_context_like,mode_fraction__optical_brightening_decorrelating_rollout_hard_front_positive,mode_fraction__optical_loss_rollout_hard,cohort_role,event_reference_cycle,source_stem,protocol_block_segment,block_mode,cycle_bin,particle0,particle1,particle2,particle3,addrs,n_frames,particle0_norm,particle0_abrupt_drop,particle1_norm,particle1_abrupt_drop,particle2_norm,particle2_abrupt_drop,particle3_norm,particle3_abrupt_drop,particle0_norm_delta_prev,particle0_norm_abs_delta_prev,particle0_norm_rolling3_slope,particle0_norm_rolling5_mean,particle0_norm_rolling5_std,particle1_norm_delta_prev,particle1_norm_abs_delta_prev,particle1_norm_rolling3_slope,particle1_norm_rolling5_mean,particle1_norm_rolling5_std,particle2_norm_delta_prev,particle2_norm_abs_delta_prev,particle2_norm_rolling3_slope,particle2_norm_rolling5_mean,particle2_norm_rolling5_std,particle3_norm_delta_prev,particle3_norm_abs_delta_prev,particle3_norm_rolling3_slope,particle3_norm_rolling5_mean,particle3_norm_rolling5_std,particle_norm_mean,particle_norm_std,particle_norm_min,particle_norm_max,particle_norm_range,particle_norm_cv,mean_delta_prev,mean_abs_delta_prev,max_abs_delta_prev,delta_std_across_particles,drop_count,any_abrupt_drop,synchronized_drop_2plus,synchronized_drop_3plus,cycle_gap,frames_percentile,future_any_drop_within_4cycles,future_sync2_drop_within_4cycles,cycles_to_next_drop_within_4,future_any_drop_within_8cycles,future_sync2_drop_within_8cycles,cycles_to_next_drop_within_8,future_any_drop_within_16cycles,future_sync2_drop_within_16cycles,cycles_to_next_drop_within_16,charge_capacity_mAh,discharge_capacity_mAh,capacity_mAh,coulombic_efficiency_pct,V_min,V_max,n_points,echem_shape_points,echem_shape_duration_s,shape_V_min,shape_V_max,shape_V_range,shape_V_mean,shape_V_std,shape_I_mean_mA,shape_I_abs_mean_mA,shape_I_pos_fraction,shape_I_neg_fraction,shape_charge_mAh_signed,shape_charge_mAh_abs,shape_charge_mAh_pos,shape_charge_mAh_neg_abs,shape_dVdt_slope,shape_dIdt_slope,shape_V_q05,shape_I_q05,shape_V_q10,shape_I_q10,shape_V_q25,shape_I_q25,shape_V_q50,shape_I_q50,shape_V_q75,shape_I_q75,shape_V_q90,shape_I_q90,shape_V_q95,shape_I_q95,shape_dVdt_abs_median,shape_dVdt_abs_p95,shape_dVdt_sign_consistency,all_dq_abs_total_mAh,all_dq_abs_lowV_frac,all_dq_abs_midV_frac,all_dq_abs_highV_frac,all_dq_abs_peak_voltage,all_dq_abs_peak_frac,all_dq_abs_entropy,all_dqdv_abs_integral_proxy,pos_dq_abs_total_mAh,pos_dq_abs_lowV_frac,pos_dq_abs_midV_frac,pos_dq_abs_highV_frac,pos_dq_abs_peak_voltage,pos_dq_abs_peak_frac,pos_dq_abs_entropy,pos_dqdv_abs_integral_proxy,neg_dq_abs_total_mAh,neg_dq_abs_lowV_frac,neg_dq_abs_midV_frac,neg_dq_abs_highV_frac,neg_dq_abs_peak_voltage,neg_dq_abs_peak_frac,neg_dq_abs_entropy,neg_dqdv_abs_integral_proxy,shape_block_mode,shape_block_nunique,cycle_state_pc1,cycle_state_pc2,cycle_state_pc3,cycle_state_pc4,cycle_state_pc5,cycle_state_pc6,cycle_state_pc7,cycle_state_pc8,degradation_state_axis,degradation_axis_oriented_to,cycle_state_cluster,state_step_norm,axis_step,shape_block_mode__galvanostatic_10,shape_block_mode__missing,shape_block_mode__galvanostatic_6,shape_block_mode__galvanostatic_14,shape_block_mode__galvanostatic_2,block_mode__galvanostatic_10,block_mode__nan,block_mode__galvanostatic_6,block_mode__galvanostatic_14,block_mode__galvanostatic_2,source_stem__7_c2_x10_290623,source_stem__10_c2_x10_030723,source_stem__18_c2_xn_highhighcov_170723,source_stem__13_c2_x6_100723,cohort_role__control,cohort_role__event,cycle_bin__cycle1,cycle_bin__cycle3,cycle_bin__cycle2
58,0,4,0,0,4,0.0,1.0,0.0,0.0,control,60.0,7_c2_x10_290623,24.0,galvanostatic_6,cycle1,373,130,246,21,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle3.hdf5,919.0,1.0507042253521126,False,1.0655737704918034,False,1.0081967213114753,False,1.1666666666666667,False,0.0056338028169014,0.0056338028169014,0.011267605633803,1.0535211267605633,0.018896349105632,0.0327868852459016,0.0327868852459016,0.0163934426229509,1.0557377049180328,0.0219941112540969,0.0122950819672129,0.0122950819672129,0.016393442622951,1.0049180327868854,0.0203684813767034,0.0555555555555555,0.0555555555555555,0.0555555555555558,1.1,0.0464811125852257,1.0727853459555146,0.067144062829237,1.0081967213114753,1.1666666666666667,0.1584699453551914,0.0625885346797245,0.0265678313963929,0.0265678313963929,0.0555555555555555,0.0225159921799737,0,0,0,0,2.0,0.3539325842696629,1,0,2.0,1,0,2.0,1,0,2.0,0.6472863899378487,0.6391710499937513,0.6391710499937513,98.7462520346092,2.991089,4.201038,71886.0,71886.0,9246.054083347328,2.991089,4.201038,1.2099489999999995,3.828237694919734,0.1886188198213799,0.0163604508805609,0.500889,0.5163314136271319,0.4836685863728681,0.0082336017070066,1.2864574399316,0.6473455208193033,0.6391119191122967,-3.5063566459085726e-05,-0.000162632600479,3.530625,-0.500889,3.5978975,-0.500889,3.711113,-0.500889,3.830795,0.500889,3.954917,0.500889,4.08039,0.500889,4.131931,0.500889,0.0,0.0096038559191223,0.0098629755860054,1.2863391781686968,0.0652381535329962,0.6761715578273597,0.258590288639644,3.825,0.125238321163992,2.704529213274512,1.0631350397154735,0.6472863899378488,0.001491779698353,0.6032771924125377,0.3952310278891093,3.825,0.1789830072431072,2.269193479760182,0.5872489894966583,0.6390527882308388,0.1298058401951358,0.7500050994457157,0.1201890603591484,3.675,0.1463946326882411,2.6587650699188137,0.5622519791401851,galvanostatic_6,2.0,-3.5474100700235667,0.8812183009687103,1.724142476500518,-0.553194943816347,-0.0440555677422329,0.7583129798253584,-1.2368740554096165,1.8889447402293555,3.5474100700235667,mean_abs_delta_prev,1,1.0790902799200783,-0.8387451653773388,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
60,1,0,5,0,6,0.16666666666666666,0.0,0.8333333333333334,0.0,event,60.0,7_c2_x10_290623,25.0,galvanostatic_10,cycle1,363,128,240,17,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle5.hdf5,920.0,1.0225352112676056,False,1.0491803278688523,False,0.9836065573770492,False,0.9444444444444444,True,-0.028169014084507,0.028169014084507,-0.0112676056338026,1.044507042253521,0.0211173688044972,-0.016393442622951,0.016393442622951,0.0081967213114754,1.0524590163934426,0.0213744341154191,-0.0245901639344261,0.0245901639344261,-0.0061475409836065,0.9983606557377052,0.0210178383687835,-0.2222222222222223,0.2222222222222223,-0.0833333333333332,1.0666666666666669,0.0824022054121737,0.999941635239488,0.0457591210743852,0.9444444444444444,1.0491803278688523,0.1047358834244078,0.045761791950413,-0.0728437107160266,0.0728437107160266,0.2222222222222223,0.0997075820649382,1,1,0,0,2.0,0.3707865168539326,0,0,,0,0,,0,0,,0.6475185538916496,0.6398820700465511,0.6398820700465511,98.8206540493392,2.962327,4.20181,56443.0,56443.0,9252.832955360413,2.962327,4.20181,1.239483,3.829972590648973,0.1920841837861112,0.0216442830997643,0.500889,0.5216058678666974,0.4783941321333026,0.0076949232941384,1.2874006239382003,0.6475477736161694,0.639852850322031,-3.612517341572915e-05,-0.0001626222749238,3.525799,-0.500889,3.596643,-0.500889,3.712078,-0.500889,3.834463,0.500889,3.961094,0.500889,4.081935,0.500889,4.13251,0.500889,0.0,0.0064345629300335,0.0106658162361362,1.2873352297276686,0.066177799345196,0.6756734529597476,0.2581487476950562,3.825,0.1244179443918511,2.707830275636725,1.038606604308142,0.6475185538916434,0.0020477645127948,0.6036461741271699,0.3943060613600351,3.825,0.1777213336450506,2.270805019230325,0.5865353051450972,0.6398166758360093,0.1310798079735888,0.7485677697099123,0.1203524223164986,3.675,0.1462606183223675,2.6619813580376084,0.5489392363234293,galvanostatic_10,2.0,-4.816019715064928,0.663737499131033,-1.3708875064717725,-0.8756370437944915,-1.4413357659431592,0.1633888914160784,0.1275894848370371,-2.5928628291638787,4.816019715064928,mean_abs_delta_prev,1,3.3674690546455954,1.268609645041361,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
62,1,1,1,1,4,0.25,0.25,0.25,0.25,control,60.0,7_c2_x10_290623,26.0,galvanostatic_14,cycle1,350,118,226,17,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle7.hdf5,917.0,0.9859154929577464,False,0.9672131147540984,False,0.9262295081967212,False,0.9444444444444444,False,-0.0366197183098592,0.0366197183098592,-0.032394366197183,1.0264788732394368,0.0254770006864113,-0.0819672131147538,0.0819672131147538,-0.0491803278688523,1.0295081967213116,0.0373828008229226,-0.0573770491803279,0.0573770491803279,-0.040983606557377,0.9778688524590164,0.0314267041191487,0.0,0.0,-0.1111111111111112,1.0444444444444445,0.0993807989999904,0.9559506400882528,0.0260798387149705,0.9262295081967212,0.9859154929577464,0.0596859847610251,0.0272815746141064,-0.0439909951512352,0.0439909951512352,0.0819672131147538,0.0346935294156834,0,0,0,0,2.0,0.3370786516853932,0,0,,0,0,,0,0,,0.6460740325710648,0.6373127960633862,0.6373127960633862,98.6439268464617,2.991282,4.201617,47050.0,47050.0,9223.984920978546,2.991282,4.201617,1.2103349999999995,3.8226030426780016,0.1893316493204328,0.002895681360255,0.500889,0.5028905419766206,0.4971094580233793,0.0088488917005304,1.283386828634451,0.6461178601674906,0.6372689684669602,-3.614256575753759e-05,-0.0001624544699749,3.52522,-0.500889,3.592396,-0.500889,3.702426,-0.500889,3.826934,0.500889,3.949319,0.500889,4.074212999999999,0.500889,4.126333,0.500889,0.0,0.0038603350167176,0.0113923781589406,1.2832991734415922,0.0656638829174134,0.6756352051973782,0.2587009118852084,3.825,0.124976862933391,2.706714805586702,1.0602842795107077,0.646074032571063,0.0023129179044309,0.6028772804511785,0.3948098016443905,3.825,0.1780205745336915,2.274891518440105,0.5964912905365066,0.6372251408705367,0.129894577546458,0.7494034902623052,0.1207019321912367,3.675,0.1457294410428412,2.658574348906693,0.5608344423169828,galvanostatic_14,2.0,-5.701628449484817,0.6010760226094003,-1.9029623854609323,0.0208418895028384,-2.86181216603404,-1.639390166404097,-0.2317060649195236,-1.991090792947922,5.701628449484817,mean_abs_delta_prev,1,1.369309112588504,0.8856087344198889,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
86,0,5,1,0,6,0.0,0.8333333333333334,0.16666666666666666,0.0,event,86.0,10_c2_x10_030723,38.0,galvanostatic_2,cycle1,323,112,206,17,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle1.hdf5,899.0,0.9098591549295776,True,0.918032786885246,True,0.8442622950819673,True,0.9444444444444444,False,-0.1380281690140843,0.1380281690140843,-0.0591549295774647,0.9983098591549296,0.0598417538916399,-0.1557377049180328,0.1557377049180328,-0.065573770491803,1.040983606557377,0.0721590854986023,-0.1680327868852459,0.1680327868852459,-0.0860655737704917,0.9934426229508198,0.0856057191789241,-0.1111111111111111,0.1111111111111111,-0.1388888888888889,1.1111111111111112,0.1111111111111109,0.9041496703353088,0.0425656578112455,0.8442622950819673,0.9444444444444444,0.1001821493624771,0.0470781101932601,-0.1432274429821185,0.1432274429821185,0.1680327868852459,0.0247002224180334,3,1,1,1,2.0,0.0786516853932584,0,0,,0,0,,0,0,,0.6320318013760877,0.623164453387729,0.623164453387729,98.59700920601584,2.999776,4.200073,90230.0,90230.0,9021.373033046722,2.999776,4.200073,1.2002969999999995,3.821635612224316,0.1951352001063813,0.0034861829990025,0.500889,0.5034799955668846,0.4965200044331154,0.0089188324105128,1.255196254763817,0.6320575435871648,0.623138711176652,-4.057965189988046e-05,-0.0001665517044586,3.514023,-0.500889,3.581779,-0.500889,3.692389,-0.500889,3.830409,0.500889,3.95511,0.500889,4.079810999999999,0.500889,4.132703,0.500889,0.0,0.0096450651383918,0.0282060091544847,1.2551405952423127,0.0718560471925163,0.670932574952093,0.2572113778553906,3.825,0.1203909000356851,2.7230919476877897,1.0456916873426436,0.632031801376095,0.0011315221755242,0.5935204267368522,0.4053480510876235,3.825,0.1707569580453019,2.2818799306263458,0.5847771309761727,0.623108793866207,0.1435933575755197,0.7494532762590096,0.1069533661654707,3.675,0.1416731842326885,2.652162126291453,0.5559668957357797,galvanostatic_2,2.0,-6.813171681880113,-1.1495673212394624,-5.612760464862473,3.651287796694237,-2.520972673268042,0.5299898946872965,3.8865447140653377,-2.026871197652093,6.813171681880113,mean_abs_delta_prev,1,8.521464254560303,2.389285221900084,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
88,3,1,0,0,4,0.75,0.25,0.0,0.0,control,86.0,10_c2_x10_030723,39.0,galvanostatic_6,cycle2,305,109,198,19,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle3.hdf5,904.0,0.8591549295774648,False,0.8934426229508197,False,0.8114754098360656,False,1.0555555555555556,False,-0.0507042253521128,0.0507042253521128,-0.0943661971830986,0.9774647887323944,0.0870281222860585,-0.0245901639344263,0.0245901639344263,-0.0901639344262293,0.9983606557377048,0.0854584361900218,-0.0327868852459016,0.0327868852459016,-0.1004098360655736,0.9434426229508196,0.1064154161552032,0.1111111111111111,0.1111111111111111,2.911359745044115e-16,1.088888888888889,0.1082977149423215,0.9049071294799764,0.1059074017251927,0.8114754098360656,1.0555555555555556,0.24408014571949,0.1170367635251748,0.0007574591446675,0.054798096410888,0.1111111111111111,0.0743728411673913,0,0,0,0,2.0,0.1797752808988764,0,0,,0,0,,0,0,,0.6313638112521504,0.625657274255596,0.625657274255596,99.09615709756363,2.99051,4.200073,80850.0,80850.0,9034.488495111464,2.99051,4.200073,1.2095629999999995,3.831200505021645,0.189345461465413,0.0275566391094619,0.500889,0.5275077303648732,0.4724922696351268,0.005758025731142,1.2570210855077462,0.6313895556194442,0.6256315298883021,-3.713094276907577e-05,-0.0001676143756201,3.527922,-0.500889,3.596064,-0.500889,3.713622,-0.500889,3.836393,0.500889,3.960129,0.500889,4.081761300000001,0.500889,4.134248,0.500889,0.0,0.009640585365848,0.0103650014224047,1.2569695967731649,0.0724777145242121,0.671548260455721,0.2559740250200669,3.825,0.1204782166091046,2.723038112996046,1.0391931604828897,0.6313638112521501,0.0005421433841187,0.5967810671102795,0.4026767895056016,3.825,0.1712858684542144,2.272849047143817,0.5867791573206153,0.6256057855210115,0.1450753749211433,0.7470036050828373,0.1079210199960193,3.675,0.1423840614061637,2.6542514379015807,0.5536177608430658,galvanostatic_6,2.0,-6.01785605119535,-0.8517443342283604,-4.213577206515748,3.885389287762494,-1.0730364553870628,2.559933639247776,-1.3747724396622247,1.8530673825903723,6.01785605119535,mean_abs_delta_prev,1,1.6534033937795864,-0.7953156306847626,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
90,2,2,0,0,4,0.5,0.5,0.0,0.0,control,86.0,10_c2_x10_030723,40.0,galvanostatic_10,cycle2,284,103,178,18,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle5.hdf5,902.0,0.8,False,0.8442622950819673,False,0.7295081967213115,False,1.0,False,-0.0591549295774647,0.0591549295774647,-0.0549295774647886,0.929014084507042,0.1070681955221186,-0.0491803278688524,0.0491803278688524,-0.0368852459016391,0.9557377049180328,0.1004892626641106,-0.081967213114754,0.081967213114754,-0.0573770491803278,0.8827868852459018,0.1271681093281624,-0.0555555555555555,0.0555555555555555,0.0277777777777777,1.0555555555555558,0.1039349274103868,0.8434426229508196,0.1145705010608695,0.7295081967213115,1.0,0.2704918032786885,0.1358367456698355,-0.0614645065291566,0.0614645065291566,0.081967213114754,0.014277159731515,0,0,0,0,2.0,0.1629213483146067,0,0,,0,0,,0,0,,0.6333705069494331,0.6261703468961589,0.6261703468961589,98.8631993478899,2.980472,4.200652,59062.0,59062.0,9052.598627328873,2.980472,4.200652,1.22018,3.827082278554738,0.1923934192002778,0.0214392907791812,0.5008889999999999,0.5214012393755715,0.4785987606244286,0.0072850313379007,1.259540853845592,0.6334129425917465,0.6261279112538457,-3.8048160740079496e-05,-0.0001662990134041,3.521359,-0.500889,3.588535,-0.500889,3.703971,-0.500889,3.834077,0.500889,3.957427,0.500889,4.081356,0.500889,4.133861,0.500889,0.0,0.0096401261373004,0.0106500059260764,1.2594559825609717,0.072237161775565,0.6720084548844303,0.2557543833400046,3.825,0.1204259996297273,2.7237585116585503,1.032188679179278,0.6333705069494329,0.0015091620728117,0.5964708278131502,0.4020200101140378,3.825,0.1692319268164041,2.282501597822927,0.5800074971789783,0.6260854756115337,0.143788141270013,0.7484250258089771,0.1077868329210097,3.675,0.1403968845171914,2.655502684034795,0.5490711139548803,galvanostatic_10,2.0,-6.899579395248483,-2.0725534497611204,-5.670857747270398,4.345836131765773,-1.40975806993054,1.063048784730685,-3.506582620568437,0.638735673947089,6.899579395248483,mean_abs_delta_prev,1,2.145574240764198,0.8817233440531327,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
116,2,3,1,0,6,0.3333333333333333,0.5,0.16666666666666666,0.0,event,116.0,13_c2_x6_100723,53.0,galvanostatic_10,cycle2,332,115,213,20,D://NMC_degradation_3_160623_Halfthedata\13_c2_x6_100723chopped\13_c2_x6_100723_cycle1.hdf5,892.0,0.9352112676056338,True,0.9426229508196722,True,0.8729508196721312,True,1.1111111111111112,False,-0.2,0.2,-0.0901408450704224,1.0664788732394366,0.0788128541481173,-0.2622950819672129,0.2622950819672129,-0.1147540983606557,1.137704918032787,0.1100316340626214,-0.2336065573770491,0.2336065573770491,-0.1004098360655738,1.0368852459016396,0.0933670963106105,-0.1111111111111111,0.1111111111111111,-0.0277777777777776,1.1777777777777778,0.0724355822800291,0.965474037302137,0.1019946247789276,0.8729508196721312,1.1111111111111112,0.23816029143898,0.1056420171213876,-0.2017531876138433,0.2017531876138433,0.2622950819672129,0.0655718888871915,3,1,1,1,2.0,0.0112359550561797,0,0,,0,0,,0,0,,0.8378259030969119,0.824414588297882,0.824414588297882,98.39927188340005,2.987808,4.401795,70712.0,70712.0,11946.889967679976,2.987808,4.401795,1.413987,3.903938643271297,0.2428815730654935,0.0070410067032469,0.500889,0.5070285100124449,0.4929714899875551,0.0134961839274398,1.6622404913947937,0.8378683376611168,0.824372153733677,-3.0194602324549303e-05,-0.0001258568227068,3.533327,-0.500889,3.60282,-0.500889,3.735436,-0.500889,3.887934,0.500889,4.091586,0.500889,4.2398187,0.500889,4.30798,0.500889,0.0,0.009604703537663,0.0089095048860856,1.4993666984605794,0.06704818147967,0.5821405892253041,0.350811229295026,3.825,0.1027543831155443,2.807242398263396,1.0603822372204124,0.6767149528885252,0.0018072665056759,0.5564673006626724,0.4417254328316518,3.825,0.1557065707668308,2.38304767155298,0.5270854174869207,0.8226517455720713,0.1207154871660245,0.6032594871716834,0.276025025662292,3.675,0.1077583739578366,2.858865485718771,0.620779755953724,galvanostatic_10,2.0,2.1141956086485054,-1.2460533610577464,-11.028105665725104,5.945611025740416,-0.9665277948918604,2.807372453635916,4.619016989610031,-3.270468689170432,-2.1141956086485054,mean_abs_delta_prev,0,13.563520693660344,3.647132959927527,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
118,0,4,0,0,4,0.0,1.0,0.0,0.0,control,116.0,13_c2_x6_100723,54.0,galvanostatic_14,cycle3,350,126,230,21,D://NMC_degradation_3_160623_Halfthedata\13_c2_x6_100723chopped\13_c2_x6_100723_cycle3.hdf5,899.0,0.9859154929577464,False,1.0327868852459017,False,0.9426229508196722,False,1.1666666666666667,False,0.0507042253521126,0.0507042253521126,-0.0746478873239435,1.0461971830985914,0.084919182789484,0.0901639344262295,0.0901639344262295,-0.0860655737704917,1.1049180327868853,0.1124475451779832,0.069672131147541,0.069672131147541,-0.081967213114754,1.010655737704918,0.0986845759244896,0.0555555555555555,0.0555555555555555,-0.0277777777777776,1.1555555555555557,0.0464811125852259,1.0319979989224968,0.0970356789931661,0.9426229508196722,1.1666666666666667,0.2240437158469945,0.0940270030508591,0.0665239616203596,0.0665239616203596,0.0901639344262295,0.0176949076745586,0,0,0,0,2.0,0.0786516853932584,0,0,,0,0,,0,0,,0.8366295605833195,0.8246261548736477,0.8246261548736477,98.56526636456609,2.965223,4.402181,60597.0,60597.0,11939.81216526033,2.965223,4.402181,1.4369579999999995,3.907195405317094,0.2424326599701869,0.0171682831328283,0.500889,0.5171378121029094,0.4828621878970906,0.0120395762481618,1.6612557154569672,0.8366476458525645,0.8246080696044026,-2.8669125580593856e-05,-0.0001256843151757,3.53352,-0.500889,3.606681,-0.500889,3.744894,-0.500889,3.889285,0.500889,4.092938,0.500889,4.242348,0.500889,4.310682,0.500889,0.0,0.0066549434967364,0.0088949765661099,1.5001778773426475,0.0682529680073646,0.5809799764999548,0.3507670554926806,3.825,0.100516506007974,2.809273578514904,1.0439956333745648,0.6773565981221732,0.0020376746763053,0.5533771863664266,0.444585138957268,3.825,0.1523259164804545,2.3889741504045223,0.5225569423153774,0.8228212792205025,0.1227622119550612,0.6037029328644523,0.2735348551804865,3.625,0.1082351647873464,2.861484704749127,0.6106783410139928,galvanostatic_14,2.0,3.7940847950572025,-1.452110558755744,-5.553161845150325,1.4598594731006254,1.3938113842137694,-0.2883240156376839,-1.719501088693312,1.001079573211063,-3.7940847950572025,mean_abs_delta_prev,0,7.277462750010905,-1.679889186408697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
156,0,0,4,2,6,0.0,0.0,0.6666666666666666,0.3333333333333333,event,156.0,18_c2_xN_HighHighCOV_170723,82.0,nan,cycle3,385,131,263,21,D://NMC_degradation_3_160623_Halfthedata\18_c2_xN_HighHighCOV_170723chopped\18_c2_xN_HighHighCOV_170723_cycle0.hdf5,1246.0,1.0845070422535212,False,1.0737704918032789,True,1.0778688524590163,False,1.1666666666666667,False,-0.0929577464788731,0.0929577464788731,-0.0450704225352113,1.1611267605633802,0.0431547089318806,-0.2131147540983602,0.2131147540983602,-0.1065573770491798,1.2508196721311475,0.0999865618490282,-0.0778688524590165,0.0778688524590165,-0.0471311475409836,1.1442622950819674,0.0379402846263364,0.0555555555555555,0.0555555555555555,4.99753663869928e-17,1.1,0.0724355822800295,1.1007032632956208,0.0441975589780303,1.0737704918032789,1.1666666666666667,0.0928961748633878,0.040153927449709,-0.0820964493701735,0.1098742271479513,0.2131147540983602,0.1099237781138179,1,1,0,0,1.0,0.9101123595505618,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2859718258330584,1.2872442413850915,-1.2179521059108869,0.464169953755173,-0.7764069634048006,3.7418410206301713,4.431810919054059,-4.136721515914923,2.2859718258330584,mean_abs_delta_prev,1,6.385183479815459,1.7715416460695592,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
157,0,2,0,2,4,0.0,0.5,0.0,0.5,control,156.0,18_c2_xN_HighHighCOV_170723,82.0,nan,cycle3,404,144,279,21,D://NMC_degradation_3_160623_Halfthedata\18_c2_xN_HighHighCOV_170723chopped\18_c2_xN_HighHighCOV_170723_cycle1.hdf5,1219.0,1.1380281690140843,False,1.180327868852459,False,1.1434426229508197,False,1.1666666666666667,False,0.053521126760563,0.053521126760563,-0.0197183098591548,1.1526760563380285,0.0425995223180466,0.1065573770491801,0.1065573770491801,-0.0532786885245899,1.2295081967213115,0.1017186364425474,0.0655737704918033,0.0655737704918033,-0.0061475409836064,1.142622950819672,0.0377182798847312,0.0,0.0,0.0277777777777778,1.1222222222222222,0.0724355822800293,1.1571163318710074,0.0198436607899258,1.1380281690140843,1.180327868852459,0.0422996998383746,0.0171492357711687,0.0564130685753866,0.0564130685753866,0.1065573770491801,0.0439286078596776,0,0,0,0,1.0,0.7696629213483146,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3642367785727452,1.171488251522295,2.534265990873754,-2.0762293701042798,1.5595310126967576,0.8700731749342542,1.820600930424448,-1.84896743468662,1.3642367785727452,mean_abs_delta_prev,1,4.625555568473997,-0.9217350472603132,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
