feature,target,rho,p_value,n
degradation_state_axis,cycleNo,-0.7379128362274431,1.5942001315250308e-16,89
cycle_state_pc1,cycleNo,0.7379128362274431,1.5942001315250308e-16,89
degradation_state_axis,capacity_mAh,-0.7101851851851851,1.1329891216879938e-13,81
cycle_state_pc1,capacity_mAh,0.7101851851851851,1.1329891216879938e-13,81
degradation_state_axis,frames_percentile,-0.6407036468697624,1.3599801372011625e-11,89
cycle_state_pc1,frames_percentile,0.6407036468697624,1.3599801372011625e-11,89
degradation_state_axis,coulombic_efficiency_pct,0.43270099367660336,5.4760514650938664e-05,81
cycle_state_pc1,coulombic_efficiency_pct,-0.43270099367660336,5.4760514650938664e-05,81
cycle_state_pc2,frames_percentile,0.2662091723990697,0.011682656655229906,89
state_step_norm,coulombic_efficiency_pct,0.1835208626347867,0.10320755299603308,80
state_step_norm,frames_percentile,-0.13947487153772462,0.19496597675427732,88
cycle_state_pc2,coulombic_efficiency_pct,0.06668925022583559,0.5541630068810692,81
state_step_norm,cycleNo,-0.052005917368180055,0.6303679190589724,88
state_step_norm,capacity_mAh,-0.039779653070792315,0.726084310324656,80
cycle_state_pc2,capacity_mAh,0.017863595302619693,0.8742313567998135,81
cycle_state_pc2,cycleNo,0.0012257405515832484,0.990904196843199,89
