candidate_source,roi_id,selected_roi_id,cycleNo,source_stem,cohort_role,is_event_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,automatic_physics_consistent,publication_ready,gate_count,median_apparent_D_um2_per_s,selected_diffusion_um2_per_s,median_radius2_fit_r2,selected_r2,h5_dt_max_to_median_ratio,manual_qc_status,blockers,review_priority
diffusion_physics_consistency,cycle78_rank22_obj2,cycle78_rank22_obj2,78.0,9_c2_x10_010723,future8_positive,0.0,1.0,1.0,True,False,6.0,4.092918932175444e-06,,0.4148131409143081,,1.1361501308587034,,q70 positive CI; publication-ready gate,56.47261063486813
control_balanced_selected_front,cycle62_rank1_obj4,cycle62_front1_obj4,62.0,7_c2_x10_290623,control,0.0,,,False,False,,2.18166299218825e-06,3.191429289804595e-05,,0.0027213888046516,,pending,selected fit quality; manual QC accepted; publication-ready gate,15.002721388804652
control_balanced_selected_front,cycle60_rank2_obj2,cycle60_front2_obj2,60.0,7_c2_x10_290623,event,1.0,,,False,False,,4.057906823151882e-06,8.099162231826124e-06,,0.00025187983658,,pending,selected fit quality; manual QC accepted; publication-ready gate,15.00025187983658
control_balanced_selected_front,cycle116_rank7_obj37,cycle116_front7_obj37,116.0,13_c2_x6_100723,event,1.0,,,False,False,,4.588812077925554e-06,-0.000500037360841,,0.612143252222972,,pending,selected nonnegative; manual QC accepted; publication-ready gate,10.612143252222971
control_balanced_selected_front,cycle118_rank1_obj7,cycle118_front1_obj7,118.0,13_c2_x6_100723,control,0.0,,,False,False,,1.197560368428275e-06,-0.0003506123663552,,0.3305164674794809,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.33051646747948
control_balanced_selected_front,cycle156_rank2_obj2,cycle156_front2_obj2,156.0,18_c2_xN_HighHighCOV_170723,event,1.0,,,False,False,,1.924586662072925e-06,-0.0001694366720294,,0.2692539888489289,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.269253988848929
control_balanced_selected_front,cycle156_rank7_obj27,cycle156_front7_obj27,156.0,18_c2_xN_HighHighCOV_170723,event,1.0,,,False,False,,1.3083161124387798e-06,-0.0002809639442202,,0.1938384584023161,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.193838458402317
control_balanced_selected_front,cycle157_rank1_obj1,cycle157_front1_obj1,157.0,18_c2_xN_HighHighCOV_170723,control,0.0,,,False,False,,1.1382129826953457e-06,-8.07641197760121e-05,,0.0547334548928688,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.054733454892869
control_balanced_selected_front,cycle58_rank4_obj2,cycle58_front4_obj2,58.0,7_c2_x10_290623,control,0.0,,,False,False,,2.864937236969792e-06,-0.0002424950321586,,0.0464959105354588,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.046495910535459
control_balanced_selected_front,cycle60_rank4_obj5,cycle60_front4_obj5,60.0,7_c2_x10_290623,event,1.0,,,False,False,,1.2281125674270095e-06,0.0001777657943684,,0.026433278037361,,pending,selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,10.026433278037361
control_balanced_selected_front,cycle157_rank4_obj8,cycle157_front4_obj8,157.0,18_c2_xN_HighHighCOV_170723,control,0.0,,,False,False,,1.2026280201615871e-06,-2.029822744124897e-05,,0.0027816991685576,,pending,selected nonnegative; selected fit quality; manual QC accepted; publication-ready gate,10.002781699168558
control_balanced_selected_front,cycle58_rank6_obj29,cycle58_front6_obj29,58.0,7_c2_x10_290623,control,0.0,,,False,False,,3.22953107952456e-08,-0.0004761467916233,,0.4715103442310421,,pending,selected nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.471510344231042
diffusion_physics_consistency,cycle140_rank9_obj2,cycle140_rank9_obj2,140.0,16_c2_x10_HighHighCOV_130723,future8_negative,0.0,0.0,1.0,False,False,5.0,1.3110342736740732e-05,,0.3677270105627852,,13.736323266163534,,HDF5 timing stability; q70 positive CI; publication-ready gate,5.4142068261500995
diffusion_physics_consistency,cycle153_rank17_obj2,cycle153_rank17_obj2,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,1.0,1.0,False,False,5.0,3.764771487988926e-06,,0.2813449927826972,,13.75745087739935,,HDF5 timing stability; q70 positive CI; publication-ready gate,5.410387396133704
diffusion_physics_consistency,cycle139_rank11_obj3,cycle139_rank11_obj3,139.0,16_c2_x10_HighHighCOV_130723,future8_negative,0.0,0.0,0.0,False,False,5.0,8.240779874352087e-06,,0.5329850337014117,,13.736323266163534,,HDF5 timing stability; q70 positive CI; publication-ready gate,5.407738910757132
diffusion_physics_consistency,cycle108_rank21_obj3,cycle108_rank21_obj3,108.0,12_c2_x10_070723,future8_positive,0.0,1.0,1.0,False,False,5.0,1.1657481136501925e-06,,0.2012151084775747,,1.1428571332843969,,positive expansion; q70 positive CI; publication-ready gate,5.407650608408734
diffusion_physics_consistency,cycle158_rank12_obj3,cycle158_rank12_obj3,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,0.0,0.0,0.0,False,False,5.0,2.541574896510002e-06,,0.0043076508396737,,1.156908614006808,,radius2 fit quality; q70 positive CI; publication-ready gate,5.371564375673755
diffusion_physics_consistency,cycle158_rank12_obj1,cycle158_rank12_obj1,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,0.0,0.0,0.0,False,False,5.0,2.5082208824233684e-06,,0.0006707685023829,,1.156908614006808,,radius2 fit quality; q70 positive CI; publication-ready gate,5.371153620485389
diffusion_physics_consistency,cycle84_rank23_obj2,cycle84_rank23_obj2,84.0,9_c2_x10_010723,future8_positive,0.0,1.0,1.0,False,False,5.0,1.3654117230489038e-06,,0.0149102799367788,,1.1361501308587034,,radius2 fit quality; q70 positive CI; publication-ready gate,5.360221411891243
diffusion_physics_consistency,cycle153_rank17_obj1,cycle153_rank17_obj1,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,1.0,1.0,False,False,5.0,1.962770438029679e-06,,0.3376148437794777,,13.75745087739935,,HDF5 timing stability; q70 positive CI; publication-ready gate,5.354908591067467
diffusion_physics_consistency,cycle110_rank24_obj2,cycle110_rank24_obj2,110.0,12_c2_x10_070723,future8_positive,0.0,1.0,1.0,False,False,5.0,8.629026205325993e-06,,0.0073458226992808,,1.1428571332843969,,radius2 fit quality; q70 positive CI; publication-ready gate,5.348098113790846
diffusion_physics_consistency,cycle78_rank22_obj3,cycle78_rank22_obj3,78.0,9_c2_x10_010723,future8_positive,0.0,1.0,1.0,False,False,5.0,2.0026820214758748e-06,,0.0057345141950972,,1.1361501308587034,,radius2 fit quality; q70 positive CI; publication-ready gate,5.338736308785788
control_balanced_selected_front,cycle118_rank4_obj1,cycle118_front4_obj1,118.0,13_c2_x6_100723,control,0.0,,,False,False,,1.899809183382682e-06,-0.0005233225573642,,0.234258801723971,,pending,selected nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.234258801723971
control_balanced_selected_front,cycle88_rank3_obj6,cycle88_front3_obj6,88.0,10_c2_x10_030723,control,0.0,,,False,False,,-7.196085702871549e-06,0.0002396779560185,,0.2014212542735514,,pending,threshold nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.201421254273551
control_balanced_selected_front,cycle86_rank6_obj78,cycle86_front6_obj78,86.0,10_c2_x10_030723,event,1.0,,,False,False,,3.037250094731361e-07,-0.0003581129045193,,0.1483056111459313,,pending,selected nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.148305611145931
control_balanced_selected_front,cycle90_rank5_obj10,cycle90_front5_obj10,90.0,10_c2_x10_030723,control,0.0,,,False,False,,3.5984745915784e-07,-0.0002207773455502,,0.0890348705572117,,pending,selected nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.089034870557212
control_balanced_selected_front,cycle156_rank8_obj10,cycle156_front8_obj10,156.0,18_c2_xN_HighHighCOV_170723,event,1.0,,,False,False,,-2.049368662829508e-06,5.881079200375849e-05,,0.0683510943052313,,pending,threshold nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.068351094305231
control_balanced_selected_front,cycle156_rank5_obj4,cycle156_front5_obj4,156.0,18_c2_xN_HighHighCOV_170723,event,1.0,,,False,False,,5.231516203009118e-07,-9.056873804874948e-05,,0.0558785356748627,,pending,selected nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.055878535674863
control_balanced_selected_front,cycle62_rank4_obj1,cycle62_front4_obj1,62.0,7_c2_x10_290623,control,0.0,,,False,False,,-6.537967484022862e-07,0.0002182683847443,,0.0493871148807443,,pending,threshold nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.049387114880744
control_balanced_selected_front,cycle158_rank2_obj1,cycle158_front2_obj1,158.0,18_c2_xN_HighHighCOV_170723,control,0.0,,,False,False,,3.3202011670318365e-08,-3.502833084357396e-05,,0.0302994613498016,,pending,selected nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.030299461349801
control_balanced_selected_front,cycle60_rank5_obj18,cycle60_front5_obj18,60.0,7_c2_x10_290623,event,1.0,,,False,False,,-3.7616948823796086e-06,1.4339652752444312e-05,,0.0009244415765347,,pending,threshold nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.000924441576535
control_balanced_selected_front,cycle157_rank2_obj2,cycle157_front2_obj2,157.0,18_c2_xN_HighHighCOV_170723,control,0.0,,,False,False,,-1.838715828077807e-06,6.319510570332058e-06,,0.0006553264008419,,pending,threshold nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,5.0006553264008415
diffusion_physics_consistency,cycle104_rank6_obj2,cycle104_rank6_obj2,104.0,11_c2_x10_050723,future8_negative,0.0,0.0,1.0,False,False,4.0,1.3107074243411104e-06,,0.0357668058786594,,1.1244131639269364,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.356288141057484
diffusion_physics_consistency,cycle129_rank7_obj3,cycle129_rank7_obj3,129.0,14_c2_x10_HighCOV_110723,future8_negative,0.0,0.0,0.0,False,False,4.0,7.621148085757028e-07,,0.0104396755186293,,1.1850119123748653,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.3488194497004
diffusion_physics_consistency,cycle76_rank8_obj1,cycle76_rank8_obj1,76.0,9_c2_x10_010723,future8_negative,0.0,0.0,1.0,False,False,4.0,5.433191566638984e-07,,0.1816564312692125,,1.1361501308587034,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.345982328695493
diffusion_physics_consistency,cycle84_rank23_obj1,cycle84_rank23_obj1,84.0,9_c2_x10_010723,future8_positive,0.0,1.0,1.0,False,False,4.0,-6.310917346603825e-07,,0.0289617617176461,,1.1361501308587034,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.312715832442248
diffusion_physics_consistency,cycle76_rank8_obj2,cycle76_rank8_obj2,76.0,9_c2_x10_010723,future8_negative,0.0,0.0,1.0,False,False,4.0,5.880564378863718e-07,,0.0452487079887322,,1.1361501308587034,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.308790760487732
diffusion_physics_consistency,cycle129_rank7_obj1,cycle129_rank7_obj1,129.0,14_c2_x10_HighCOV_110723,future8_negative,0.0,0.0,0.0,False,False,4.0,6.216673600956652e-07,,0.0063640118004077,,1.1850119123748653,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.303425186151859
diffusion_physics_consistency,cycle40_rank2_obj2,cycle40_rank2_obj2,40.0,5_c2_x10_260623,future8_negative,0.0,0.0,0.0,False,False,4.0,3.7057840704768793e-06,,0.0533267825872274,,13.783272691633115,,radius2 fit quality; HDF5 timing stability; q70 positive CI; publication-ready gate,4.298169498650276
diffusion_physics_consistency,cycle139_rank11_obj1,cycle139_rank11_obj1,139.0,16_c2_x10_HighHighCOV_130723,future8_negative,0.0,0.0,0.0,False,False,4.0,7.264705802971104e-06,,0.0523081982478367,,13.736323266163534,,radius2 fit quality; HDF5 timing stability; q70 positive CI; publication-ready gate,4.296823520986566
diffusion_physics_consistency,cycle155_rank19_obj3,cycle155_rank19_obj3,155.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,1.0,1.0,False,False,4.0,8.520921569474126e-06,,0.152414906218773,,13.75745087739935,,radius2 fit quality; HDF5 timing stability; q70 positive CI; publication-ready gate,4.2955835617091385
diffusion_physics_consistency,cycle110_rank24_obj1,cycle110_rank24_obj1,110.0,12_c2_x10_070723,future8_positive,0.0,1.0,1.0,False,False,4.0,-6.055332417474586e-08,,0.1105059631174699,,1.1428571332843969,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.29422350962822
diffusion_physics_consistency,cycle151_rank14_obj3,cycle151_rank14_obj3,151.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,1.0,1.0,False,False,4.0,3.239229745018506e-06,,0.0650835014650753,,13.75745087739935,,radius2 fit quality; HDF5 timing stability; q70 positive CI; publication-ready gate,4.293469057647345
diffusion_physics_consistency,cycle131_rank5_obj2,cycle131_rank5_obj2,131.0,15_c2_x5_HighCOV_120723,future8_negative,0.0,0.0,0.0,False,False,4.0,1.211373478821189e-06,,0.0718308219921745,,13.752756492339794,,radius2 fit quality; HDF5 timing stability; q70 positive CI; publication-ready gate,4.290308379045704
diffusion_physics_consistency,cycle158_rank12_obj2,cycle158_rank12_obj2,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,0.0,0.0,0.0,False,False,4.0,-4.959472500669848e-06,,0.0672577375116328,,1.156908614006808,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.288518969967534
diffusion_physics_consistency,cycle78_rank22_obj1,cycle78_rank22_obj1,78.0,9_c2_x10_010723,future8_positive,0.0,1.0,1.0,False,False,4.0,-5.212493188208881e-07,,0.1590262920865164,,1.1361501308587034,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.2876730112104715
diffusion_physics_consistency,cycle108_rank21_obj2,cycle108_rank21_obj2,108.0,12_c2_x10_070723,future8_positive,0.0,1.0,1.0,False,False,4.0,-3.837457657152873e-06,,0.0120211630717763,,1.1428571332843969,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.283666259231662
diffusion_physics_consistency,cycle84_rank23_obj3,cycle84_rank23_obj3,84.0,9_c2_x10_010723,future8_positive,0.0,1.0,1.0,False,False,4.0,-8.118054832649714e-07,,0.0049695929753811,,1.1361501308587034,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.2807631142082725
diffusion_physics_consistency,cycle143_rank10_obj3,cycle143_rank10_obj3,143.0,16_c2_x10_HighHighCOV_130723,future8_negative,0.0,0.0,1.0,False,False,4.0,2.079249224717508e-05,,0.0263013747141813,,13.736323266163534,,radius2 fit quality; HDF5 timing stability; q70 positive CI; publication-ready gate,4.279549793231166
diffusion_physics_consistency,cycle153_rank17_obj3,cycle153_rank17_obj3,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,1.0,1.0,False,False,4.0,1.500434349530451e-06,,0.0433832948311385,,13.75745087739935,,radius2 fit quality; HDF5 timing stability; q70 positive CI; publication-ready gate,4.277545986519506
diffusion_physics_consistency,cycle110_rank24_obj3,cycle110_rank24_obj3,110.0,12_c2_x10_070723,future8_positive,0.0,1.0,1.0,False,False,4.0,-3.981920364355904e-06,,0.1282781257847571,,1.1428571332843969,,positive expansion; radius2 fit quality; q70 positive CI; publication-ready gate,4.276671380256184
control_balanced_selected_front,cycle58_rank3_obj9,cycle58_front3_obj9,58.0,7_c2_x10_290623,control,0.0,,,False,False,,-3.0287723826118747e-06,-0.00071594956689,,0.4941175723622125,,pending,selected nonnegative; threshold nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,0.4941175723622125
control_balanced_selected_front,cycle88_rank5_obj9,cycle88_front5_obj9,88.0,10_c2_x10_030723,control,0.0,,,False,False,,-2.4611759027235795e-06,-0.0002741594204974,,0.2109520588269856,,pending,selected nonnegative; threshold nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,0.2109520588269856
control_balanced_selected_front,cycle90_rank3_obj4,cycle90_front3_obj4,90.0,10_c2_x10_030723,control,0.0,,,False,False,,-4.987521099504377e-06,-0.0003477960839154,,0.1773063705863008,,pending,selected nonnegative; threshold nonnegative; selected fit quality; q70 bootstrap positive; manual QC accepted; publication-ready gate,0.1773063705863008
