roi_id,cycleNo,source_stem,cohort_role,is_event_roi,event_reference_cycle,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,n_thresholds,median_apparent_D_um2_per_s,median_abs_apparent_D_um2_per_s,iqr_abs_apparent_D_um2_per_s,threshold_sensitivity_iqr_over_median_abs,positive_D_fraction,negative_D_fraction,sign_entropy_bits,robust_positive_fit_fraction,median_radius2_fit_r2,min_radius2_fit_r2,median_phase_slope_per_s,median_radius2_slope_px2_per_s,D_vs_threshold_spearman_rho,D_vs_threshold_spearman_p,abs_D_vs_threshold_spearman_rho,abs_D_vs_threshold_spearman_p,roi_elapsed_to_h5_median_ratio,h5_dt_max_to_median_ratio,transferred_masked_residual_signature,validation_score_recon,selected_diffusion_um2_per_s,selected_r2,drift_to_motion_ratio,front_quality_score,diffusion_proxy_median_um2_per_s,threshold_robust_diffusion_score,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,mask_instability_score,fallback_frame_fraction,accepted_area_cv,manual_qc_status,positive_estimator_count,negative_estimator_count,automatic_positive_diffusion_proxy_candidate,publication_diffusion_candidate,gate_all_thresholds_present,gate_positive_expansion,gate_fit_quality,gate_threshold_stability,gate_h5_timing_stable,gate_low_drift,gate_q70_positive_ci,diffusion_physics_gate_count,automatic_diffusion_physics_consistent,publication_ready_diffusion_candidate,physics_consistency_score
cycle78_rank22_obj2,78.0,9_c2_x10_010723,future8_positive,0.0,78.0,1.0,1.0,0.0,7,4.092918932175444e-06,4.092918932175444e-06,3.29883131891062e-06,0.8059850130374424,1.0,0.0,0.0,0.7142857142857143,0.4148131409143081,0.0387788974275027,2.8188004309613634e-06,0.0017764405087567,0.8928571428571429,0.006807187408935391,0.8928571428571429,0.006807187408935391,1.0019366073960003,1.1361501308587034,0.2683863942126585,24.49773808606248,,,,,,,,,,,,,,,,,True,True,True,True,True,True,False,6,True,False,4.726106348681301
cycle140_rank9_obj2,140.0,16_c2_x10_HighHighCOV_130723,future8_negative,0.0,140.0,0.0,1.0,0.0,7,1.3110342736740732e-05,1.3110342736740732e-05,2.171114872991043e-06,0.1656032124092881,1.0,0.0,0.0,0.8571428571428571,0.3677270105627852,0.1384698939585491,-5.009456689453361e-06,0.0056902529239326,0.8571428571428573,0.013697326615325614,0.8571428571428573,0.013697326615325614,1.001550737820729,13.736323266163534,0.2389476922815127,23.56051462566941,,,,,,,,,,,,,,,,,True,True,True,True,False,True,False,5,False,False,4.142068261500999
cycle153_rank17_obj2,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,153.0,1.0,1.0,0.0,7,3.764771487988926e-06,3.764771487988926e-06,1.3362757582612514e-06,0.35494206289132996,1.0,0.0,0.0,1.0,0.2813449927826972,0.260070480149368,2.494765311742836e-06,0.0016340154027729,-0.10714285714285716,0.8191508555699912,-0.10714285714285716,0.8191508555699912,1.001865298509398,13.75745087739935,0.8710369083836372,23.96037215290537,,,,,,,,,,,,,,,,,True,True,True,True,False,True,False,5,False,False,4.103873961337032
cycle139_rank11_obj3,139.0,16_c2_x10_HighHighCOV_130723,future8_negative,0.0,139.0,0.0,0.0,0.0,7,8.240779874352087e-06,8.240779874352087e-06,2.7999144067209996e-06,0.33976328083161383,1.0,0.0,0.0,0.7142857142857143,0.5329850337014117,0.0013503962775847,-9.531308523896148e-06,0.0035767273760208,0.9642857142857145,0.00045414916919416925,0.9642857142857145,0.00045414916919416925,1.0013327461881962,13.736323266163534,0.2177667218010263,24.49537938711706,,,,,,,,,,,,,,,,,True,True,True,True,False,True,False,5,False,False,4.077389107571319
cycle108_rank21_obj3,108.0,12_c2_x10_070723,future8_positive,0.0,108.0,1.0,1.0,0.0,7,1.1657481136501925e-06,1.1657481136501925e-06,6.238295094904731e-07,0.5351323344947453,0.7142857142857143,0.2857142857142857,0.863120568566631,0.42857142857142855,0.2012151084775747,0.0107228783696332,8.598190275741233e-07,0.0005059670632162,0.10714285714285716,0.8191508555699912,0.42857142857142866,0.33736831108582416,1.0001971673249055,1.1428571332843969,0.3455880466883458,24.6156452256459,,,,,,,,,,,,,,,,,True,False,True,True,True,True,False,5,False,False,4.076506084087345
cycle158_rank12_obj3,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,0.0,158.0,0.0,0.0,0.0,7,2.541574896510002e-06,2.541574896510002e-06,1.4673218135575422e-06,0.577327788204241,1.0,0.0,0.0,0.0,0.0043076508396737,0.0001657967874987,1.3301223761721326e-06,0.001103114104388,0.8928571428571429,0.006807187408935391,0.8928571428571429,0.006807187408935391,1.001029019528617,1.156908614006808,0.1268052199398837,23.792022616705456,,,,,,,,,,,,,,,,,True,True,False,True,True,True,False,5,False,False,3.7156437567375535
cycle158_rank12_obj1,158.0,18_c2_xN_HighHighCOV_170723,future8_negative,0.0,158.0,0.0,0.0,0.0,7,2.5082208824233684e-06,2.5082208824233684e-06,1.450426700747025e-06,0.5782691272969811,1.0,0.0,0.0,0.0,0.0006707685023829,4.208928343962803e-06,9.410883813478818e-07,0.001088637535774,0.9642857142857145,0.00045414916919416925,0.9642857142857145,0.00045414916919416925,1.001029019528617,1.156908614006808,0.1268052199398837,24.06814112304627,,,,,,,,,,,,,,,,,True,True,False,True,True,True,False,5,False,False,3.7115362048538922
cycle84_rank23_obj2,84.0,9_c2_x10_010723,future8_positive,0.0,84.0,1.0,1.0,0.0,7,1.3654117230489038e-06,1.3654117230489038e-06,1.1270003526398372e-06,0.8253923220486897,1.0,0.0,0.0,0.0,0.0149102799367788,0.0025524524208356,4.602315163798391e-07,0.0005926266159066,0.1785714285714286,0.7016579425162728,0.1785714285714286,0.7016579425162728,1.002742392551954,1.1361501308587034,0.257364534667413,24.753681477229097,,,,,,,,,,,,,,,,,True,True,False,True,True,True,False,5,False,False,3.6022141189124337
cycle104_rank6_obj2,104.0,11_c2_x10_050723,future8_negative,0.0,104.0,0.0,1.0,0.0,7,1.3107074243411104e-06,1.6166128754283117e-06,6.051664513412731e-07,0.3743422191790585,0.7142857142857143,0.2857142857142857,0.863120568566631,0.0,0.0357668058786594,0.0120610905204547,-3.241931372396297e-07,0.0005688834307036,-0.5357142857142858,0.2152174556780129,0.7500000000000002,0.05218140045705778,1.0023161799909528,1.1244131639269364,0.3719069574735253,26.016309967505705,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,3.5628814105748443
cycle153_rank17_obj1,153.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,153.0,1.0,1.0,0.0,7,1.962770438029679e-06,1.962770438029679e-06,1.973819451412861e-06,1.0056292947810408,0.8571428571428571,0.14285714285714285,0.5916727785823275,0.8571428571428571,0.3376148437794777,0.3209693135473327,-9.976217790658355e-07,0.0008518968915059,0.39285714285714296,0.3833168704269726,0.39285714285714296,0.3833168704269726,1.001865298509398,13.75745087739935,0.8710369083836372,24.667467087883093,,,,,,,,,,,,,,,,,True,True,True,True,False,True,False,5,False,False,3.5490859106746715
cycle129_rank7_obj3,129.0,14_c2_x10_HighCOV_110723,future8_negative,0.0,129.0,0.0,0.0,0.0,7,7.621148085757028e-07,1.1546694410922954e-06,5.462299875816598e-07,0.47306178560067946,0.7142857142857143,0.2857142857142857,0.863120568566631,0.0,0.0104396755186293,0.0030434227064157,-2.205351937180663e-07,0.0003307789967776,-0.6071428571428572,0.14823116148116158,-0.14285714285714288,0.7599453002180928,1.0006343138431424,1.1850119123748653,0.2863584478094875,24.56397203893444,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,3.4881944970040037
