target,split,comparison,delta_roc_auc,delta_average_precision,base_roc_auc,comparison_roc_auc
high_cross_modal_consensus_q75,leave_one_cycle,echem_regime_minus_acquisition,0.11264822134387342,-0.06055023749761368,0.6864295125164691,0.7990777338603425
high_particle_norm_cv_q75,leave_one_cycle,echem_regime_minus_acquisition,0.11264822134387342,0.13590233887556558,0.5270092226613966,0.63965744400527
high_cross_modal_consensus_q75,leave_one_cycle,echem_plus_acquisition_minus_acquisition,0.1106719367588932,0.05762074529923056,0.6864295125164691,0.7971014492753623
high_particle_norm_cv_q75,leave_one_cycle,echem_plus_acquisition_minus_acquisition,0.10342555994729907,0.1406751658418648,0.5270092226613966,0.6304347826086957
high_roi_phase_slope_abs_q75,leave_one_cycle,echem_plus_acquisition_minus_acquisition,0.04629629629629628,0.2416666666666667,0.9444444444444444,0.9907407407407407
high_roi_phase_slope_abs_q75,leave_one_cycle,echem_regime_minus_acquisition,0.03703703703703698,0.2238095238095239,0.9444444444444444,0.9814814814814814
future_any_drop_within_8cycles,leave_one_cycle,echem_plus_acquisition_minus_acquisition,-0.02608695652173909,-0.03731328843556092,0.6739130434782609,0.6478260869565218
future_any_drop_within_8cycles,leave_one_cycle,echem_regime_minus_acquisition,-0.05434782608695654,-0.06409009775049912,0.6739130434782609,0.6195652173913043
high_state_step_norm_q75,leave_one_cycle,echem_plus_acquisition_minus_acquisition,-0.06129476584022042,0.06416148011001221,0.5840220385674931,0.5227272727272727
high_state_step_norm_q75,leave_one_cycle,echem_regime_minus_acquisition,-0.09297520661157022,0.07479756060188902,0.5840220385674931,0.4910468319559229
multimodal_outlier_without_trace_drop,leave_one_cycle,echem_regime_minus_acquisition,-0.30882352941176466,-0.2682341507177034,0.6117647058823529,0.3029411764705882
multimodal_outlier_without_trace_drop,leave_one_cycle,echem_plus_acquisition_minus_acquisition,-0.42941176470588227,-0.2760600407055631,0.6117647058823529,0.1823529411764706
synchronized_multimodal_candidate,leave_one_cycle,echem_plus_acquisition_minus_acquisition,-0.6436781609195403,-0.3008601553829079,0.9655172413793104,0.3218390804597701
synchronized_multimodal_candidate,leave_one_cycle,echem_regime_minus_acquisition,-0.9310344827586208,-0.30761226725082147,0.9655172413793104,0.03448275862068967
high_particle_norm_cv_q75,rolling_origin,echem_regime_minus_acquisition,0.08396226415094343,0.1443892146923509,0.5254716981132075,0.6094339622641509
high_cross_modal_consensus_q75,rolling_origin,echem_regime_minus_acquisition,0.06684981684981683,0.01191180054472285,0.6254578754578755,0.6923076923076923
high_particle_norm_cv_q75,rolling_origin,echem_plus_acquisition_minus_acquisition,0.05188679245283023,0.10251760143951616,0.5254716981132075,0.5773584905660377
high_cross_modal_consensus_q75,rolling_origin,echem_plus_acquisition_minus_acquisition,0.013736263736263687,0.026981752652201485,0.6254578754578755,0.6391941391941391
future_any_drop_within_8cycles,rolling_origin,echem_plus_acquisition_minus_acquisition,-0.08915145005370573,-0.09490004908321137,0.631578947368421,0.5424274973147153
future_any_drop_within_8cycles,rolling_origin,echem_regime_minus_acquisition,-0.14715359828141783,-0.13062060061707115,0.631578947368421,0.4844253490870032
high_state_step_norm_q75,rolling_origin,echem_plus_acquisition_minus_acquisition,-0.1635802469135803,-0.03490818157505271,0.6759259259259259,0.5123456790123456
high_state_step_norm_q75,rolling_origin,echem_regime_minus_acquisition,-0.16563786008230452,-0.11526845677630732,0.6759259259259259,0.5102880658436214
multimodal_outlier_without_trace_drop,rolling_origin,echem_plus_acquisition_minus_acquisition,-0.4786324786324786,-0.6279829816415182,0.7094017094017093,0.23076923076923075
multimodal_outlier_without_trace_drop,rolling_origin,echem_regime_minus_acquisition,-0.4871794871794871,-0.62981448347302,0.7094017094017093,0.22222222222222224
synchronized_multimodal_candidate,rolling_origin,echem_plus_acquisition_minus_acquisition,-0.6399999999999999,-0.2222222222222222,0.94,0.30000000000000004
synchronized_multimodal_candidate,rolling_origin,echem_regime_minus_acquisition,-0.8999999999999999,-0.22959183673469388,0.94,0.040000000000000036
high_roi_phase_slope_abs_q75,rolling_origin,echem_plus_acquisition_minus_acquisition,,,,
high_roi_phase_slope_abs_q75,rolling_origin,echem_regime_minus_acquisition,,,,
