split,target,comparison,delta_roc_auc,delta_average_precision,delta_spearman_rho,comparison_auc,base_auc
leave_source,future_any_drop_within_16cycles,conditioned_residual_dictionary_minus_residual_dictionary_raw,0.7263157894736841,0.3119190883534183,1.0219003818107486,0.7847953216374268,0.05847953216374269
leave_cycle,future_any_drop_within_16cycles,conditioned_residual_dictionary_minus_residual_dictionary_raw,0.2140350877192982,0.04697187888639798,0.3011397260408486,0.6947368421052631,0.4807017543859649
leave_source,future_any_drop_within_16cycles,conditioned_residual_plus_echem_context_minus_raw_residual_plus_echem_context,0.15672514619883038,0.07421234876625327,0.22050668464193288,0.6514619883040935,0.49473684210526314
leave_source,future_any_drop_within_8cycles,conditioned_residual_dictionary_minus_residual_dictionary_raw,0.1450617283950617,0.06946632360815719,0.2512785209513595,0.2978395061728395,0.1527777777777778
leave_cycle,future_any_drop_within_16cycles,conditioned_residual_plus_echem_context_minus_raw_residual_plus_echem_context,0.08771929824561397,0.020298885709650882,0.12341792050854461,0.8339181286549707,0.7461988304093568
leave_source,future_any_drop_within_16cycles,conditioned_residual_plus_handcrafted_echem_minus_handcrafted_plus_echem_context,0.08070175438596494,0.03623751529967256,0.11354448686786098,0.7005847953216374,0.6198830409356725
leave_source,future_any_drop_within_16cycles,conditioned_residual_plus_handcrafted_echem_minus_conditioned_residual_plus_echem_context,0.0491228070175439,0.02162818441861014,0.06911403548478495,0.7005847953216374,0.6514619883040935
leave_cycle,future_any_drop_within_16cycles,conditioned_residual_plus_echem_context_minus_echem_context,0.028070175438596467,0.0038986116813728433,0.039493734562734306,0.8339181286549707,0.8058479532163743
leave_cycle,future_any_drop_within_16cycles,conditioned_residual_plus_handcrafted_echem_minus_handcrafted_plus_echem_context,0.026900584795321647,0.005420408979597058,0.03784816228928689,0.8479532163742689,0.8210526315789473
leave_cycle,future_any_drop_within_16cycles,conditioned_residual_plus_handcrafted_echem_minus_conditioned_residual_plus_echem_context,0.014035087719298178,0.005931998592709098,0.019746867281367042,0.8479532163742689,0.8339181286549707
leave_source,future_any_drop_within_8cycles,conditioned_residual_plus_echem_context_minus_raw_residual_plus_echem_context,0.010030864197530742,0.009922933819992763,0.017375642406211145,0.9135802469135802,0.9035493827160495
leave_source,future_any_drop_within_16cycles,conditioned_residual_plus_echem_context_minus_echem_context,0.007017543859649145,0.007537606363721805,0.009873433640683549,0.6514619883040935,0.6444444444444444
leave_cycle,future_any_drop_within_8cycles,conditioned_residual_plus_echem_context_minus_raw_residual_plus_echem_context,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666
leave_cycle,future_any_drop_within_8cycles,conditioned_residual_plus_echem_context_minus_echem_context,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666
leave_cycle,future_any_drop_within_8cycles,conditioned_residual_plus_handcrafted_echem_minus_conditioned_residual_plus_echem_context,-0.0007716049382716639,-0.0008169934640522847,-0.0013365878774007633,0.915895061728395,0.9166666666666666
leave_cycle,future_any_drop_within_8cycles,conditioned_residual_plus_handcrafted_echem_minus_handcrafted_plus_echem_context,-0.0007716049382716639,-0.0008169934640522847,-0.0013365878774007633,0.915895061728395,0.9166666666666666
leave_source,future_any_drop_within_8cycles,conditioned_residual_plus_echem_context_minus_echem_context,-0.0030864197530864335,-0.00322128851540604,-0.005346351509603275,0.9135802469135802,0.9166666666666666
leave_source,future_any_drop_within_8cycles,conditioned_residual_plus_handcrafted_echem_minus_handcrafted_plus_echem_context,-0.0038580246913579863,-0.004827598390253374,-0.006682939387004261,0.9020061728395061,0.9058641975308641
leave_source,future_any_drop_within_8cycles,conditioned_residual_plus_handcrafted_echem_minus_conditioned_residual_plus_echem_context,-0.01157407407407407,-0.01323913767535323,-0.020048818161012782,0.9020061728395061,0.9135802469135802
leave_cycle,future_any_drop_within_8cycles,conditioned_residual_dictionary_minus_residual_dictionary_raw,-0.5092592592592593,-0.29260383539530566,-0.8821479990845603,0.15895061728395063,0.66820987654321
