task,split,feature_set,target,n_eval,n_positive,n_cycles,n_sources,roc_auc,average_precision,spearman_rho,spearman_p,n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95
classification,leave_cycle,conditioned_residual_plus_handcrafted_echem,future_any_drop_within_16cycles,72,57,24,9,0.8479532163742689,0.9613109922185283,0.4895577513505599,1.2757057562827551e-05,300.0,0.0033222591362126247,0.4948031189083821,0.6142105263157894
classification,leave_cycle,conditioned_residual_plus_echem_context,future_any_drop_within_16cycles,72,57,24,9,0.8339181286549707,0.9553789936258192,0.46981088406919286,3.132814309080501e-05,300.0,0.0033222591362126247,0.4963976608187135,0.6198830409356725
classification,leave_cycle,handcrafted_plus_echem_context,future_any_drop_within_16cycles,72,57,24,9,0.8210526315789473,0.9558905832389313,0.451709589061273,6.809512906027358e-05,,,,
classification,leave_cycle,echem_context,future_any_drop_within_16cycles,72,57,24,9,0.8058479532163743,0.9514803819444464,0.43031714950645855,0.00016140389089501508,300.0,0.0033222591362126247,0.4972982456140351,0.6188888888888889
classification,leave_cycle,raw_residual_plus_echem_context,future_any_drop_within_16cycles,72,57,24,9,0.7461988304093568,0.9350801079161684,0.34639296356064825,0.0028761932586603423,,,,
classification,leave_cycle,conditioned_residual_dictionary,future_any_drop_within_16cycles,72,57,24,9,0.6947368421052631,0.9019641999877155,0.2739877835289688,0.019862618682533025,300.0,0.019933554817275746,0.5004405458089668,0.6339181286549708
classification,leave_cycle,residual_dictionary_raw,future_any_drop_within_16cycles,72,57,24,9,0.4807017543859649,0.8549923211013175,-0.027151942511879794,0.8208892462431995,300.0,0.5614617940199336,0.49455360623781675,0.6180116959064328
classification,leave_source,conditioned_residual_dictionary,future_any_drop_within_16cycles,72,57,24,9,0.7847953216374268,0.9431707475860319,0.40069684858440785,0.00048686022362723634,300.0,0.0033222591362126247,0.5040194931773879,0.6362573099415205
classification,leave_source,conditioned_residual_plus_handcrafted_echem,future_any_drop_within_16cycles,72,57,24,9,0.7005847953216374,0.9126915366850239,0.28221564489620515,0.016314136749462388,300.0,0.009966777408637873,0.4939376218323587,0.6415789473684212
classification,leave_source,conditioned_residual_plus_echem_context,future_any_drop_within_16cycles,72,57,24,9,0.6514619883040935,0.8910633522664138,0.2131016094114202,0.0722901575332711,300.0,0.05647840531561462,0.4973450292397661,0.652748538011696
classification,leave_source,echem_context,future_any_drop_within_16cycles,72,57,24,9,0.6444444444444444,0.883525745902692,0.20322817577073665,0.08686246803200233,300.0,0.05647840531561462,0.49810916179337233,0.6444444444444444
classification,leave_source,handcrafted_plus_echem_context,future_any_drop_within_16cycles,72,57,24,9,0.6198830409356725,0.8764540213853513,0.16867115802834418,0.15667478573819332,,,,
classification,leave_source,raw_residual_plus_echem_context,future_any_drop_within_16cycles,72,57,24,9,0.49473684210526314,0.8168510035001605,-0.007405075230512671,0.9507736402310663,,,,
classification,leave_source,residual_dictionary_raw,future_any_drop_within_16cycles,72,57,24,9,0.05847953216374269,0.6312516592326136,-0.6212035332263408,5.8075803325958015e-09,300.0,1.0,0.4914736842105263,0.6246783625730994
classification,leave_cycle,echem_context,future_any_drop_within_8cycles,72,36,24,9,0.9166666666666666,0.9577408897831433,0.7217574537964584,8.470451096772698e-13,300.0,0.0033222591362126247,0.49696759259259254,0.6142361111111111
classification,leave_cycle,raw_residual_plus_echem_context,future_any_drop_within_8cycles,72,36,24,9,0.9166666666666666,0.9577408897831433,0.7217574537964584,8.470451096772698e-13,,,,
classification,leave_cycle,conditioned_residual_plus_echem_context,future_any_drop_within_8cycles,72,36,24,9,0.9166666666666666,0.9577408897831433,0.7217574537964584,8.470451096772698e-13,300.0,0.0033222591362126247,0.49763888888888896,0.6151620370370371
classification,leave_cycle,handcrafted_plus_echem_context,future_any_drop_within_8cycles,72,36,24,9,0.9166666666666666,0.9577408897831433,0.7217574537964584,8.470451096772698e-13,,,,
classification,leave_cycle,conditioned_residual_plus_handcrafted_echem,future_any_drop_within_8cycles,72,36,24,9,0.915895061728395,0.956923896319091,0.7204208659190576,9.76582843031364e-13,300.0,0.0033222591362126247,0.4984799382716049,0.6111111111111112
classification,leave_cycle,residual_dictionary_raw,future_any_drop_within_8cycles,72,36,24,9,0.66820987654321,0.6996564265413552,0.29137615727338506,0.013017967597056413,300.0,0.029900332225913623,0.4978292181069959,0.6199459876543211
classification,leave_cycle,conditioned_residual_dictionary,future_any_drop_within_8cycles,72,36,24,9,0.15895061728395063,0.4070525911460495,-0.5907718418111753,4.686737830032966e-08,300.0,1.0,0.5040817901234568,0.6042824074074075
classification,leave_source,echem_context,future_any_drop_within_8cycles,72,36,24,9,0.9166666666666666,0.9577408897831433,0.7217574537964584,8.470451096772698e-13,300.0,0.0033222591362126247,0.49503600823045263,0.6057484567901235
classification,leave_source,conditioned_residual_plus_echem_context,future_any_drop_within_8cycles,72,36,24,9,0.9135802469135802,0.9545196012677373,0.7164111022868551,1.4893544086770691e-12,300.0,0.0033222591362126247,0.4947402263374484,0.6072916666666667
classification,leave_source,handcrafted_plus_echem_context,future_any_drop_within_8cycles,72,36,24,9,0.9058641975308641,0.9461080619826374,0.7030452235128466,5.780451880217977e-12,,,,
classification,leave_source,raw_residual_plus_echem_context,future_any_drop_within_8cycles,72,36,24,9,0.9035493827160495,0.9445966674477445,0.699035459880644,8.557738696869243e-12,,,,
classification,leave_source,conditioned_residual_plus_handcrafted_echem,future_any_drop_within_8cycles,72,36,24,9,0.9020061728395061,0.941280463592384,0.6963622841258423,1.107677777056444e-11,300.0,0.0033222591362126247,0.49561985596707814,0.5997685185185186
classification,leave_source,conditioned_residual_dictionary,future_any_drop_within_8cycles,72,36,24,9,0.2978395061728395,0.4094462374017863,-0.3501860238790224,0.0025653231917603684,300.0,1.0,0.4978935185185185,0.6057870370370371
classification,leave_source,residual_dictionary_raw,future_any_drop_within_8cycles,72,36,24,9,0.1527777777777778,0.33997991379362913,-0.6014645448303819,2.3067844708094207e-08,300.0,1.0,0.500054012345679,0.6127314814814816
