target,comparison,delta_r2,delta_spearman_rho,delta_mae,base_r2,comparison_r2,base_spearman_rho,comparison_spearman_rho
transferred_masked_residual_signature,echem_regime_minus_acquisition,0.6255172025497191,0.4503856124171796,-0.8541500254405432,-0.07940364535773514,0.546113557191984,-0.08603778633022312,0.3643478260869565
phase_slope_positive_fraction,echem_plus_acquisition_minus_acquisition,-18.120319933212265,0.32699597739079894,0.3016043699660945,-0.3222782449175625,-18.442598178129828,0.01031442037429894,0.33731039776509786
transferred_masked_residual_signature,echem_plus_acquisition_minus_acquisition,1.0421156388762651,0.2720453845576002,-1.558217921021241,-0.07940364535773514,0.9627119935185301,-0.08603778633022312,0.18600759822737709
phase_slope_positive_fraction,echem_regime_minus_acquisition,-9.253629686418323,0.22334694860710658,0.19214460951488443,-0.3222782449175625,-9.575907931335886,0.01031442037429894,0.23366136898140552
threshold_robust_phase_score,echem_regime_minus_acquisition,-3.9629311007087358,0.159251721543554,0.16010507266696616,0.015529078816597486,-3.947402021892138,0.11886363457401881,0.2781153561175728
persistence_particle_mse_fraction_of_full_mean,echem_plus_acquisition_minus_acquisition,-0.6681170859480747,0.04389349797414621,0.04499161287747705,0.469089437151444,-0.1990276487966307,0.6849958196668597,0.728889317641006
roi_norm_mean_delta_last_minus_first,echem_regime_minus_acquisition,-11.833766684662196,0.03843865424351278,0.001275827975543418,-0.1838291283206248,-12.01759581298282,0.018425622226509748,0.05686427647002253
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,echem_regime_minus_acquisition,-6.77785296565375,0.027249118432245745,2.978667120585592,-0.12576858620119769,-6.903621551854948,0.03077368319506078,0.058022801627306525
radius2_slope_median_px2_per_s,echem_plus_acquisition_minus_acquisition,-0.33836310017377735,0.0013184127596629347,0.00037837413419049845,0.2801916087042512,-0.05817149146952616,0.520355006752846,0.5216734195125089
velocity_particle_mse_fraction_of_full_mean,echem_plus_acquisition_minus_acquisition,-18.77556483265338,-0.02363496044761726,0.41380912161107136,0.3234945836426558,-18.452070249010724,0.6668917615280727,0.6432568010804555
roi_norm_mean_delta_last_minus_first,echem_plus_acquisition_minus_acquisition,-200.28655643697468,-0.03437520097755484,0.006799212055163826,-0.1838291283206248,-200.47038556529532,0.018425622226509748,-0.015949578751045086
threshold_robust_phase_score,echem_plus_acquisition_minus_acquisition,-8.729802588835422,-0.036490540772351324,0.2459904651029165,0.015529078816597486,-8.714273510018826,0.11886363457401881,0.08237309380166749
diffusion_proxy_abs_median_um2_per_s,echem_regime_minus_acquisition,-26.487644218116653,-0.04119742189402814,4.55092435834784e-06,0.006046364567707796,-26.481597853548944,0.3261946105858898,0.28499718869186164
object_mean_residual,echem_plus_acquisition_minus_acquisition,-7.171079587188279,-0.0801659270692649,1502.906643260126,0.10887374351448431,-7.0622058436737944,0.35153386069843723,0.27136793362917233
low_rank_dmd_particle_mse_fraction_of_full_mean,echem_plus_acquisition_minus_acquisition,-160.8893689644804,-0.09505434433082516,2.087392450412292,-0.20690491107794928,-161.09627387555835,0.05415139237249985,-0.0409029519583253
persistence_particle_mse_fraction_of_full_mean,echem_regime_minus_acquisition,-48.67902892817699,-0.09849245879183965,0.7245261627049229,0.469089437151444,-48.209939491025544,0.6849958196668597,0.5865033608750201
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,echem_plus_acquisition_minus_acquisition,-9.579910808443302,-0.12010418676442217,3.902502188878281,-0.12576858620119769,-9.7056793946445,0.03077368319506078,-0.08933050356936138
velocity_particle_mse_fraction_of_full_mean,echem_regime_minus_acquisition,-73.4701515664668,-0.137156133359968,0.8386711786702883,0.3234945836426558,-73.14665698282414,0.6668917615280727,0.5297356281681047
radius2_slope_median_px2_per_s,echem_regime_minus_acquisition,-108.78192824518065,-0.1383313361384501,0.005476360688507348,0.2801916087042512,-108.5017366364764,0.520355006752846,0.38202367061439585
object_mean_residual,echem_regime_minus_acquisition,-43.86443345356305,-0.14348205120285393,3459.9897600538834,0.10887374351448431,-43.755559710048566,0.35153386069843723,0.2080518094955833
phase_slope_abs_median_per_s,echem_regime_minus_acquisition,-7.263077349524256,-0.19187330958447785,8.911446946720533e-07,0.2671383975249353,-6.99593895199932,0.655186828734967,0.4633135191504892
diffusion_proxy_abs_median_um2_per_s,echem_plus_acquisition_minus_acquisition,-35.89723979479687,-0.20416103929513152,5.957747042430039e-06,0.006046364567707796,-35.89119343022916,0.3261946105858898,0.12203357129075827
low_rank_dmd_particle_mse_fraction_of_full_mean,echem_regime_minus_acquisition,-14.65143218806115,-0.20572510045048858,0.7299424788856984,-0.20690491107794928,-14.8583370991391,0.05415139237249985,-0.15157370807798873
phase_slope_abs_median_per_s,echem_plus_acquisition_minus_acquisition,-2.6539357243117685,-0.26368255193260026,5.036829497671972e-07,0.2671383975249353,-2.386797326786833,0.655186828734967,0.39150427680236677
