feature_set,target,n_eval,n_cycles,r2,mae,spearman_rho,spearman_p
acquisition_context,low_rank_dmd_particle_mse_fraction_of_full_mean,72,24,-0.20690491107794928,0.6258997458060539,0.05415139237249985,0.6514276303887557
echem_regime,low_rank_dmd_particle_mse_fraction_of_full_mean,72,24,-14.8583370991391,1.3558422246917523,-0.15157370807798873,0.2037307116365664
echem_plus_acquisition,low_rank_dmd_particle_mse_fraction_of_full_mean,72,24,-161.09627387555835,2.7132921962183456,-0.0409029519583253,0.732996994120315
acquisition_context,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,72,24,-0.12576858620119769,3.775807669904517,0.03077368319506078,0.7974767032102714
echem_regime,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,72,24,-6.903621551854948,6.754474790490109,0.058022801627306525,0.6282926605651845
echem_plus_acquisition,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,72,24,-9.7056793946445,7.678309858782798,-0.08933050356936138,0.45553321366070954
acquisition_context,persistence_particle_mse_fraction_of_full_mean,72,24,0.469089437151444,0.2468824877430159,0.6849958196668597,3.218111304793553e-11
echem_regime,persistence_particle_mse_fraction_of_full_mean,72,24,-48.209939491025544,0.9714086504479388,0.5865033608750201,6.17560994518887e-08
echem_plus_acquisition,persistence_particle_mse_fraction_of_full_mean,72,24,-0.1990276487966307,0.29187410062049296,0.728889317641006,3.908318946988016e-13
acquisition_context,velocity_particle_mse_fraction_of_full_mean,72,24,0.3234945836426558,0.25458518233691313,0.6668917615280727,1.5987997218414742e-10
echem_regime,velocity_particle_mse_fraction_of_full_mean,72,24,-73.14665698282414,1.0932563610072015,0.5297356281681047,1.7100766609222342e-06
echem_plus_acquisition,velocity_particle_mse_fraction_of_full_mean,72,24,-18.452070249010724,0.6683943039479845,0.6432568010804555,1.1051561791309761e-09
acquisition_context,transferred_masked_residual_signature,72,24,-0.07940364535773514,2.384468116222711,-0.08603778633022312,0.47238006115766223
echem_regime,transferred_masked_residual_signature,72,24,0.546113557191984,1.5303180907821679,0.3643478260869565,0.0016529731507304243
echem_plus_acquisition,transferred_masked_residual_signature,72,24,0.9627119935185301,0.82625019520147,0.18600759822737709,0.11772593603775545
acquisition_context,phase_slope_abs_median_per_s,72,24,0.2671383975249353,1.2426076845111663e-06,0.655186828734967,4.254675182570902e-10
echem_regime,phase_slope_abs_median_per_s,72,24,-6.99593895199932,2.1337523791832195e-06,0.4633135191504892,4.160576689731324e-05
echem_plus_acquisition,phase_slope_abs_median_per_s,72,24,-2.386797326786833,1.7462906342783634e-06,0.39150427680236677,0.0006720982535495573
acquisition_context,threshold_robust_phase_score,72,24,0.015529078816597486,0.3216860152551699,0.11886363457401881,0.3199937808617829
echem_regime,threshold_robust_phase_score,72,24,-3.947402021892138,0.48179108792213604,0.2781153561175728,0.018007751659497435
echem_plus_acquisition,threshold_robust_phase_score,72,24,-8.714273510018826,0.5676764803580864,0.08237309380166749,0.4915179767347549
acquisition_context,diffusion_proxy_abs_median_um2_per_s,72,24,0.006046364567707796,2.971566352791101e-06,0.3261946105858898,0.005168547597063065
echem_regime,diffusion_proxy_abs_median_um2_per_s,72,24,-26.481597853548944,7.522490711138942e-06,0.28499718869186164,0.01524479958026987
echem_plus_acquisition,diffusion_proxy_abs_median_um2_per_s,72,24,-35.89119343022916,8.92931339522114e-06,0.12203357129075827,0.30716469141126
acquisition_context,radius2_slope_median_px2_per_s,72,24,0.2801916087042512,0.0016279008201829088,0.520355006752846,2.797889391163118e-06
echem_regime,radius2_slope_median_px2_per_s,72,24,-108.5017366364764,0.007104261508690257,0.38202367061439585,0.0009282985536943513
echem_plus_acquisition,radius2_slope_median_px2_per_s,72,24,-0.05817149146952616,0.0020062749543734073,0.5216734195125089,2.613150087603382e-06
acquisition_context,phase_slope_positive_fraction,72,24,-0.3222782449175625,0.40081989838514787,0.01031442037429894,0.9314733490702972
echem_regime,phase_slope_positive_fraction,72,24,-9.575907931335886,0.5929645079000323,0.23366136898140552,0.04822044926044569
echem_plus_acquisition,phase_slope_positive_fraction,72,24,-18.442598178129828,0.7024242683512424,0.33731039776509786,0.0037613021611976453
acquisition_context,roi_norm_mean_delta_last_minus_first,72,24,-0.1838291283206248,0.001589054218075577,0.018425622226509748,0.8779067630748913
echem_regime,roi_norm_mean_delta_last_minus_first,72,24,-12.01759581298282,0.002864882193618995,0.05686427647002253,0.6351797764443077
echem_plus_acquisition,roi_norm_mean_delta_last_minus_first,72,24,-200.47038556529532,0.008388266273239403,-0.015949578751045086,0.8942119665965534
acquisition_context,object_mean_residual,72,24,0.10887374351448431,1917.0233217604557,0.35153386069843723,0.002462319355197695
echem_regime,object_mean_residual,72,24,-43.755559710048566,5377.013081814339,0.2080518094955833,0.07947730315880557
echem_plus_acquisition,object_mean_residual,72,24,-7.0622058436737944,3419.9299650205817,0.27136793362917233,0.021122686282556178
