target,echem_feature,n,spearman_rho,p_value,abs_spearman_rho
transferred_masked_residual_signature,pos_dq_abs_entropy,54,-0.7454607473527861,1.0057631524890302e-10,0.7454607473527861
transferred_masked_residual_signature,all_dq_abs_peak_frac,54,0.7269015586220113,4.860914620590008e-10,0.7269015586220113
transferred_masked_residual_signature,all_dq_abs_entropy,54,-0.6485405395365179,1.1396975679277627e-07,0.6485405395365179
transferred_masked_residual_signature,neg_dq_abs_peak_voltage,54,0.5918175368707232,2.4392092225419013e-06,0.5918175368707232
transferred_masked_residual_signature,shape_V_range,54,-0.5743037846134189,5.604410573978993e-06,0.5743037846134189
transferred_masked_residual_signature,capacity_mAh,54,-0.5578067279638413,1.1757510375949586e-05,0.5578067279638413
transferred_masked_residual_signature,capacity_fade_from_first_mAh,54,0.5578067279638413,1.1757510375949586e-05,0.5578067279638413
transferred_masked_residual_signature,capacity_fraction_of_first,54,-0.5578067279638413,1.1757510375949586e-05,0.5578067279638413
transferred_masked_residual_signature,shape_charge_mAh_neg_abs,54,-0.5578067279638413,1.1757510375949586e-05,0.5578067279638413
transferred_masked_residual_signature,pos_dq_abs_peak_frac,54,0.543371803395461,2.178361410591126e-05,0.543371803395461
transferred_masked_residual_signature,dqdv_peak_concentration,54,0.543371803395461,2.178361410591126e-05,0.543371803395461
transferred_masked_residual_signature,echem_regime_pc3,72,-0.5336123804638424,1.3891932620014051e-06,0.5336123804638424
transferred_masked_residual_signature,voltage_peak_hysteresis_proxy,54,-0.5230479830853091,4.953677725495255e-05,0.5230479830853091
transferred_masked_residual_signature,pos_dq_abs_lowV_frac,54,-0.4938806334467282,0.00014751860628535744,0.4938806334467282
transferred_masked_residual_signature,all_dq_abs_lowV_frac,54,-0.4815078409595451,0.00022767354523013671,0.4815078409595451
transferred_masked_residual_signature,dqdv_integral_asymmetry,54,0.47119718055355914,0.0003228422415115184,0.47119718055355914
transferred_masked_residual_signature,neg_dq_abs_peak_frac,54,0.46707291639116466,0.0003701129617249035,0.46707291639116466
phase_slope_positive_fraction,pos_dq_abs_peak_voltage,54,0.46298944445848905,0.0004230186769979975,0.46298944445848905
transferred_masked_residual_signature,shape_charge_mAh_abs,54,-0.44645159557919273,0.0007146820492871728,0.44645159557919273
transferred_masked_residual_signature,neg_dq_abs_entropy,54,-0.43201667101081237,0.0011060053094843897,0.43201667101081237
phase_slope_abs_median_per_s,shape_I_abs_mean_mA,54,0.4310026604447623,0.0011396442295300486,0.4310026604447623
transferred_masked_residual_signature,shape_V_std,54,-0.4093332181176432,0.0021158097492082885,0.4093332181176432
phase_slope_abs_median_per_s,shape_dVdt_abs_p95,54,0.35394514120391246,0.008647327708300035,0.35394514120391246
phase_slope_abs_median_per_s,echem_outlier_score,54,-0.3521130084768783,0.009023709328096435,0.3521130084768783
transferred_masked_residual_signature,dqdv_entropy_asymmetry,54,0.34128285943813574,0.011551632598653277,0.34128285943813574
transferred_masked_residual_signature,shape_charge_mAh_pos,54,-0.333034331113347,0.013865839023259567,0.333034331113347
phase_slope_positive_fraction,shape_dVdt_abs_p95,54,-0.32554708393488296,0.01629977143064583,0.32554708393488296
transferred_masked_residual_signature,shape_dVdt_sign_consistency,54,0.322723670707361,0.01730778943625055,0.322723670707361
radius2_slope_median_px2_per_s,shape_dVdt_abs_p95,54,0.32027970234465974,0.018222722169224367,0.32027970234465974
