feature,target,n,spearman_rho,p_value
shape_dVdt_abs_p95,cross_modal_consensus_score,81,0.6171105302183395,8.505108947111237e-10
all_dq_abs_midV_frac,particle_norm_cv,81,-0.4035366053395693,0.00018730253938761547
pos_dq_abs_highV_frac,particle_norm_cv,81,0.39291098075931535,0.0002852821264209225
all_dq_abs_peak_voltage,max_abs_delta_prev,80,-0.39397629012881924,0.00029944916443531744
pos_dq_abs_midV_frac,particle_norm_cv,81,-0.3887217068812343,0.0003354670668481748
neg_dq_abs_peak_frac,particle_norm_cv,81,-0.38454372484649046,0.0003934704160971572
shape_dVdt_abs_p95,n_modal_votes,81,0.3732276631067434,0.0005997342097965641
echem_regime_pc3,particle_norm_cv,89,0.3562579003177497,0.0006112461145288441
echem_regime_pc4,cross_modal_consensus_score,89,-0.35224719101123597,0.0007109890150288166
all_dq_abs_entropy,particle_norm_cv,81,0.3597242531914447,0.0009725485304149748
shape_V_std,particle_norm_cv,81,0.3574320089940041,0.001053554581884585
shape_charge_mAh_abs,cross_modal_consensus_score,81,-0.35413279132791325,0.0011809139352552435
echem_regime_pc3,roi_phase_slope_abs_median_per_s,24,0.6208695652173912,0.0012059039024496891
shape_charge_mAh_neg_abs,cross_modal_consensus_score,81,-0.35246160794941284,0.001250611341374361
echem_regime_pc2,roi_phase_slope_abs_median_per_s,24,0.617391304347826,0.0013082882304887007
capacity_fade_from_first_mAh,cross_modal_consensus_score,81,0.35000000000000003,0.001360070193630886
capacity_fraction_of_first,cross_modal_consensus_score,81,-0.35000000000000003,0.001360070193630886
capacity_mAh,cross_modal_consensus_score,81,-0.35000000000000003,0.001360070193630886
neg_dq_abs_midV_frac,roi_phase_slope_abs_median_per_s,18,-0.6883384932920537,0.0015871002439845374
midV_charge_discharge_imbalance,roi_phase_slope_abs_median_per_s,18,0.6800825593395253,0.0018996026438905023
shape_charge_mAh_pos,cross_modal_consensus_score,81,-0.3339430894308943,0.0023133080046091373
all_dq_abs_lowV_frac,particle_norm_cv,81,0.3316978980286495,0.0024861906498464845
neg_dq_abs_entropy,cross_modal_consensus_score,81,-0.33064588979223125,0.002571115718109993
neg_dq_abs_midV_frac,particle_norm_cv,81,-0.32994766231139194,0.0026289084478791887
pos_dq_abs_highV_frac,roi_phase_slope_abs_median_per_s,18,0.6635706914344685,0.0026779839744573825
pos_dq_abs_midV_frac,roi_phase_slope_abs_median_per_s,18,-0.6635706914344685,0.0026779839744573825
dqdv_entropy_asymmetry,roi_diffusion_proxy_abs_median_um2_per_s,18,-0.653250773993808,0.00328564110278315
neg_dq_abs_entropy,roi_phase_slope_abs_median_per_s,18,0.651186790505676,0.0034197801987985686
midV_charge_discharge_imbalance,cross_modal_consensus_score,81,-0.31650858175248414,0.003993139478165577
all_dq_abs_midV_frac,roi_phase_slope_abs_median_per_s,18,-0.6429308565531475,0.004002006540262528
highV_charge_discharge_imbalance,cross_modal_consensus_score,81,0.315063233965673,0.0041721585219141695
shape_V_range,particle_norm_cv,81,0.31310132003019786,0.004426574018400722
dqdv_entropy_asymmetry,roi_phase_slope_abs_median_per_s,18,-0.6284829721362228,0.005214699418213291
cycle_index_rank,particle_norm_cv,89,0.29113164424695176,0.005641328600473247
dqdv_peak_concentration,roi_phase_slope_abs_median_per_s,18,-0.6202270381836945,0.006032002847171184
pos_dq_abs_peak_frac,roi_phase_slope_abs_median_per_s,18,-0.6202270381836945,0.006032002847171184
all_dq_abs_peak_frac,particle_norm_cv,81,-0.30021623880468784,0.006467845539988632
dqdv_entropy_asymmetry,cross_modal_consensus_score,81,0.3001806684733514,0.00647447338162236
charge_discharge_capacity_abs_gap_mAh,roi_transferred_masked_residual_signature,18,0.6160990712074303,0.006477968358240651
charge_discharge_capacity_gap_mAh,roi_transferred_masked_residual_signature,18,0.6160990712074303,0.006477968358240651
echem_outlier_score,roi_transferred_masked_residual_signature,18,0.6160990712074303,0.006477968358240651
dqdv_integral_asymmetry,particle_norm_cv,81,-0.29916609737433325,0.006666059429842344
shape_V_std,roi_phase_slope_abs_median_per_s,18,0.6099071207430341,0.007196658594982005
neg_dq_abs_highV_frac,cross_modal_consensus_score,81,-0.2953929539295393,0.007423139178170271
signed_charge_fraction,roi_transferred_masked_residual_signature,18,0.5995872033023736,0.008536698768223008
echem_regime_pc1,roi_phase_slope_abs_median_per_s,24,-0.5234782608695652,0.008661101920624012
coulombic_efficiency_pct,roi_transferred_masked_residual_signature,18,-0.5975232198142414,0.008827374421547778
coulombic_inefficiency_pct,roi_transferred_masked_residual_signature,18,0.5975232198142414,0.008827374421547778
dqdv_integral_asymmetry,max_abs_delta_prev,80,0.2895964611775477,0.009172643389950228
shape_V_range,roi_phase_slope_abs_median_per_s,18,0.587203302373581,0.010402557727151953
shape_I_neg_fraction,roi_diffusion_proxy_abs_median_um2_per_s,18,-0.5789473684210527,0.011818464080461805
shape_I_pos_fraction,roi_diffusion_proxy_abs_median_um2_per_s,18,0.5789473684210527,0.011818464080461805
dqdv_integral_asymmetry,roi_phase_slope_abs_median_per_s,18,-0.5768833849329206,0.012195441748364507
pos_dq_abs_lowV_frac,cross_modal_consensus_score,81,-0.2762935026337523,0.012531963254917183
all_dq_abs_lowV_frac,roi_phase_slope_abs_median_per_s,18,0.5727554179566564,0.01297817883450589
neg_dq_abs_entropy,roi_diffusion_proxy_abs_median_um2_per_s,18,0.5706914344685242,0.013384281348823386
voltage_peak_hysteresis_proxy,roi_phase_slope_abs_median_per_s,18,0.5699052156770023,0.013541609930242863
shape_dVdt_abs_p95,particle_norm_cv,81,0.272552761435879,0.013830134578660917
echem_outlier_score,max_abs_delta_prev,80,-0.26742622078618467,0.01647852718134249
neg_dq_abs_peak_frac,roi_diffusion_proxy_abs_median_um2_per_s,18,-0.5562435500515995,0.016518403054404912
shape_V_mean,roi_phase_slope_abs_median_per_s,18,0.5562435500515995,0.016518403054404912
dqdv_peak_concentration,particle_norm_cv,81,-0.2652002326161995,0.016724131034820018
pos_dq_abs_peak_frac,particle_norm_cv,81,-0.2652002326161995,0.016724131034820018
all_dq_abs_entropy,roi_phase_slope_abs_median_per_s,18,0.5541795665634675,0.017009913077973265
voltage_peak_hysteresis_proxy,roi_diffusion_proxy_abs_median_um2_per_s,18,0.5533382035933684,0.017213558924586994
cycle_index_rank,roi_diffusion_proxy_abs_median_um2_per_s,24,0.47913043478260864,0.01784227838501128
all_dq_abs_highV_frac,cross_modal_consensus_score,81,-0.26208220415537486,0.018100664102840423
voltage_peak_hysteresis_proxy,cross_modal_consensus_score,81,-0.2572972573579684,0.020402032645140403
cycle_index_rank,roi_phase_slope_abs_median_per_s,24,0.46956521739130425,0.02060971370415881
voltage_peak_hysteresis_proxy,particle_norm_cv,81,0.25561736524288003,0.02126728750361998
charge_discharge_capacity_abs_gap_mAh,max_abs_delta_prev,80,-0.25457798763709055,0.022675137727217638
echem_regime_pc2,max_abs_delta_prev,88,-0.24224587834498915,0.02296849016105408
charge_discharge_capacity_abs_gap_mAh,roi_phase_slope_abs_median_per_s,18,0.5294117647058824,0.023858231279662818
charge_discharge_capacity_gap_mAh,roi_phase_slope_abs_median_per_s,18,0.5294117647058824,0.023858231279662818
voltage_peak_hysteresis_proxy,max_abs_delta_prev,80,-0.2507191959138127,0.024886151760022443
shape_dVdt_sign_consistency,particle_norm_cv,81,-0.2481043818037613,0.025530764177759825
shape_charge_mAh_pos,roi_diffusion_proxy_abs_median_um2_per_s,18,0.5211558307533539,0.026565697103864794
neg_dq_abs_peak_frac,roi_phase_slope_abs_median_per_s,18,-0.5170278637770898,0.02800614736378717
shape_I_neg_fraction,roi_phase_slope_abs_median_per_s,18,-0.5149638802889577,0.028748754882630352
shape_I_pos_fraction,roi_phase_slope_abs_median_per_s,18,0.5149638802889577,0.028748754882630352
shape_V_mean,roi_diffusion_proxy_abs_median_um2_per_s,18,0.5149638802889577,0.028748754882630352
pos_dq_abs_peak_voltage,max_abs_delta_prev,80,-0.24438813349032742,0.028909782300150472
coulombic_efficiency_pct,cross_modal_consensus_score,81,0.24098915989159894,0.03021646432835711
coulombic_inefficiency_pct,cross_modal_consensus_score,81,-0.24098915989159894,0.03021646432835711
shape_charge_mAh_pos,roi_phase_slope_abs_median_per_s,18,0.5087719298245614,0.031068538407296196
shape_I_neg_fraction,particle_norm_cv,81,-0.2391273663507306,0.03155580519809778
shape_I_pos_fraction,particle_norm_cv,81,0.2391273663507306,0.03155580519809778
echem_outlier_score,particle_norm_cv,81,0.23903923603352606,0.031620423123131194
shape_charge_mAh_abs,roi_diffusion_proxy_abs_median_um2_per_s,18,0.5067079463364293,0.031873132260511444
shape_V_range,roi_diffusion_proxy_abs_median_um2_per_s,18,0.5046439628482973,0.03269373337773909
echem_regime_pc1,cross_modal_consensus_score,89,0.2264385427306776,0.032857704768117287
shape_charge_mAh_abs,n_modal_votes,81,-0.2351200606820199,0.03460863781223479
signed_charge_fraction,cross_modal_consensus_score,81,-0.23421409214092143,0.03533208469878559
all_dq_abs_lowV_frac,roi_diffusion_proxy_abs_median_um2_per_s,18,0.49638802889576883,0.03614032375695943
all_dq_abs_highV_frac,roi_phase_slope_abs_median_per_s,18,0.4943240454076367,0.037044049807446175
echem_outlier_score,roi_phase_slope_abs_median_per_s,18,0.4943240454076367,0.037044049807446175
signed_charge_fraction,roi_phase_slope_abs_median_per_s,18,0.4943240454076367,0.037044049807446175
shape_V_mean,particle_norm_cv,81,0.23103111467799725,0.03797491011986
shape_charge_mAh_pos,n_modal_votes,81,-0.2299430610356853,0.038915314457723275
coulombic_efficiency_pct,roi_phase_slope_abs_median_per_s,18,-0.48813209494324045,0.03985953090099979
coulombic_inefficiency_pct,roi_phase_slope_abs_median_per_s,18,0.48813209494324045,0.03985953090099979
charge_discharge_capacity_gap_mAh,cross_modal_consensus_score,81,-0.22694218608852756,0.041610000311337256
pos_dq_abs_highV_frac,roi_diffusion_proxy_abs_median_um2_per_s,18,0.4840041279669762,0.04182551548646381
shape_V_std,max_abs_delta_prev,80,-0.2280073187037051,0.04193737481638594
charge_discharge_capacity_abs_gap_mAh,particle_norm_cv,81,0.2262546649463847,0.04224871144134133
pos_dq_abs_lowV_frac,n_modal_votes,81,-0.22490357544458134,0.043527592598453124
all_dq_abs_peak_frac,roi_phase_slope_abs_median_per_s,18,-0.47781217750258,0.04491215118822409
shape_dVdt_sign_consistency,roi_phase_slope_abs_median_per_s,18,-0.47781217750258,0.04491215118822409
capacity_fade_from_first_mAh,roi_diffusion_proxy_abs_median_um2_per_s,18,-0.4757481940144479,0.045978572031212306
capacity_fraction_of_first,roi_diffusion_proxy_abs_median_um2_per_s,18,0.4757481940144479,0.045978572031212306
capacity_mAh,roi_diffusion_proxy_abs_median_um2_per_s,18,0.4757481940144479,0.045978572031212306
shape_charge_mAh_neg_abs,roi_diffusion_proxy_abs_median_um2_per_s,18,0.4757481940144479,0.045978572031212306
pos_dq_abs_entropy,particle_norm_cv,81,0.22231381162172092,0.04606863743439861
highV_charge_discharge_imbalance,roi_phase_slope_abs_median_per_s,18,-0.47368421052631576,0.047064111171724286
echem_regime_pc2,particle_norm_cv,89,0.21097297826620373,0.04719156124189099
pos_dq_abs_lowV_frac,state_state_step_norm,80,-0.22166483046011629,0.04814526763263069
neg_dq_abs_highV_frac,roi_phase_slope_abs_median_per_s,18,0.4716202270381837,0.04816897678955327
shape_charge_mAh_neg_abs,n_modal_votes,81,-0.219733536151751,0.0487210092923386
dqdv_entropy_asymmetry,particle_norm_cv,81,-0.21908434442729727,0.04940778113133498
capacity_fade_from_first_mAh,n_modal_votes,81,0.21898708503995393,0.049511353420340874
capacity_fraction_of_first,n_modal_votes,81,-0.21898708503995393,0.049511353420340874
capacity_mAh,n_modal_votes,81,-0.21898708503995393,0.049511353420340874
neg_dq_abs_entropy,particle_norm_cv,81,0.217119563686634,0.051534984186986106
dqdv_entropy_asymmetry,n_modal_votes,81,0.2127144877940462,0.05657812526131419
echem_regime_pc2,cross_modal_consensus_score,89,-0.20272386789240726,0.05674223704063073
pos_dq_abs_entropy,roi_phase_slope_abs_median_per_s,18,0.45510835913312697,0.057728571599671576
all_dq_abs_peak_voltage,particle_norm_cv,81,0.21121698912783465,0.05838163523742835
shape_I_neg_fraction,cross_modal_consensus_score,81,-0.2056233062330623,0.0655368933789848
shape_I_pos_fraction,cross_modal_consensus_score,81,0.2056233062330623,0.0655368933789848
pos_dq_abs_midV_frac,roi_diffusion_proxy_abs_median_um2_per_s,18,-0.4406604747162023,0.06720191241367016
pos_dq_abs_peak_voltage,particle_norm_cv,81,0.20384751059256503,0.06795130108538242
highV_charge_discharge_imbalance,n_modal_votes,81,0.2035162837712563,0.06840948557242543
charge_discharge_capacity_abs_gap_mAh,cross_modal_consensus_score,81,-0.2018744354110208,0.07071755144503744
all_dq_abs_entropy,roi_diffusion_proxy_abs_median_um2_per_s,18,0.4324045407636739,0.07310819207072551
neg_dq_abs_highV_frac,max_abs_delta_prev,80,-0.19882724326968684,0.07704845333933466
cycle_index_rank,n_modal_votes,89,0.18751010545965047,0.07847514458609009
pos_dq_abs_midV_frac,max_abs_delta_prev,80,0.19768339384475186,0.07879916771928878
pos_dq_abs_highV_frac,max_abs_delta_prev,80,-0.1968731671687563,0.08005834921843147
all_dq_abs_peak_voltage,cross_modal_consensus_score,81,-0.19525026837157416,0.08067302987827028
echem_regime_pc3,roi_diffusion_proxy_abs_median_um2_per_s,24,0.36347826086956525,0.08082870259888665
cycle_index_rank,roi_transferred_masked_residual_signature,24,0.3565217391304348,0.08725310458309884
all_dq_abs_highV_frac,particle_norm_cv,81,0.19120478322788503,0.08728235383137352
neg_dq_abs_lowV_frac,state_state_step_norm,80,-0.1911626816690108,0.0893937608448569
lowV_charge_discharge_imbalance,particle_norm_cv,81,-0.1899400967741247,0.08943423441978463
capacity_fade_from_first_mAh,roi_phase_slope_abs_median_per_s,18,-0.40763673890608876,0.0931230516996011
capacity_fraction_of_first,roi_phase_slope_abs_median_per_s,18,0.40763673890608876,0.0931230516996011
capacity_mAh,roi_phase_slope_abs_median_per_s,18,0.40763673890608876,0.0931230516996011
shape_charge_mAh_neg_abs,roi_phase_slope_abs_median_per_s,18,0.40763673890608876,0.0931230516996011
shape_charge_mAh_abs,roi_phase_slope_abs_median_per_s,18,0.40350877192982454,0.09680965248246647
lowV_charge_discharge_imbalance,state_state_step_norm,80,0.1867088607594937,0.09725508594455458
charge_discharge_capacity_gap_mAh,max_abs_delta_prev,80,-0.18663809783522353,0.09738422443046231
shape_charge_mAh_neg_abs,max_abs_delta_prev,80,-0.186006597631874,0.09854263807675517
