target,feature_set,null_type,n_permutation,empirical_p_ge_observed,null_auc_mean,null_auc_p95
future_any_drop_within_16cycles,echem_source_residual,global_label_shuffle,500,0.011976047904191617,0.4986877192982456,0.6210526315789474
future_any_drop_within_16cycles,echem_source_residual,within_source_label_shuffle,500,0.003992015968063872,0.5917894736842105,0.6491228070175439
future_any_drop_within_16cycles,optical_source_residual,global_label_shuffle,500,0.021956087824351298,0.49509707602339176,0.629298245614035
future_any_drop_within_16cycles,optical_source_residual,within_source_label_shuffle,500,0.011976047904191617,0.5548187134502924,0.6304678362573098
future_any_drop_within_16cycles,front_source_residual,global_label_shuffle,500,0.718562874251497,0.4958666666666667,0.6491228070175438
future_any_drop_within_16cycles,front_source_residual,within_source_label_shuffle,500,1.0,0.5734947368421051,0.6491228070175439
future_any_drop_within_16cycles,echem_plus_optical_source_residual,global_label_shuffle,500,0.003992015968063872,0.49673216374268997,0.6281286549707602
future_any_drop_within_16cycles,echem_plus_optical_source_residual,within_source_label_shuffle,500,0.003992015968063872,0.6084771929824562,0.6877777777777777
future_any_drop_within_16cycles,echem_plus_optical_rank,global_label_shuffle,500,0.5169660678642715,0.5015602339181287,0.6287134502923977
future_any_drop_within_16cycles,echem_plus_optical_rank,within_source_label_shuffle,500,1.0,0.6545976608187134,0.7462865497076023
future_any_drop_within_16cycles,echem_plus_optical_centered_z,global_label_shuffle,500,0.05389221556886228,0.4966760233918129,0.6281286549707601
future_any_drop_within_16cycles,echem_plus_optical_centered_z,within_source_label_shuffle,500,0.003992015968063872,0.44425263157894734,0.5450877192982455
future_any_drop_within_16cycles,echem_optical_front_residual,global_label_shuffle,500,0.003992015968063872,0.498212865497076,0.6304678362573097
future_any_drop_within_16cycles,echem_optical_front_residual,within_source_label_shuffle,500,0.003992015968063872,0.6128444444444444,0.7134502923976608
future_any_drop_within_16cycles,all_source_residual_axes,global_label_shuffle,500,0.10578842315369262,0.4999228070175438,0.6305847953216372
future_any_drop_within_16cycles,all_source_residual_axes,within_source_label_shuffle,500,0.003992015968063872,0.4014198830409356,0.4935672514619883
future_any_drop_within_16cycles,raw_axes_guardrail,global_label_shuffle,500,0.001996007984031936,0.4991438596491228,0.6385964912280702
future_any_drop_within_16cycles,raw_axes_guardrail,within_source_label_shuffle,500,0.003992015968063872,0.852285380116959,0.9181871345029238
future_any_drop_within_16cycles,source_mean_only_guardrail,global_label_shuffle,500,0.001996007984031936,0.4980210526315789,0.6351754385964912
future_any_drop_within_16cycles,source_mean_only_guardrail,within_source_label_shuffle,500,1.0,0.942105263157895,0.9421052631578948
