task,feature_set,target,n_eval,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,r2,mae,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
classification,acquisition_context,future_any_drop_within_8cycles,72,24,36.0,1.0,1.0,0.9341987329938278,4.701783841447714e-33,,,0.001996007984031936,0.5042939814814814,0.6041666666666667,500.0
classification,echem_regime,future_any_drop_within_8cycles,72,24,36.0,0.7430555555555556,0.7243830243830244,0.42135048580019224,0.0002279058548567312,,,0.001996007984031936,0.5035833333333333,0.6136574074074072,500.0
classification,residual_dictionary,future_any_drop_within_8cycles,72,24,36.0,0.66820987654321,0.6996564265413552,0.29137615727338506,0.013017967597056413,,,0.013972055888223553,0.5064228395061728,0.6289737654320987,500.0
classification,handcrafted_scalar,future_any_drop_within_8cycles,72,24,36.0,0.8287037037037037,0.8758981267108407,0.5693864357727617,1.795791262636421e-07,,,0.001996007984031936,0.5069583333333334,0.6212191358024691,500.0
classification,pca_video,future_any_drop_within_8cycles,72,24,36.0,0.5694444444444444,0.6219726026038664,0.1202929089660764,0.3141675076963189,,,0.17564870259481039,0.5040725308641975,0.614236111111111,500.0
classification,residual_dictionary_plus_echem,future_any_drop_within_8cycles,72,24,36.0,0.9166666666666666,0.9577408897831433,0.7217574537964584,8.470451096772698e-13,,,0.001996007984031936,0.5064922839506173,0.6151234567901234,500.0
classification,residual_dictionary_plus_handcrafted,future_any_drop_within_8cycles,72,24,36.0,0.7955246913580247,0.8232992558540791,0.5119131570445251,4.303962067316127e-06,,,,,,
classification,residual_dictionary_handcrafted_echem,future_any_drop_within_8cycles,72,24,36.0,0.9166666666666666,0.9577408897831433,0.7217574537964584,8.470451096772698e-13,,,0.001996007984031936,0.5073796296296297,0.6227623456790123,500.0
classification,pca_video_plus_echem,future_any_drop_within_8cycles,72,24,36.0,0.9166666666666666,0.9577408897831433,0.7217574537964584,8.470451096772698e-13,,,0.001996007984031936,0.5057438271604938,0.6173225308641974,500.0
classification,handcrafted_plus_echem,future_any_drop_within_8cycles,72,24,36.0,0.9166666666666666,0.9577408897831433,0.7217574537964584,8.470451096772698e-13,,,0.001996007984031936,0.5068472222222222,0.6227237654320986,500.0
classification,acquisition_context,future_any_drop_within_16cycles,72,24,57.0,0.7578947368421052,0.9412979913551996,0.3773419580416943,0.001084982999100215,,,0.001996007984031936,0.49910877192982456,0.6298245614035087,500.0
classification,echem_regime,future_any_drop_within_16cycles,72,24,57.0,0.6105263157894736,0.8728476202160413,0.15562673174576172,0.19175836776056512,,,0.07784431137724551,0.4964982456140351,0.6280701754385964,500.0
classification,residual_dictionary,future_any_drop_within_16cycles,72,24,57.0,0.4807017543859649,0.8549923211013175,-0.027151942511879794,0.8208892462431995,,,0.5788423153692615,0.49808187134502924,0.639766081871345,500.0
classification,handcrafted_scalar,future_any_drop_within_16cycles,72,24,57.0,0.6023391812865497,0.8773804988316541,0.14398757392663528,0.22755076665094176,,,0.15768463073852296,0.5061286549707602,0.6421637426900585,500.0
classification,pca_video,future_any_drop_within_16cycles,72,24,57.0,0.512280701754386,0.7770747904194619,0.01727850887119623,0.8854548381351067,,,0.47105788423153694,0.5046736842105263,0.6421637426900584,500.0
classification,residual_dictionary_plus_echem,future_any_drop_within_16cycles,72,24,57.0,0.6771929824561403,0.9067390834225946,0.24930419942725993,0.03469823278958515,,,0.017964071856287425,0.4972818713450292,0.6304093567251461,500.0
classification,residual_dictionary_plus_handcrafted,future_any_drop_within_16cycles,72,24,57.0,0.5450292397660819,0.8577103028653071,0.06335453252771951,0.5970106649542968,,,,,,
classification,residual_dictionary_handcrafted_echem,future_any_drop_within_16cycles,72,24,57.0,0.775438596491228,0.9430358215690877,0.3875322703968298,0.0007703750328646797,,,0.001996007984031936,0.5004491228070175,0.6304678362573098,500.0
classification,pca_video_plus_echem,future_any_drop_within_16cycles,72,24,57.0,0.6549707602339181,0.8972527331073579,0.2180400790852856,0.06577452931959332,,,0.021956087824351298,0.4993040935672515,0.6281286549707601,500.0
classification,handcrafted_plus_echem,future_any_drop_within_16cycles,72,24,57.0,0.7812865497076024,0.9453780991646494,0.3957601317640661,0.0005795679754454344,,,0.003992015968063872,0.5011228070175439,0.6316374269005847,500.0
regression,acquisition_context,transferred_masked_residual_signature,72,24,,,,0.09652173913043476,0.4199166373847491,-0.1356977085825668,3.5787077335576103,,,,
regression,echem_regime,transferred_masked_residual_signature,72,24,,,,0.4965217391304347,9.168447723276786e-06,0.937642780194159,0.8779830437028493,,,,
regression,residual_dictionary,transferred_masked_residual_signature,72,24,,,,0.007433869759238938,0.9505824634318473,-1.0719945286682164,6.796937433650973,,,,
regression,handcrafted_scalar,transferred_masked_residual_signature,72,24,,,,0.241166320241284,0.04127285969709442,-1.4922557236242855,7.783852773029859,,,,
regression,pca_video,transferred_masked_residual_signature,72,24,,,,0.14655343239642482,0.21928611857002098,-0.3424476976459556,4.515405491290043,,,,
regression,residual_dictionary_plus_echem,transferred_masked_residual_signature,72,24,,,,0.4346400215077105,0.00013619783614630005,0.8352327546914837,1.287726074363687,,,,
regression,residual_dictionary_plus_handcrafted,transferred_masked_residual_signature,72,24,,,,0.17155826704113758,0.1495987069737268,-2.749502914177282,11.358347542203473,,,,
regression,residual_dictionary_handcrafted_echem,transferred_masked_residual_signature,72,24,,,,0.33857897721624625,0.003624662962185669,0.7994653553789218,1.4825449619532824,,,,
regression,pca_video_plus_echem,transferred_masked_residual_signature,72,24,,,,0.49971051784182785,7.862383200110947e-06,0.9084469943921486,1.069612798015689,,,,
regression,handcrafted_plus_echem,transferred_masked_residual_signature,72,24,,,,0.40480799870764766,0.0004202105303996508,0.8245417553593172,1.3665374633446659,,,,
regression,acquisition_context,residual_energy_mean,172,34,,,,0.2573286859359094,0.0006548940306756362,0.18589852809620777,0.0002489383484229361,,,,
regression,echem_regime,residual_energy_mean,172,34,,,,0.5944125219546599,8.236222809936914e-18,-3.3209983219357158,0.0003810573912016094,,,,
regression,residual_dictionary,residual_energy_mean,172,34,,,,0.9940071673429534,2.312919266544964e-165,0.992046634174074,1.8356166021643138e-05,,,,
regression,handcrafted_scalar,residual_energy_mean,172,34,,,,0.848238175594006,8.507865683056578e-49,0.8392636101973748,0.00011017281022372188,,,,
regression,pca_video,residual_energy_mean,172,34,,,,0.21371016717904087,0.0048786195856536105,-3.851945856062371,0.0004763444621488647,,,,
regression,residual_dictionary_plus_echem,residual_energy_mean,172,34,,,,0.9691950576667135,2.2221813711151874e-105,0.9833874689638464,3.287878554217776e-05,,,,
regression,residual_dictionary_plus_handcrafted,residual_energy_mean,172,34,,,,0.972835322100015,5.902055726455186e-110,0.9787169541011365,3.370550667626777e-05,,,,
regression,residual_dictionary_handcrafted_echem,residual_energy_mean,172,34,,,,0.7854750337412599,2.9112450584765512e-37,0.5939297374526449,8.661288536569955e-05,,,,
regression,pca_video_plus_echem,residual_energy_mean,172,34,,,,0.6126591116209325,4.20537796446744e-19,-5.031637409100435,0.0004518594322357828,,,,
regression,handcrafted_plus_echem,residual_energy_mean,172,34,,,,0.6469220706400465,9.07803244085378e-22,-3.983595302317008,0.00030596926077286544,,,,
regression,acquisition_context,dictionary_recon_error_mse_mean,172,34,,,,0.22122535364392162,0.003540840350927987,0.08510837524222337,0.00012630840510994507,,,,
regression,echem_regime,dictionary_recon_error_mse_mean,172,34,,,,0.5586553066770743,1.6726795932081426e-15,0.13189258440043972,0.00012519110151195807,,,,
regression,residual_dictionary,dictionary_recon_error_mse_mean,172,34,,,,0.9598449552070546,9.128848185326047e-96,0.9181993925886873,3.270317430458706e-05,,,,
regression,handcrafted_scalar,dictionary_recon_error_mse_mean,172,34,,,,0.6905754982529749,1.0573686019603927e-25,-0.6304945064721319,0.00011752148591472317,,,,
regression,pca_video,dictionary_recon_error_mse_mean,172,34,,,,0.18146066157004664,0.017205189116779374,-5.027422747458856,0.00022290530981962907,,,,
regression,residual_dictionary_plus_echem,dictionary_recon_error_mse_mean,172,34,,,,0.8744589665104425,2.721466814948046e-55,-0.025516880407941755,7.448667634136694e-05,,,,
regression,residual_dictionary_plus_handcrafted,dictionary_recon_error_mse_mean,172,34,,,,0.9024260241293471,4.6200103092912404e-64,0.8660266030496888,4.592582729961907e-05,,,,
regression,residual_dictionary_handcrafted_echem,dictionary_recon_error_mse_mean,172,34,,,,0.7791863374152365,2.5342158099144424e-36,0.672206152352462,6.647567233280978e-05,,,,
regression,pca_video_plus_echem,dictionary_recon_error_mse_mean,172,34,,,,0.4126613520711721,1.8522767136234776e-08,-1.77998579101726,0.00017704668175272677,,,,
regression,handcrafted_plus_echem,dictionary_recon_error_mse_mean,172,34,,,,0.32796736440494706,1.123201814917524e-05,-14.63303622309553,0.00029145450253834695,,,,
regression,acquisition_context,cross_modal_consensus_score,172,34,,,,0.12416600752235918,0.1046248965692818,-0.006930351135607582,0.10009570088329978,,,,
