rho,p_value,n,pc,target
-0.7074989663477794,4.516200365440796e-09,52,echem_shape_pc3,mode_review_priority
0.586420940595236,4.9177947488848154e-06,52,echem_shape_pc6,phase_slope_positive_fraction_protocol_residual
0.5155889923508575,9.166237785237073e-05,52,echem_shape_pc6,high_fraction_delta_protocol_residual
-0.49020864491000266,0.00022518782597785942,52,echem_shape_pc4,cumulative_abs_norm_change_protocol_residual
0.4755229811957228,0.0006361979414975076,48,echem_shape_pc5,q60_logistic_k_per_s
0.45564005792828777,0.0006879820417708039,52,echem_shape_pc6,roi_norm_mean_delta_protocol_residual
-0.42495828357112286,0.0016881225392264099,52,echem_shape_pc6,low_fraction_delta_protocol_residual
-0.3305612798436318,0.01668953422924875,52,echem_shape_pc3,q80_transformed_fraction_delta
0.32846924206240957,0.017433951202173514,52,echem_shape_pc5,roi_norm_mean_delta_protocol_residual
-0.3344334013799304,0.017606721461693692,50,echem_shape_pc6,q70_logistic_k_per_s
0.3028714322965801,0.02907341083383803,52,echem_shape_pc6,threshold_robust_phase_score_protocol_residual
0.29030973121504716,0.036819513908714734,52,echem_shape_pc5,mode_review_priority
0.281342000275703,0.04333342820112469,52,echem_shape_pc2,q80_transformed_fraction_delta
-0.27755545996854375,0.046353672388232306,52,echem_shape_pc5,low_fraction_delta_protocol_residual
0.2827317521576324,0.04665201557758385,50,echem_shape_pc5,q70_logistic_k_per_s
0.2685852294414164,0.054197654275552454,52,echem_shape_pc5,high_fraction_delta_protocol_residual
0.2551458803624042,0.06792539383641077,52,echem_shape_pc4,diffusion_proxy_abs_median_um2_per_s_protocol_residual
-0.23286092453932505,0.09665532545090635,52,echem_shape_pc1,q70_transformed_fraction_delta
-0.22417558546158256,0.11011767943293085,52,echem_shape_pc3,phase_slope_positive_fraction_protocol_residual
0.2233750677618317,0.1114273581692119,52,echem_shape_pc4,low_fraction_delta_protocol_residual
0.21953812898197764,0.11787079975484308,52,echem_shape_pc4,first_last_corr_protocol_residual
-0.21859202930761854,0.11950232323899752,52,echem_shape_pc4,dmd_minus_persistence_mse_protocol_residual
0.21182826644522146,0.13167000672717405,52,echem_shape_pc5,cumulative_abs_norm_change_protocol_residual
-0.20506107053221925,0.1447528139708455,52,echem_shape_pc1,mode_review_priority
0.19484891386607148,0.16628869342902586,52,echem_shape_pc2,q70_transformed_fraction_delta
-0.1902090390768437,0.176810159236388,52,echem_shape_pc4,roi_norm_mean_delta_protocol_residual
-0.18247211825042126,0.19540986952893655,52,echem_shape_pc4,high_fraction_delta_protocol_residual
-0.18030804051058164,0.20085259869655658,52,echem_shape_pc4,mode_review_priority
-0.18731801583265073,0.20234893299915122,48,echem_shape_pc6,q60_logistic_k_per_s
-0.17614655755341438,0.2116184592113961,52,echem_shape_pc4,diffusion_proxy_median_um2_per_s_protocol_residual
0.17595406619001067,0.21212603778721534,52,echem_shape_pc5,q80_transformed_fraction_delta
-0.17908164334684165,0.2133676318641699,50,echem_shape_pc1,q70_logistic_k_per_s
0.16996116609760084,0.22835707585600734,52,echem_shape_pc3,latent_net_displacement_protocol_residual
-0.1694378507715949,0.2298140362208474,52,echem_shape_pc4,latent_net_displacement_protocol_residual
