task,feature_set,target,n_eval,n_cycles,n_positive,positive_rate,roc_auc,average_precision,spearman_rho,spearman_p,r2,mae,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
classification,acquisition_context,future_any_drop_within_8cycles,72,24,36.0,0.5,1.0,1.0,0.8661089445557502,9.065255423029341e-23,,,0.000999000999000999,0.5013356481481481,0.6050154320987654,1000.0
classification,echem_regime,future_any_drop_within_8cycles,72,24,36.0,0.5,0.6319444444444443,0.5677624458874458,0.22873312086296144,0.05328526886727601,,,0.025974025974025976,0.5004675925925927,0.6111111111111112,1000.0
classification,video_scalar,future_any_drop_within_8cycles,72,24,36.0,0.5,0.8155864197530864,0.8663245821620156,0.5466644418569473,6.768591649323356e-07,,,,,,
classification,video_embedding,future_any_drop_within_8cycles,72,24,36.0,0.5,0.5694444444444444,0.6219726026038664,0.1202929089660764,0.3141675076963189,,,,,,
classification,video_all,future_any_drop_within_8cycles,72,24,36.0,0.5,0.8233024691358025,0.8741078203897893,0.5600303206309557,3.13860180762971e-07,,,0.000999000999000999,0.5005694444444445,0.6103395061728395,1000.0
classification,video_plus_echem,future_any_drop_within_8cycles,72,24,36.0,0.5,0.8055555555555556,0.8514233739572032,0.5292887994507363,1.7512420193036424e-06,,,0.000999000999000999,0.49964197530864196,0.6111111111111112,1000.0
classification,video_plus_echem_acquisition,future_any_drop_within_8cycles,72,24,36.0,0.5,0.915895061728395,0.956923896319091,0.7204208659190576,9.76582843031364e-13,,,0.000999000999000999,0.49993055555555554,0.6081018518518518,1000.0
classification,acquisition_context,future_any_drop_within_16cycles,72,24,57.0,0.7916666666666666,0.7286549707602339,0.9344155527394287,0.32170937945893935,0.0058568852924379775,,,0.002997002997002997,0.49824093567251465,0.6350877192982456,1000.0
classification,echem_regime,future_any_drop_within_16cycles,72,24,57.0,0.7916666666666666,0.5052631578947369,0.7671073527506531,0.0074107967497981765,0.9507356528717842,,,0.4945054945054945,0.501859649122807,0.6456140350877193,1000.0
classification,video_scalar,future_any_drop_within_16cycles,72,24,57.0,0.7916666666666666,0.6035087719298246,0.8764196148236947,0.14563314620008252,0.22222576386342546,,,,,,
classification,video_embedding,future_any_drop_within_16cycles,72,24,57.0,0.7916666666666666,0.512280701754386,0.7770747904194619,0.01727850887119623,0.8854548381351067,,,,,,
classification,video_all,future_any_drop_within_16cycles,72,24,57.0,0.7916666666666666,0.6970760233918127,0.9128244210107845,0.27727892807586335,0.018371145534285944,,,0.01098901098901099,0.4997251461988304,0.637485380116959,1000.0
classification,video_plus_echem,future_any_drop_within_16cycles,72,24,57.0,0.7916666666666666,0.7543859649122807,0.9262299101940934,0.3579119694747791,0.0020233795181040562,,,0.001998001998001998,0.5003859649122806,0.6444444444444444,1000.0
classification,video_plus_echem_acquisition,future_any_drop_within_16cycles,72,24,57.0,0.7916666666666666,0.7415204678362574,0.9269487582224223,0.3398106744668592,0.0034962399762206715,,,0.001998001998001998,0.5016304093567251,0.6444444444444444,1000.0
regression,acquisition_context,transferred_masked_residual_signature,116,24,,,,,0.270943579467739,0.0032632924270292536,-0.6649155405791511,6.4210979161626005,,,,
regression,echem_regime,transferred_masked_residual_signature,116,24,,,,,0.10991975703571234,0.2401491029723597,0.16534052943253352,2.670475985617998,,,,
regression,video_scalar,transferred_masked_residual_signature,116,24,,,,,0.06684879370072046,0.47585537261718763,-1.1379786442970836,9.623032015533543,,,,
regression,video_embedding,transferred_masked_residual_signature,116,24,,,,,0.16350739152549823,0.07946819942469678,-0.49236917798951074,6.473063360673589,,,,
regression,video_all,transferred_masked_residual_signature,116,24,,,,,0.03994914090902205,0.6702712028167349,-1.832219206368101,11.573844304913608,,,,
regression,video_plus_echem,transferred_masked_residual_signature,116,24,,,,,0.583192787242114,6.448668637795314e-12,0.7105907146610388,1.6955145170499248,,,,
regression,video_plus_echem_acquisition,transferred_masked_residual_signature,116,24,,,,,0.527460442983708,1.1759236615335912e-09,0.7353707883564379,1.6480367550211599,,,,
regression,acquisition_context,threshold_robust_phase_score,116,24,,,,,0.10834663836990932,0.24698516686380073,-0.1708383701167382,0.3888585055969623,,,,
regression,echem_regime,threshold_robust_phase_score,116,24,,,,,0.274344605375739,0.002880759495831815,-2.6436040379750927,0.4608514702214159,,,,
regression,video_scalar,threshold_robust_phase_score,116,24,,,,,0.6264370201359233,5.436274297513076e-14,0.23477013646051748,0.28651488759295884,,,,
regression,video_embedding,threshold_robust_phase_score,116,24,,,,,0.10752932184935653,0.2505894488619582,-2.6560582014009118,0.4800469263672179,,,,
regression,video_all,threshold_robust_phase_score,116,24,,,,,0.5961652872289519,1.6583148780788042e-12,-0.5128507779992293,0.3435120924088031,,,,
regression,video_plus_echem,threshold_robust_phase_score,116,24,,,,,0.252190019031959,0.006313400488800606,-1.4007638073224213,0.5221723262707009,,,,
regression,video_plus_echem_acquisition,threshold_robust_phase_score,116,24,,,,,-0.05845360417384691,0.5331006139547664,-6.09148046449098,0.659891196258605,,,,
regression,acquisition_context,phase_slope_abs_median_per_s,116,24,,,,,0.6664388330996646,3.2151727743727273e-16,0.23985698154695212,9.903462782751724e-07,,,,
regression,echem_regime,phase_slope_abs_median_per_s,116,24,,,,,0.5969506131919124,1.5244417047833228e-12,-40.43984555240413,3.1262229715666954e-06,,,,
regression,video_scalar,phase_slope_abs_median_per_s,116,24,,,,,0.522526140419394,1.783546712094598e-09,0.07982946644561595,1.0897024776456906e-06,,,,
