cycleNo,source_stem,local_cycle_index,is_event_cycle,particle_event_count,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,n_sampled_frames,sampled_first_frame,sampled_last_frame,cycle_table_n_frames,stage_drift_xy_sampled,stage_drift_z_sampled,average_intensity_sample_mean,average_intensity_sample_delta,preview_png,roi_fraction,brightness_threshold,dynamic_threshold,fallback_mask,roi_mean,roi_std_time,background_mean,background_std_time,roi_background_contrast,roi_cv_time,contrast_cv_time,frame0_roi_mean,frame_last_roi_mean,roi_mean_delta_last_minus_first
86.0,10_c2_x10_030723,1,True,3,10,9068,906,1813,12,906,1812,899.0,0.2692582403567336,6.628180292874106,8054.488846064814,5.385833333332812,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_86_10_c2_x10_030723_local1.png,0.08108333333333333,12202.284545898438,837.0741729736328,True,9179.4208984375,111.03817749023438,7948.34765625,59.550437927246094,1231.0736083984375,0.012096425518393517,0.042452123016119,9033.087890625,9031.2568359375,-1.8310546875
88.0,10_c2_x10_030723,3,False,0,10,9068,2720,3627,12,2720,3626,904.0,0.14142135623734164,6.143505140766138,8067.896409722221,-0.1406666666671299,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_88_10_c2_x10_030723_local3.png,0.03983333333333333,12081.87158203125,784.1035003662109,True,9176.9375,107.18284606933594,8015.80322265625,61.16884994506836,1161.1339111328125,0.011679587885737419,0.0398750975728035,9035.2470703125,9032.859375,-2.3876953125
90.0,10_c2_x10_030723,5,False,0,10,9068,4534,5440,12,4534,5439,902.0,0.14142135623734164,4.838324585903024,8064.660097222222,-4.818972222222328,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_90_10_c2_x10_030723_local5.png,0.05330555555555556,11958.28662109375,609.4349517822266,True,8479.5048828125,59.115116119384766,8035.02001953125,65.47750854492188,444.4853515625,0.006971529219299555,0.03166913613677025,8412.314453125,8402.576171875,-9.73828125
116.0,13_c2_x6_100723,1,True,3,6,5458,909,1819,12,909,1818,892.0,0.14142135623734164,5.508583311743337,8043.1620532407405,-4.832902777778145,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_116_13_c2_x6_100723_local1.png,0.09002777777777778,12450.398315429688,666.6866302490234,True,8996.9169921875,97.84909057617188,7942.27197265625,58.82891845703125,1054.6453857421875,0.010875847190618515,0.037112489342689514,8900.09765625,8881.5947265625,-18.5029296875
118.0,13_c2_x6_100723,3,False,0,6,5458,2729,3638,12,2729,3637,899.0,0.2500000000000227,4.461896965862479,8044.508784722223,-8.769666666667035,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_118_13_c2_x6_100723_local3.png,0.04883333333333333,12443.380981445312,708.4815826416016,True,9055.2548828125,108.27824401855469,7986.845703125,61.097068786621094,1068.409912109375,0.011957503855228424,0.04428328201174736,8923.4853515625,8900.841796875,-22.6435546875
156.0,18_c2_xN_HighHighCOV_170723,0,True,1,3,5818,0,1939,12,0,1938,1246.0,0.11180339887498948,4.7758391615116125,8148.695821759259,329.05031944444545,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_156_18_c2_xN_HighHighCOV_170723_local0.png,0.023,13642.312866210938,1402.7547912597656,True,9183.28515625,194.22140502929688,8118.61083984375,109.54183959960938,1064.675048828125,0.021149447187781334,0.08082564175128937,8876.0576171875,9452.3671875,576.3095703125
157.0,18_c2_xN_HighHighCOV_170723,1,False,0,3,5818,1939,3878,12,1939,3877,1219.0,0.11180339887498948,3.3122466248224782,8138.150002314814,-232.71104166666737,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_157_18_c2_xN_HighHighCOV_170723_local1.png,0.02811111111111111,13409.265258789062,1291.0794372558594,True,9576.5908203125,275.4732971191406,8090.08203125,102.57202911376953,1486.5081787109375,0.028765277937054634,0.11671589314937592,10025.169921875,9385.7392578125,-639.4306640625
158.0,18_c2_xN_HighHighCOV_170723,2,False,0,3,5818,3878,5818,12,3878,5817,1219.0,0.11180339887498948,3.086822754905427,8168.677532407407,77.20590277777774,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_158_18_c2_xN_HighHighCOV_170723_local2.png,0.026916666666666665,13573.556518554688,1245.8182830810547,True,9295.654296875,183.8402099609375,8131.37353515625,88.77674865722656,1164.2789306640625,0.019777005538344383,0.08208858966827393,9123.9296875,9257.1474609375,133.2177734375
58.0,7_c2_x10_290623,3,False,0,10,9206,2761,3682,12,2761,3681,919.0,0.14142135623726126,5.4491417262573805,8018.664311342592,-0.5860555555555038,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_58_7_c2_x10_290623_local3.png,0.04075,13188.110717773438,915.2202301025391,True,9201.6650390625,135.84584045410156,7960.27099609375,61.39002990722656,1241.3944091796875,0.014763180166482925,0.060097288340330124,9014.9912109375,9005.328125,-9.6630859375
60.0,7_c2_x10_290623,5,True,1,10,9206,4603,5523,12,4603,5522,920.0,0.18027756377328777,5.315935477954781,8018.833225694445,0.4115416666663805,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_frame_proxy_qc/previews/cycle_60_7_c2_x10_290623_local5.png,0.05733333333333333,13279.224975585938,1284.8372344970703,True,9057.240234375,125.4606704711914,7949.00927734375,60.740509033203125,1108.2313232421875,0.01385197602212429,0.0591452457010746,8885.798828125,8858.8525390625,-26.9462890625
