roi_id,roi_class,is_event_roi,cycleNo,event_cycle,source_stem,validation_score,roi_mean_first,roi_mean_last,roi_mean_delta,roi_mean_slope_per_frame,roi_mean_slope_r2,high_fraction_delta,high_fraction_slope_per_frame,high_fraction_slope_r2,low_fraction_delta,low_fraction_slope_per_frame,temporal_diff_energy,cumulative_abs_change,persistence_tail_mse,stage_drift_xy_sampled
cycle86_rank5_obj8,event,1,86.0,86.0,10_c2_x10_030723,5.377963073534964,0.0834420844912529,0.08377459645271301,0.0003325119614601135,5.374303768776556e-05,0.05737818819704399,0.00835503472222221,0.00019239597110123964,0.022348479569635926,0.00640190972222221,-0.00029913813222516106,5.278667595121078e-05,0.005334683693945408,5.635003617499024e-05,0.2499999999999317
cycle86_rank2_obj6,event,1,86.0,86.0,10_c2_x10_030723,5.344092852173012,0.07436051964759827,0.07449217885732651,0.00013165920972824097,4.076545651773735e-05,0.05932077928398338,0.007378472222222238,0.0001789783190996717,0.03700002495908017,0.006076388888888895,-0.0002473051655664061,4.831897240364924e-05,0.005165356211364269,5.065651930635795e-05,0.2499999999999317
cycle86_rank3_obj5,event,1,86.0,86.0,10_c2_x10_030723,4.595016519669338,0.07550061494112015,0.07611338794231415,0.0006127730011940002,6.908013399971384e-05,0.09693893505230966,0.005642361111111077,0.00025957695950706866,0.07340885032244926,-0.0005425347222222099,-0.0004239387808882712,9.460682485951111e-05,0.007110688369721174,0.00010093949094880372,0.2499999999999317
cycle86_rank8_obj17,event,1,86.0,86.0,10_c2_x10_030723,3.8991914755100505,0.11490217596292496,0.11530789732933044,0.00040572136640548706,7.904600584500554e-05,0.23250944907804738,0.00444878472222221,0.00028261481483051615,0.2603269911016334,0.0016276041666666574,-0.0002931807006239805,0.00010395733988843858,0.0073393178172409534,0.00011411039304221049,0.2499999999999317
cycle86_rank4_obj9,event,1,86.0,86.0,10_c2_x10_030723,3.518927813373632,0.08359380811452866,0.08293188363313675,-0.0006619244813919067,0.00010399128165352776,0.15926834413678514,0.004123263888888895,0.0003716767614038885,0.1000767333153586,-0.004665798611111105,-0.0007007911881292573,0.00012165113002993166,0.008009090088307858,0.00013144976401235908,0.2499999999999317
cycle116_rank3_obj9,event,1,116.0,116.0,13_c2_x6_100723,4.261017170280639,0.07678136229515076,0.07572346180677414,-0.0010579004883766174,0.00011400135448258153,0.17796367506261124,-0.0008680555555555802,0.00046934110674022106,0.15120615778746038,0.0016276041666666852,-0.0007576616618059314,8.857985812937841e-05,0.007302942685782909,8.674901619087905e-05,0.2236067977499281
cycle116_rank2_obj2,event,1,116.0,116.0,13_c2_x6_100723,4.159234021974196,0.07582628726959229,0.07563389837741852,-0.0001923888921737671,4.547776637181525e-05,0.1309306371773059,-0.0010850694444444753,0.00020291107705771173,0.08316360929596367,-0.0014105902777777624,-0.0002274311148697027,4.295408871257678e-05,0.0050864554941654205,4.2198895243927836e-05,0.2236067977499281
cycle116_rank1_obj6,event,1,116.0,116.0,13_c2_x6_100723,4.033089505345082,0.07839798927307129,0.07723325490951538,-0.0011647343635559082,9.187437862772318e-05,0.1284395754082709,-0.0048828125,0.0003219831713559557,0.1067347348735963,0.004665798611111105,-0.00045126937228703114,7.897186151240021e-05,0.00687714247033,7.79595211497508e-05,0.2236067977499281
cycle116_rank8_obj20,event,1,116.0,116.0,13_c2_x6_100723,3.987079460919189,0.11127623170614243,0.11153454333543777,0.0002583116292953491,7.827640533835395e-05,0.1610892672311116,0.0014105902777777901,0.0002176497407608405,0.10349739024674232,0.0010850694444444475,-0.00023069353541176724,8.303269714815542e-05,0.006980229169130325,8.040799730224535e-05,0.2236067977499281
cycle116_rank7_obj37,event,1,116.0,116.0,13_c2_x6_100723,3.780379242324946,0.1357230842113495,0.1347198635339737,-0.0010032206773757935,8.295259013472943e-05,0.11275719161546527,-0.005642361111111105,0.00031785675764529604,0.10071023238333243,0.0008680555555555525,-0.00021170776389265605,0.00023368009715341032,0.011947443708777428,0.00023270075325854123,0.2236067977499281
