source_stem,n_rows,n_cycles,future16_rate,mean_exact_optical_loss_score,mean_front_contraction_score,mean_diffusion_guardrail_score,mean_rollout_residual_score
17_c2_x10_HighHighCOV_150723,66,10,1.0,0.41430194820232796,0.024770047087027548,0.05014783563455624,0.2098470406680294
13_c2_x6_100723,14,2,,0.2231212738110542,,,
10_c2_x10_030723,14,3,,0.07337844245252637,,,
11_c2_x10_050723,3,1,1.0,0.05034289553144974,0.5421545662376023,0.15727858078821852,-0.4800190239046209
12_c2_x10_070723,6,2,1.0,-0.05405324562886197,0.36513210836438903,-0.16901570504998664,-0.14947281705031193
5_c2_x10_260623,10,2,0.5,-0.10276829839974293,-0.035232783162070645,0.04500060365937448,-0.18164596792986165
14_c2_x10_HighCOV_110723,3,1,0.0,-0.11977582900273333,0.04859276244246302,0.10202027928487273,0.08215600304945425
9_c2_x10_010723,9,3,1.0,-0.2508486974086945,-0.06344347547667593,-0.17154341504323184,-0.4873756128937491
7_c2_x10_290623,14,3,,-0.25897372202703833,,,
16_c2_x10_HighHighCOV_130723,9,3,0.6666666666666666,-0.6815039610971432,-0.41958113742333697,-0.06220728315650689,0.233313452949418
15_c2_x5_HighCOV_120723,3,1,0.0,-0.7461118963423727,-0.02943889409345431,0.5640648948830538,0.126018217040718
18_c2_xN_HighHighCOV_170723,21,3,0.0,-0.7466419822333866,-0.019733717161484126,-0.3755598139212688,-0.40220155307250877
