roi_id_x,cycleNo,source_stem,front_candidate_rank,object_candidate_rank,validation_score,validation_tier,crop_x0,crop_y0,crop_x1,crop_y1,center_x_full_px,center_y_full_px,n_frames,elapsed_s,roi_mean_delta_corrected,active_fraction_first,active_fraction_last,trace_csv,plot_png,crop_preview_png,direction,mean_last_delta,baseline_frames,threshold,noise_mad_sigma,radius2_slope_full_px2_per_s,radius2_slope_r2,radius2_slope_n_fit,apparent_diffusion_proxy_full_px2_per_s,area_equiv_radius2_slope_full_px2_per_s,area_equiv_radius2_slope_r2,p90_radius2_slope_full_px2_per_s,p90_radius2_slope_r2,stage_drift_xy,pixel_size_um,pixel_area_um2,radius2_slope_full_um2_per_s,apparent_diffusion_proxy_full_um2_per_s,area_equiv_radius2_slope_full_um2_per_s,p90_radius2_slope_full_um2_per_s,stage_drift_xy_um,center_x_full_um,center_y_full_um,roi_id_front,joint_degradation_score,joint_mode_name,roi_id_y,rollout_residual_energy_mean,mean_drop_frac,evidence_score,degradation_mode_hypothesis,manual_qc_status,manual_qc_required,qc_flag_count,auto_qc_notes,calibration_status,calibration_source,front_tracking_interpretation
cycle86_front4_obj9,86.0,10_c2_x10_030723,4,9,3.518927813373632,,715,288,907,480,810.7391304347827,383.6956521739131,32,9098.54734659195,-15.6640625,0.0550672743055555,0.1118977864583333,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front4_obj9_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front4_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front4_obj9_crop_preview.png,1.0,57.81104278564453,5,320.42620107421874,106.80873369140625,-0.1868965376690237,0.2577204821010488,32,-0.0467241344172559,0.16891566389572,0.3013617784131057,-0.0911478015905935,0.0570324504804502,0.2236340951674545,0.096,0.009216,-0.0017224384911577225,-0.00043060962278943036,0.0015567267584629554,-0.0008400181394589098,0.021468873136075633,77.83095652173914,36.83478260869566,cycle86_front4_obj9,2.8584733209397086,highest_score_contracting_optical_loss,cycle86_rank4_obj9,0.0021907234888658,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle116_front3_obj9,116.0,13_c2_x6_100723,3,9,4.261017170280639,,725,284,917,476,820.927536231884,380.1159420289855,32,9126.74534368515,-12.10546875,0.0428873697916666,0.0594346788194444,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front3_obj9_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front3_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front3_obj9_crop_preview.png,1.0,53.66439437866211,5,306.68319404296875,102.22773134765625,-0.2627405067053337,0.2985903304518088,32,-0.0656851266763334,0.1086153276690416,0.2884187443908446,-0.2476364698854458,0.1954230003004629,0.2236340951674545,0.096,0.009216,-0.0024214165097963558,-0.0006053541274490886,0.0010009988597978873,-0.0022822177064642686,0.021468873136075633,78.80904347826086,36.49113043478261,cycle116_front3_obj9,1.719174409328104,lower_residual_comparison_mode,cycle116_rank3_obj9,0.00064808735533,0.1917019578422557,12.929917335181958,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle86_front8_obj17,86.0,10_c2_x10_030723,8,17,3.8991914755100505,,20,907,212,1099,116.0,1002.9019607843138,32,9098.54734659195,0.1396484375,0.0421820746527777,0.1404893663194444,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front8_obj17_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front8_obj17_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front8_obj17_crop_preview.png,1.0,42.938419342041016,5,322.1592793945312,107.38642646484374,-0.0819983033477586,0.3040104967910901,32,-0.0204995758369396,0.2229515965210446,0.4436021617233694,-0.0014130500688651,0.0002671890738653,0.2236340951674545,0.096,0.009216,-0.0007556963636529432,-0.00018892409091323536,0.002054721913537947,-1.302266943466076e-05,0.021468873136075633,11.136000000000001,96.27858823529412,cycle86_front8_obj17,1.4185033711018522,highest_score_contracting_optical_loss,cycle86_rank8_obj17,0.003123359840174,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle116_front1_obj6,116.0,13_c2_x6_100723,1,6,4.033089505345082,,1103,992,1295,1184,1199.1515151515152,1088.4242424242425,32,9126.74534368515,-17.044921875,0.0422905815972222,0.0464409722222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front1_obj6_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front1_obj6_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front1_obj6_crop_preview.png,1.0,36.0057487487793,5,307.9189353515625,102.6396451171875,-0.1452021427645233,0.2150272000568991,32,-0.0363005356911308,0.0912173285921241,0.2137744232217602,-0.0194195839034076,0.0118950508175662,0.2236340951674545,0.096,0.009216,-0.001338182947717847,-0.00033454573692946147,0.0008406589003050157,-0.00017897088525380443,0.021468873136075633,115.11854545454547,104.48872727272727,cycle116_front1_obj6,0.6719779575502947,lower_residual_comparison_mode,cycle116_rank1_obj6,0.0007327046444061,0.1917019578422557,12.929917335181958,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle116_front7_obj37,116.0,13_c2_x6_100723,7,37,3.780379242324946,,1159,804,1351,996,1255.090909090909,900.2727272727273,32,9126.74534368515,-5.15625,0.0138346354166666,0.0425075954861111,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front7_obj37_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front7_obj37_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front7_obj37_crop_preview.png,-1.0,-3.714749336242676,5,302.74576171875003,100.91525390625,-0.217030104531719,0.612143252222972,32,-0.0542575261329297,0.0548619044285878,0.2224841363277084,-0.1175791687365506,0.3725686903841609,0.2236340951674545,0.096,0.009216,-0.0020001494433643224,-0.0005000373608410802,0.0005056073112138652,-0.0010836096190760503,0.021468873136075633,120.48872727272726,86.42618181818182,cycle116_front7_obj37,0.1280619444880397,lower_residual_comparison_mode,cycle116_rank7_obj37,0.0006502347223431,0.1917019578422557,12.929917335181958,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle116_front2_obj2,116.0,13_c2_x6_100723,2,2,4.159234021974196,,1253,81,1445,273,1348.6176470588234,177.44117647058823,32,9126.74534368515,-2.8876953125,0.0345594618055555,0.0482584635416666,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front2_obj2_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front2_obj2_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front2_obj2_crop_preview.png,1.0,27.341211318969727,5,311.4372146484375,103.8124048828125,-0.2536737743074581,0.2223745539602243,32,-0.0634184435768645,0.045806436110852,0.3261740162049035,-0.6172182206171004,0.2685355628326389,0.2236340951674545,0.096,0.009216,-0.002337857504017534,-0.0005844643760043833,0.00042215211519761205,-0.005688283121207198,0.021468873136075633,129.46729411764704,17.034352941176472,cycle116_front2_obj2,0.1071998373891978,lower_residual_comparison_mode,cycle116_rank2_obj2,0.0003880475560436,0.1917019578422557,12.929917335181958,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle116_front4_obj58,116.0,13_c2_x6_100723,4,58,3.625239010614535,,960,60,1152,252,1055.5,156.0,32,9126.74534368515,-11.54296875,0.030029296875,0.0359429253472222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front4_obj58_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front4_obj58_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front4_obj58_crop_preview.png,1.0,28.66538429260254,5,338.0523459960937,112.68411533203124,-0.1611129823826615,0.2666960084294117,32,-0.0402782455956653,0.0727268838157288,0.1662897744797018,-0.3411093757524043,0.4170900365852601,0.2236340951674545,0.096,0.009216,-0.0014848172456386084,-0.0003712043114096514,0.0006702509612457566,-0.003143664006934158,0.021468873136075633,101.328,14.976,cycle116_front4_obj58,-0.0926086224960257,lower_residual_comparison_mode,cycle116_rank4_obj58,0.0005653882249134,0.1917019578422557,12.929917335181958,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle86_front2_obj6,86.0,10_c2_x10_030723,2,6,5.344092852173012,,1240,76,1432,268,1335.859296482412,171.678391959799,32,9098.54734659195,-1.8193359375,0.0213758680555555,0.1001519097222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front2_obj6_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front2_obj6_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front2_obj6_crop_preview.png,1.0,18.36862564086914,5,325.8491291015625,108.6163763671875,-0.1771701224715564,0.1583809804094795,32,-0.0442925306178891,0.1194537705204366,0.1643042633222733,-0.2938143049946933,0.0824635303753212,0.2236340951674545,0.096,0.009216,-0.0016327998486978638,-0.00040819996217446596,0.0011008859491163437,-0.0027077926348310936,0.021468873136075633,128.24249246231156,16.481125628140706,cycle86_front2_obj6,-0.7735151267667235,lower_residual_comparison_mode,cycle86_rank2_obj6,0.0007274599122411,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle86_front5_obj8,86.0,10_c2_x10_030723,5,8,5.377963073534964,,1565,95,1757,287,1660.7096774193549,191.1290322580645,32,9098.54734659195,1.4580078125,0.0224880642361111,0.1011284722222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front5_obj8_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front5_obj8_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front5_obj8_crop_preview.png,1.0,37.709564208984375,5,318.756104296875,106.252034765625,-0.1045640531248182,0.1629754480732897,32,-0.0261410132812045,0.1379948929236807,0.1181269430340883,-0.056394694138723,0.0354040385809789,0.2236340951674545,0.096,0.009216,-0.0009636623135983246,-0.00024091557839958067,0.0012717609331846414,-0.0005197335011824712,0.021468873136075633,159.42812903225808,18.348387096774193,cycle86_front5_obj8,-1.5242953137706174,lower_residual_comparison_mode,cycle86_rank5_obj8,0.0010118616696672,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,pending,True,0,no automatic front-tracking warning,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
cycle86_front3_obj5,86.0,10_c2_x10_030723,3,5,4.595016519669338,,1088,990,1280,1182,1184.2469135802469,1085.9753086419753,32,9098.54734659195,6.42578125,0.0323079427083333,0.0957302517361111,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front3_obj5_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front3_obj5_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front3_obj5_crop_preview.png,1.0,42.450103759765625,5,321.5815866210937,107.19386220703124,-0.056108846957936,0.0378847077603904,32,-0.014027211739484,0.1235854830958918,0.2461908500641439,-0.0563005119877826,0.0521137542587758,0.2236340951674545,0.096,0.009216,-0.0005170991335643382,-0.00012927478339108456,0.0011389638122117388,-0.0005188655184794045,0.021468873136075633,113.6877037037037,104.25362962962963,cycle86_front3_obj5,-1.641230280062051,lower_residual_comparison_mode,cycle86_rank3_obj5,0.0014776113948755,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,pending,True,1,low radius2 fit R2,provisional_from_project_slides,Battery_Degradation_Project/Degradation Paper Outline.pptx slide 3: improved microscope design offers 96 nm pixel size and 180x120 um FoV,"calibrated apparent front/radius slopes; not a physical diffusion coefficient until particle identity, front mask, and pixel calibration are manually confirmed"
