roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,n_frames_loaded,train_n,horizon_n,history_mask_area_px,history_mask_fraction,fallback_frame_fraction,fallback_frame_count,median_history_iou,centroid_jitter_q90_px,blur_ratio_q10,one_step_history_mse,one_step_adaptive_mse,one_step_hybrid_mse,one_step_hybrid_minus_adaptive_mse,one_step_hybrid_adaptive_abs_delta_median,one_step_hybrid_adaptive_rel_delta,persistence_rollout_history_mse,persistence_rollout_hybrid_mse,latent_linear_rollout_history_mse,latent_linear_rollout_hybrid_mse,latent_linear_gain_vs_persistence_history,latent_linear_gain_vs_persistence_hybrid,hybrid_vs_history_persistence_rollout_mse_delta,hybrid_vs_history_latent_rollout_mse_delta,late_one_step_hybrid_mse,early_one_step_hybrid_mse,late_minus_early_one_step_hybrid_mse
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.329266672272,source_balanced_pre_event_candidate,574.5365853658536,231.1219512195122,41.0,11764.1923828125,29.37434196472168,479,135,671,327,192,96,96,2720,3626,8546.6884765625,8550.58984375,3.9013671875,0.0886805951595306,0.0889895185828208,0.0003089234232902,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj1_10_c2_x10_030723.npz,,96,58,38,44,0.004774305555555556,0.6354166666666666,61,0.9318181818181818,0.2076754434869108,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.56405304864168,source_balanced_pre_event_candidate,1190.9411764705883,652.0,34.0,12524.58203125,30.94007873535156,1095,556,1287,748,192,96,96,2720,3626,8040.17626953125,8034.916015625,-5.26025390625,0.0692231953144073,0.0689038857817649,-0.0003193095326423,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj2_10_c2_x10_030723.npz,,96,58,38,32,0.003472222222222222,0.7395833333333334,71,0.9411764705882353,0.19730011566174785,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.307087736570715,source_balanced_pre_event_candidate,831.709090909091,65.81818181818181,55.0,9689.1435546875,24.847431182861328,736,0,928,192,192,96,96,4534,5439,8959.5205078125,8950.794921875,-8.7255859375,0.0919018611311912,0.091493934392929,-0.0004079267382621,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj1_10_c2_x10_030723.npz,,96,58,38,57,0.006184895833333333,0.0,0,0.7777777777777778,1.204009878468156,0.8956302063442237,9.824344532876664e-06,1.4007694732786824e-05,1.4007694732786824e-05,0.0,0.0,0.0,7.310157414673309e-05,6.522131618156727e-05,8.495246941981057e-05,8.991278664361142e-05,-0.16211545936466124,-0.3785797636052981,-7.880257965165816e-06,4.96031722380085e-06,1.122873083834859e-05,1.6845785518596074e-05,-5.617054680247484e-06
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.842986199481786,source_balanced_pre_event_candidate,574.2222222222222,232.0,45.0,10566.20703125,27.51865005493164,478,136,670,328,192,96,96,4534,5439,8528.22265625,8518.755859375,-9.466796875,0.087337926030159,0.0866547003388404,-0.0006832256913185,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj2_10_c2_x10_030723.npz,,96,58,38,44,0.004774305555555556,0.6666666666666666,64,0.9777777777777777,0.08461970117626301,0.0,7.539293591343741e-10,7.371753733758324e-10,7.371753733758324e-10,0.0,0.0,0.0,0.0,0.0,1.0645569728385995e-11,1.058331502506218e-11,,,0.0,-6.225470332381562e-14,0.0,1.4900353291639167e-09,-1.4900353291639167e-09
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,25.488656580292165,source_balanced_pre_event_candidate,1191.7333333333331,652.4,30.0,13611.0244140625,34.50833511352539,1096,556,1288,748,192,96,96,6347,7253,7984.6640625,7979.201171875,-5.462890625,0.0658547729253768,0.0655813217163086,-0.0002734512090682,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj1_10_c2_x10_030723.npz,,96,58,38,32,0.003472222222222222,0.6041666666666666,58,0.9375,0.188561808316412,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,24.29946436055132,source_balanced_pre_event_candidate,574.1904761904761,232.8571428571429,42.0,11196.3671875,29.26946449279785,478,137,670,329,192,96,96,6347,7253,8501.822265625,8492.5556640625,-9.2666015625,0.0885036066174507,0.0878025293350219,-0.0007010772824287,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj2_10_c2_x10_030723.npz,,96,58,38,43,0.004665798611111111,0.3645833333333333,35,0.9318181818181818,0.2296624386658046,0.22480281626780824,1.7032911157765642e-06,7.324804636561366e-08,7.324804636561366e-08,0.0,0.0,0.0,1.2427590057023454e-05,0.0,1.1207326571643091e-05,1.3718649942865426e-06,0.09818987267694197,,-1.2427590057023454e-05,-9.835461577356548e-06,0.0,1.4805456180283612e-07,-1.4805456180283612e-07
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,1,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,25.14983171634987,source_balanced_pre_event_candidate,576.972972972973,232.97297297297297,37.0,12897.384765625,32.438777923583984,481,137,673,329,192,96,96,8161,9067,8492.6435546875,8486.44921875,-6.1943359375,0.0870167538523674,0.086605779826641,-0.0004109740257263,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj1_10_c2_x10_030723.npz,,96,58,38,34,0.003689236111111111,0.7291666666666666,70,0.868421052631579,0.2735473592674781,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,2,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,23.93425610271029,source_balanced_pre_event_candidate,833.6666666666666,68.83333333333333,48.0,10861.255859375,27.37371826171875,738,0,930,192,192,96,96,8161,9067,8934.533203125,8923.23828125,-11.294921875,0.0925137251615524,0.0917659774422645,-0.0007477477192878,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj2_10_c2_x10_030723.npz,,96,58,38,49,0.005316840277777778,0.0,0,0.7017543859649122,1.2336238271166882,0.965895159344901,5.551814384316565e-06,1.252134590044341e-05,1.252134590044341e-05,0.0,0.0,0.0,3.032897754467587e-05,3.0218466550728838e-05,6.261548806395612e-05,6.0633119391924936e-05,-1.0645433223629397,-1.0064922649247576,-1.1051099394703324e-07,-1.9823686720311858e-06,8.223807531717524e-06,1.6910321255737936e-05,-8.686513724020412e-06
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,23.445151520434056,source_balanced_pre_event_candidate,1339.6521739130435,203.96521739130435,115.0,8149.71435546875,19.829694747924805,1244,108,1436,300,192,96,96,902,1803,8879.798828125,8878.8388671875,-0.9599609375,0.0725918188691139,0.0725421607494354,-4.9658119678497314e-05,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj1_11_c2_x10_050723.npz,,96,58,38,115,0.012478298611111112,0.5104166666666666,49,0.893036173960168,0.7778777908315457,0.5007480950134573,5.1544661315840244e-05,6.214532514246697e-05,4.954694827281519e-05,-1.2598376869651773e-05,3.183592454856502e-07,-0.20272445016210366,0.002909798549781168,0.0017548488777129158,0.001573991869969121,0.0010992722639117563,0.45907187626872203,0.3735800969115749,-0.0011549496720682521,-0.00047471960605736463,5.172158370992926e-05,4.7326043996613624e-05,4.3955397133156325e-06
source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,24.90960755549438,source_balanced_pre_event_candidate,834.3809523809524,95.61904761904762,42.0,13544.525390625,29.58783912658692,738,0,930,192,192,96,96,902,1803,8969.9482421875,8967.5615234375,-2.38671875,0.0822904556989669,0.0821564421057701,-0.0001340135931968,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj2_11_c2_x10_050723.npz,,96,58,38,41,0.004448784722222222,0.4791666666666667,46,0.9302325581395349,0.34122179614678105,0.24525211452700935,3.084985744731807e-06,2.77682873379859e-07,6.702644523005269e-07,3.9258157892066805e-07,0.0,1.4137767091729574,5.432931021245259e-05,1.986877210386951e-06,5.0903055996087484e-05,1.8138048739777461e-06,0.06306456317900735,0.0871077163220864,-5.234243300206564e-05,-4.908925112210974e-05,8.903623139191589e-07,4.454836574559669e-07,4.44878656463192e-07
