source_stem,n_roi,n_cycles,future8,future16,median_fallback,one_step_hybrid_mse,latent_gain_history,latent_gain_hybrid
10_c2_x10_030723,8,4,0.0,0.0,0.6197916666666666,3.685876866879162e-10,-0.16211545936466124,-0.6925360142650279
11_c2_x10_050723,10,5,0.0,6.0,0.3489583333333333,2.980012707852895e-05,0.346323232008107,0.2757485578657394
12_c2_x10_070723,10,5,8.0,10.0,0.39583333333333337,5.932539307314164e-05,0.1703078782211052,0.13669201580650103
14_c2_x10_HighCOV_110723,8,4,0.0,0.0,0.15104166666666669,0.00021299049195617808,0.1733021162636109,0.06518692687720551
15_c2_x5_HighCOV_120723,4,2,0.0,0.0,0.005208333333333333,0.00045893994932619047,-0.08753195022438459,0.11322545084653607
16_c2_x10_HighHighCOV_130723,10,5,0.0,8.0,0.25,0.00047955410249437766,0.3147717285013546,0.16117485322038272
17_c2_x10_HighHighCOV_150723,10,5,8.0,10.0,0.40625,0.001992702992255902,0.48642494585213314,0.3354790842200669
2_c2_x14_200623,10,5,0.0,0.0,0.11458333333333333,4.8669015270194144e-05,-0.07463454125914273,-0.14545125153268368
4_c2_x10_240623,10,5,0.0,0.0,0.296875,3.25307900496949e-05,0.33529465284900095,0.27787588152596754
5_c2_x10_260623,10,5,0.0,2.0,0.14583333333333331,9.017961015719784e-06,-0.08224426799643068,-0.0025634047382806046
6_c2_x10_270623_2,10,5,4.0,10.0,0.3802083333333333,2.0748452547090427e-05,0.1811890310028998,0.018915068568449007
7_c2_x10_290623,8,4,4.0,4.0,0.30729166666666663,1.802154783075575e-05,0.47738981132204417,0.42688935243030945
8_c2_x10_300623,10,5,0.0,6.0,0.07291666666666667,1.3433740131315995e-06,0.13611747372089403,0.023141724689376367
9_c2_x10_010723,10,5,8.0,10.0,0.36979166666666663,2.348996544835801e-05,0.07353613540211389,-0.15515263139972987
