feature,direction,n,n_positive,median_positive,median_negative,oriented_auc,average_precision,mannwhitney_p,spearman_rho_oriented,spearman_p_oriented,source_eta2
capacity_fraction_of_first,low,54,42,0.9532431962379382,1.30367087913144,0.8928571428571428,0.9650528043385186,3.873697687693632e-05,0.566654091837825,7.941361182234808e-06,0.5193993446290935
shape_charge_mAh_neg_abs,low,54,42,0.6307839071912541,0.8626500404409875,0.8928571428571428,0.9650528043385186,3.873697687693632e-05,0.566654091837825,7.941361182234808e-06,0.5193325844201949
neg_dq_abs_lowV_frac,high,54,42,0.14270584300862,0.12846059827889356,0.875,0.970734126984127,8.587881252899398e-05,0.5408970876633783,2.4144273960099975e-05,0.12209669203037214
all_dq_abs_total_mAh,low,54,42,1.2740808302298876,1.5200543237782693,0.875,0.9608861376718519,8.587881252899398e-05,0.5408970876633783,2.4144273960099975e-05,0.5467943799390326
neg_dq_abs_total_mAh,low,54,42,0.630746340560376,0.8560800423565323,0.875,0.9608861376718519,8.587881252899398e-05,0.5408970876633783,2.4144273960099975e-05,0.5067365273647748
shape_charge_mAh_abs,low,54,42,1.2741559634916495,1.7415189200211711,0.875,0.9608861376718519,8.587881252899398e-05,0.5408970876633783,2.4144273960099975e-05,0.8246358531949449
pos_dq_abs_total_mAh,low,54,42,0.647961749480386,0.6639742814217365,0.8571428571428572,0.9631562881562881,0.00018412352190277548,0.5151400834889318,6.725124846380622e-05,0.8576058673962909
shape_V_q10,low,54,42,3.5905620000000003,3.60282,0.8392857142857142,0.9605300453514738,0.0003818136582697028,0.4893830793144852,0.00017305589551429578,0.19636453528031728
shape_V_q05,low,54,42,3.5160505,3.5269565,0.8214285714285714,0.9571161798052554,0.0007659046144967596,0.46362607514003856,0.000414343628249052,0.14248911926330604
shape_charge_mAh_pos,low,54,42,0.7547946874394496,0.8783234682805281,0.8214285714285714,0.9460051852908995,0.0007659046144967596,0.46362607514003856,0.000414343628249052,0.9967341774718173
cycle_state_pc3,high,72,57,2.031075480633835,-0.7415766410189385,0.8210526315789474,0.9378172781810553,0.00014343123265880874,0.4520586017376888,6.711082279245319e-05,0.6964247128506695
neg_dq_abs_highV_frac,low,54,42,0.20721372208119387,0.2936377776203972,0.7857142857142857,0.9326548451548451,0.0027915678546119177,0.4121120667911454,0.001958835999280578,0.714296905617437
shape_dIdt_slope,low,54,42,-0.00014923892095734998,-0.0001202931525632,0.7857142857142857,0.9298530834245119,0.0027915678546119177,0.4121120667911454,0.001958835999280578,0.9446801599476554
threshold_robust_diffusion_score,high,72,57,0.6875,0.0902777777777777,0.7789473684210526,0.8998515181340665,0.0009311436211222201,0.39371484816447055,0.0006224813110340002,0.6386625776049069
particle_vs_context_mean_diff_positive_fraction,low,72,57,0.5052631578947369,0.5578947368421052,0.7690058479532164,0.9040116043515714,0.0013665529427647728,0.3807906573287337,0.0009674395888354221,0.390125035521455
shape_dVdt_slope,low,54,42,-3.4233104228993135e-05,-3.0249371146885402e-05,0.75,0.9279681627895913,0.008928597535607615,0.36059805844225223,0.007392746536141889,0.315949586030444
cycle_state_pc4,low,72,57,-1.94227935757503,0.1224491086787783,0.7473684210526315,0.9274521831797373,0.0034120223118900704,0.3483074472405143,0.0027153159406335305,0.09019982033529828
particle_std_diff_positive_fraction,low,72,57,0.5157894736842106,0.5263157894736842,0.7228070175438596,0.9042435040369279,0.007855763262732856,0.3163013147706565,0.0067933861708408625,0.18373913668031286
dqdv_integral_asymmetry,high,54,42,0.023468506611881247,-0.11495984930285741,0.7142857142857143,0.9184752747252747,0.025107260492780788,0.30908405009335904,0.022957105859449847,0.5019757023423567
all_dq_abs_highV_frac,low,54,42,0.310655676179844,0.362535724311695,0.7142857142857142,0.9165807231983703,0.025107260492780788,0.30908405009335904,0.022957105859449847,0.7810955320023846
particle_vs_context_mean_last_minus_first,high,72,57,0.0029859308851882,0.0016808568034321,0.7087719298245614,0.9134947105251041,0.013582506566903655,0.29373465081033595,0.01226906391235948,0.7728609518726782
particle_mean_diff_positive_fraction,low,72,57,0.5157894736842106,0.5368421052631579,0.7070175438596492,0.8788227773887121,0.012438856106752454,0.2974696702141086,0.011159429116816642,0.3061297792901378
object_mean_residual,low,72,57,8306.1904296875,9929.759765625,0.7052631578947368,0.9247252719532406,0.015165749959820134,0.28902107324212883,0.013804937881562345,0.6584993625496259
all_dq_abs_peak_frac,high,54,42,0.1161020297482126,0.09832716947271,0.6964285714285714,0.8545936206650493,0.04014686894622224,0.2833270459189125,0.03788896259181415,0.5677866315050688
pos_dq_abs_entropy,low,54,42,2.296620166088509,2.3775956922951433,0.6964285714285714,0.8545936206650493,0.04014686894622224,0.2833270459189125,0.03788896259181415,0.7100126461693922
transferred_masked_residual_signature,high,72,57,0.6286054582853854,0.2863584478094875,0.6947368421052631,0.9039547889401947,0.021250299590366277,0.2741994797425325,0.019763663673750185,0.08606454639058475
roi_norm_mean_delta_last_minus_first,low,72,57,-0.0001486539840698,0.0005150437355041,0.6947368421052631,0.8933647349046461,0.021250299590366277,0.2741994797425325,0.019763663673750185,0.8415466185393341
particle_mean_last_minus_first,high,72,57,0.0026495156344026,0.0010448382236063,0.6830409356725147,0.906068561838182,0.030535734842751124,0.2575320607944962,0.028964531154795685,0.710424797171378
particle_vs_context_mean_slope,high,72,57,0.0044870813276388,0.0028248440435866,0.6830409356725146,0.9052952155572834,0.030535734842751124,0.2575320607944962,0.028964531154795685,0.7995551537522398
shape_dVdt_sign_consistency,high,54,42,0.00936496758522965,0.0068432172295043,0.6785714285714286,0.9125841245589144,0.06222055338792709,0.2575700417444659,0.06006451821312797,0.4739588458586762
low_rank_dmd_particle_mse_fraction_of_full_mean,high,72,57,3.755928721288305,3.627678653805016,0.6736842105263158,0.9144809110509848,0.040001862772706426,0.24455629274333981,0.03841844484730778,0.7608430641103668
particle_norm_mean,high,72,57,1.1680847379358117,1.1581460530028989,0.6736842105263158,0.9026247593206913,0.040001862772706426,0.24455629274333981,0.03841844484730778,0.8680898566567067
neg_dq_abs_peak_voltage,high,54,42,3.675,3.625,0.6696428571428572,0.8492063492063492,0.04624457896068398,0.275391241934913,0.04385132048124541,0.11165270373191373
particle_mean_slope,high,72,57,0.0042080529437391,0.0025269609693552,0.6666666666666666,0.9001457293608519,0.04895894119118819,0.23449404896623458,0.04740509914737821,0.730501820559524
shape_V_mean,low,54,42,3.879847983476192,3.9286422325847923,0.6607142857142857,0.903655553130343,0.09350201992584684,0.23181303757001928,0.09166626405226935,0.8493224392961417
all_dq_abs_lowV_frac,high,54,42,0.07522344768183331,0.0729674779382805,0.6607142857142857,0.8993854359925788,0.09350201992584684,0.23181303757001928,0.09166626405226935,0.08482748419005798
shape_V_q75,low,54,42,4.0395635,4.1130135,0.6607142857142857,0.86324568288854,0.09350201992584684,0.23181303757001928,0.09166626405226935,0.963448133867695
particle_std_last_minus_first,high,72,57,0.0049548554234206,0.0013443836942315,0.6596491228070175,0.8958293739370575,0.05932810860315662,0.22462061532555103,0.05783725651182406,0.40077303461636277
particle_std_diff_q10,low,72,57,-0.0020766735076904,-0.0013785451650619,0.6549707602339182,0.8953197134986182,0.06720648519562539,0.218038326231762,0.06577675496569986,0.7271952276447932
particle_gradient_std,high,72,57,0.0042635888003833,0.0029354527581426,0.6526315789473685,0.9014958653285954,0.07145750140205377,0.21474718168486745,0.07006395248643099,0.7877403212531279
cycle_state_cluster,high,72,57,1.0,0.0,0.6526315789473683,0.8500000000000001,0.03724903171307226,0.2481602789075237,0.03556583029022163,0.44090909090909086
particle_std_slope,high,72,57,0.0072439508896667,0.0030434132966491,0.6502923976608187,0.8948383086799429,0.07592640385416084,0.21145603713797292,0.07457267322961458,0.419369379440325
particle_gradient_diff_q90,high,72,57,0.0009415119886398,0.0004358328878879,0.6432748538011697,0.8998007795741315,0.09071610593660416,0.20158260349728938,0.08950236885281539,0.635818367845204
shape_V_q25,low,54,42,3.734953,3.753581,0.6428571428571429,0.8999140565317036,0.13610269503301042,0.2061624398232148,0.13474523110739672,0.6900607554534092
echem_regime_pc2,low,72,57,-2.5708371303916056,-1.0817329189940597,0.6421052631578947,0.9085509675130896,0.09313981016562653,0.20009151224455077,0.09194865695851405,0.07407179611540786
particle_gradient_diff_abs_mean,high,72,57,0.0011960108029214,0.0004142105579376,0.6421052631578947,0.8995312009297209,0.09339270113256537,0.19993703122384213,0.09220507429188722,0.8013275478680704
echem_regime_pc3,low,72,57,-1.194229822561938,4.369756464494794,0.6421052631578947,0.8923038758851116,0.09313981016562653,0.20009151224455077,0.09194865695851405,0.5674476969149149
particle_gradient_first_mean,low,72,57,0.0307422239566221,0.0343320177053101,0.631578947368421,0.88039663573838,0.12042936889050415,0.18512688076281678,0.1195056265049961,0.4214081994907878
particle_gradient_diff_q10,low,72,57,-0.0010354094207286,-0.000507378205657,0.623391812865497,0.8891159202155292,0.1454166614951515,0.17360787484868595,0.14472199540139263,0.639165794984109
threshold_robust_phase_score,high,72,57,0.6527777777777778,0.5555555555555556,0.6210526315789474,0.8783083761555399,0.1529223811387055,0.17044832524535805,0.1522903109123543,0.3641606986899562
particle_std_mean,high,72,57,0.1769306479642788,0.1715793254164358,0.616374269005848,0.8671463027325641,0.16984002948226407,0.1637344412080024,0.16934478805640996,0.14532582355168217
particle_mean_mean,high,72,57,0.1244612649704019,0.1172565716163565,0.6163742690058479,0.8705120083675376,0.16984002948226407,0.1637344412080024,0.16934478805640996,0.18594488524065006
particle_norm_max,high,72,57,1.286885245901639,1.221311475409836,0.6157894736842106,0.8238225120477106,0.1708360112825712,0.16335745418346803,0.1703423410249696,0.7322416717979706
particle_gradient_last_mean,low,72,57,0.0321922256262041,0.0339542559813708,0.6128654970760234,0.867070292324333,0.18314936788173308,0.15879772438766063,0.18275087327125483,0.33847420190857663
q70_phase_slope_bootstrap_p50,high,72,57,5.551150658985691e-07,-7.363352272307962e-08,0.6105263157894736,0.8771606304978367,0.19209864109661934,0.15562673174576172,0.19175836776056512,0.71859384078746
phase_slope_median_per_s,high,72,57,5.228350674390018e-07,-3.125075136659221e-08,0.6105263157894736,0.8766181558902653,0.19209864109661934,0.15562673174576172,0.19175836776056512,0.7336949366498183
shape_dVdt_abs_p95,low,54,42,0.00643362068385135,0.00802835941820285,0.6071428571428571,0.8732195209085964,0.26499379453814387,0.15454202504667952,0.2645103893914042,0.19097270653938847
phase_slope_positive_fraction,high,72,57,1.0,0.4285714285714285,0.6052631578947368,0.8336755349913245,0.1734879391787565,0.16243306038727082,0.17280661862104113,0.7579635052939849
echem_regime_pc4,low,72,57,-0.7245158242008984,1.58779579818842,0.6,0.8397074527004532,0.23819638768758888,0.14080513824616533,0.23809995104749376,0.39769065608702403
cycle_state_pc8,low,72,57,-0.5925350510547777,-0.3896117622733722,0.6,0.8364523535666496,0.23819638768758888,0.14080513824616533,0.23809995104749376,0.37852583813427526
particle_std_diff_q90,high,72,57,0.0018486768007278,0.0015870839357376,0.5999999999999999,0.8773744789589009,0.2385589787014586,0.14069642937974075,0.2384661696080931,0.6353494729309066
particle_std_diff_abs_mean,high,72,57,0.0015533362564287,0.001284846663475,0.5941520467836257,0.8779599890891705,0.2673149842696695,0.13246856801250445,0.2673189886193187,0.6475014687574022
particle_mean_last_mean,high,72,57,0.1172414456959813,0.1097964535001665,0.5906432748538012,0.8453674234563494,0.2856695941501336,0.12753185119216268,0.2857140504133607,0.24075643397742563
dqdv_entropy_asymmetry,high,54,42,-0.3921494442530229,-0.5004405115198183,0.5892857142857143,0.8921501934106975,0.3538477921784047,0.12878502087223295,0.3533549346400955,0.11888716489531714
shape_I_mean_mA,low,54,42,0.01217742341777135,0.0176071222154149,0.5892857142857143,0.8890838153443195,0.3538477921784047,0.12878502087223295,0.3533549346400955,0.4164831866359192
shape_I_neg_fraction,high,54,42,0.4878441896130965,0.4824241276855601,0.5892857142857143,0.8890838153443195,0.3538477921784047,0.12878502087223295,0.3533549346400955,0.416483186635919
shape_I_pos_fraction,low,54,42,0.5121558103869035,0.5175758723144399,0.5892857142857143,0.8890838153443195,0.3538477921784047,0.12878502087223295,0.3533549346400955,0.41648318663591943
shape_V_range,low,54,42,1.3684314999999998,1.6015219999999992,0.5892857142857143,0.8258575866243933,0.3538477921784047,0.12878502087223295,0.3533549346400955,0.9798467368206014
shape_V_min,low,54,42,2.9922475,2.9995830000000003,0.5892857142857143,0.8197328931572629,0.34882517217569553,0.13013500557054472,0.34828885443477087,0.28499216028527197
coulombic_inefficiency_pct,high,54,42,1.7913514466775453,1.6685096736211236,0.5892857142857142,0.8829512574260473,0.3538477921784047,0.12878502087223295,0.3533549346400955,0.19032700107622144
voltage_peak_hysteresis_proxy,low,54,42,0.1500000000000003,0.2000000000000001,0.5892857142857142,0.8396825396825396,0.3210684738077927,0.13782946160499282,0.32027638196179176,0.055038103302286014
particle_gradient_slope,high,72,57,0.0011473496578941,0.0011068663257414,0.5871345029239767,0.8786541920758895,0.3048576263150822,0.1225951343718209,0.30492722726105664,0.1293396233717346
particle_mean_diff_abs_mean,high,72,57,0.0012343776853461,0.0009405191007413,0.583625730994152,0.8698588850413879,0.324882249058268,0.11765841755147913,0.32496008059702436,0.6509840131225653
cycle_index_rank,high,72,57,0.8651685393258427,0.7078651685393258,0.5789473684210527,0.8108219038649924,0.3525114287082327,0.11116195124697265,0.3525690395212719,0.9913787959098423
particle_vs_context_mean_diff_abs_mean,high,72,57,0.0008898624464085,0.0008619632768003,0.5719298245614035,0.8642116506949509,0.39765531751728234,0.1012026948170065,0.3976202712407513,0.6358598107086223
