task,feature_set,target,n_eval,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,r2,mae,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
classification,learned_latent,future_any_drop_within_8cycles,72,24,36.0,0.8287037037037037,0.8502686548251146,0.5693864357727617,1.795791262636421e-07,,,0.000999000999000999,0.4994837962962963,0.6057484567901235,1000.0
classification,learned_residual,future_any_drop_within_8cycles,72,24,36.0,0.6898148148148149,0.790465378904399,0.3288006178406088,0.004802349372322071,,,,,,
classification,learned_all,future_any_drop_within_8cycles,72,24,36.0,0.8487654320987654,0.8724477218846671,0.6041377205851837,1.9242665777954077e-08,,,0.000999000999000999,0.4989027777777778,0.6081018518518518,1000.0
classification,handcrafted_scalar,future_any_drop_within_8cycles,72,24,36.0,0.8279320987654321,0.86712251155066,0.5680498478953607,1.9469532425141743e-07,,,0.000999000999000999,0.4970007716049383,0.6089120370370369,1000.0
classification,pca_video,future_any_drop_within_8cycles,72,24,36.0,0.5694444444444444,0.6219726026038664,0.1202929089660764,0.3141675076963189,,,0.16983016983016982,0.5010655864197531,0.6196373456790123,1000.0
classification,learned_plus_handcrafted,future_any_drop_within_8cycles,72,24,36.0,0.8425925925925926,0.8711457041264365,0.5934450175659769,3.93507165161294e-08,,,0.000999000999000999,0.4975038580246913,0.606520061728395,1000.0
classification,learned_latent,future_any_drop_within_16cycles,72,24,57.0,0.5929824561403509,0.8645539261722242,0.13082299573905717,0.27335997873868767,,,0.14385614385614387,0.5001076023391813,0.6340350877192982,1000.0
classification,learned_residual,future_any_drop_within_16cycles,72,24,57.0,0.43625730994152045,0.8017062732358299,-0.08968368890287569,0.4537460429318511,,,,,,
classification,learned_all,future_any_drop_within_16cycles,72,24,57.0,0.5380116959064327,0.8415606346757111,0.053481098887035956,0.6554675752048152,,,0.32967032967032966,0.4981719298245614,0.6409356725146199,1000.0
classification,handcrafted_scalar,future_any_drop_within_16cycles,72,24,57.0,0.67953216374269,0.910333549965058,0.25259534397415445,0.032300164504389106,,,0.01898101898101898,0.4987029239766082,0.6445029239766081,1000.0
classification,pca_video,future_any_drop_within_16cycles,72,24,57.0,0.512280701754386,0.7770747904194619,0.01727850887119623,0.8854548381351067,,,0.4355644355644356,0.49788304093567254,0.6339181286549707,1000.0
classification,learned_plus_handcrafted,future_any_drop_within_16cycles,72,24,57.0,0.6011695906432749,0.8642675238569069,0.142342001653188,0.23296410599796097,,,0.12387612387612387,0.5001461988304093,0.6492397660818713,1000.0
regression,learned_latent,transferred_masked_residual_signature,72,24,,,,0.23904235745293004,0.04314922502938152,-0.8319787608474114,6.911463270338054,,,,
regression,learned_residual,transferred_masked_residual_signature,72,24,,,,-0.02201197798839582,0.8543812844676393,-0.45619288136189073,5.066859860698514,,,,
regression,learned_all,transferred_masked_residual_signature,72,24,,,,0.1309133427730909,0.2730259594102399,-1.5053552894788464,8.442194881402393,,,,
regression,handcrafted_scalar,transferred_masked_residual_signature,72,24,,,,0.26308175446657284,0.025565858494077283,-1.6601428339739153,7.770185698803327,,,,
regression,pca_video,transferred_masked_residual_signature,72,24,,,,0.14935320152652778,0.210511181747778,-0.48557379171681725,4.822823739776719,,,,
regression,learned_plus_handcrafted,transferred_masked_residual_signature,72,24,,,,0.2553582534180129,0.030395744262319193,-2.8750760424955306,11.328377217006347,,,,
regression,learned_latent,learned_residual_mse_mean,172,34,,,,0.7947248450200645,1.0539301541321437e-38,0.6868972703150102,0.00016475467366059026,,,,
