target,score,temporal_block,cycle_min,cycle_max,n,n_positive,abs_oriented_auc
future_any_drop_within_8cycles,transferred_masked_residual_signature,0,2.0,56.0,23,3,0.5833333333333333
future_any_drop_within_8cycles,cycle_state_pc2,0,2.0,56.0,23,3,0.55
future_any_drop_within_8cycles,degradation_state_axis,0,2.0,56.0,23,3,0.5333333333333333
future_any_drop_within_8cycles,state_step_norm,0,2.0,56.0,22,3,0.7192982456140351
future_any_drop_within_8cycles,mean_abs_delta_prev,0,2.0,56.0,22,3,0.7192982456140351
future_any_drop_within_8cycles,frames_percentile,0,2.0,56.0,23,3,0.8666666666666667
future_any_drop_within_8cycles,transferred_masked_residual_signature,1,58.0,100.0,22,5,0.7294117647058823
future_any_drop_within_8cycles,cycle_state_pc2,1,58.0,100.0,22,5,0.7058823529411764
future_any_drop_within_8cycles,degradation_state_axis,1,58.0,100.0,22,5,0.8941176470588235
future_any_drop_within_8cycles,state_step_norm,1,58.0,100.0,22,5,0.7058823529411764
future_any_drop_within_8cycles,mean_abs_delta_prev,1,58.0,100.0,22,5,0.611764705882353
future_any_drop_within_8cycles,frames_percentile,1,58.0,100.0,22,5,0.6058823529411765
future_any_drop_within_8cycles,transferred_masked_residual_signature,2,102.0,136.0,22,4,0.5277777777777777
future_any_drop_within_8cycles,cycle_state_pc2,2,102.0,136.0,22,4,0.9027777777777778
future_any_drop_within_8cycles,degradation_state_axis,2,102.0,136.0,22,4,0.75
future_any_drop_within_8cycles,state_step_norm,2,102.0,136.0,22,4,0.5694444444444444
future_any_drop_within_8cycles,mean_abs_delta_prev,2,102.0,136.0,22,4,0.6666666666666666
future_any_drop_within_8cycles,frames_percentile,2,102.0,136.0,22,4,0.7222222222222222
future_any_drop_within_8cycles,transferred_masked_residual_signature,3,137.0,158.0,22,8,0.8660714285714286
future_any_drop_within_8cycles,cycle_state_pc2,3,137.0,158.0,22,8,0.8928571428571428
future_any_drop_within_8cycles,degradation_state_axis,3,137.0,158.0,22,8,0.6071428571428571
future_any_drop_within_8cycles,state_step_norm,3,137.0,158.0,22,8,0.5625
future_any_drop_within_8cycles,mean_abs_delta_prev,3,137.0,158.0,22,8,0.5892857142857143
future_any_drop_within_8cycles,frames_percentile,3,137.0,158.0,22,8,0.8348214285714286
