method,x,y,n,spearman_rho,p_value
persistence,particle_to_nonparticle_mse_ratio_median,q70_max_abs_rate_per_s,52,0.5178861094510373,8.420168532133197e-05
persistence,particle_to_nonparticle_mse_ratio_median,q80_transformed_fraction_delta,52,0.489765426676631,0.0002286092218167389
persistence,particle_to_nonparticle_mse_ratio_median,q80_max_abs_rate_per_s,52,0.48945615982241947,0.00023102452470120976
low_rank_dmd,near_minus_far_particle_mse_median,q70_transformed_fraction_delta,52,-0.4740886194826261,0.0003846789022053853
persistence,particle_to_nonparticle_mse_ratio_median,q70_transformed_fraction_delta,52,0.4376333987876718,0.001176895739443731
low_rank_dmd,near_minus_far_particle_mse_median,q80_transformed_fraction_delta,52,-0.420610019092203,0.0019044961308032518
persistence,particle_to_nonparticle_mse_ratio_median,roi_norm_total_variation,52,0.4080935712456245,0.0026714997565456845
persistence,near_minus_far_particle_mse_median,q70_transformed_fraction_delta,52,-0.3891402714932126,0.004354884024181216
persistence,near_minus_far_particle_mse_median,q80_transformed_fraction_delta,52,-0.37459179108231827,0.006220015349900047
velocity,near_minus_far_particle_mse_median,transition_iqr_frac,52,-0.3524477675186272,0.010390249943444797
velocity,particle_to_nonparticle_mse_ratio_median,roi_norm_total_variation,52,0.3523435499018185,0.0104145227167069
velocity,near_minus_far_particle_mse_median,roi_norm_total_variation,52,-0.34090326987108344,0.01339445083204952
persistence,near_minus_far_particle_mse_median,roi_norm_total_variation,52,-0.34004951762998376,0.013643530087538616
low_rank_dmd,near_transition_residual_fraction,q80_transformed_fraction_delta,52,-0.33805041522289214,0.01424232510120816
low_rank_dmd,near_minus_far_particle_mse_median,q70_max_abs_rate_per_s,52,-0.33228037223597706,0.016098240867274707
low_rank_dmd,particle_to_nonparticle_mse_ratio_median,roi_norm_total_variation,52,-0.31836421070605303,0.021439420637020305
velocity,particle_to_nonparticle_mse_ratio_median,q70_max_abs_rate_per_s,52,0.3181934602578332,0.021513271074301753
persistence,near_transition_residual_fraction,roi_norm_total_variation,52,-0.29642277810979256,0.03286027833111202
velocity,near_transition_residual_fraction,q80_transformed_fraction_delta,52,-0.2963010395330337,0.0329355265952861
persistence,near_minus_far_particle_mse_median,q70_max_abs_rate_per_s,52,-0.2830188679245283,0.04204841697314709
velocity,near_transition_residual_fraction,roi_norm_total_variation,52,-0.2778963544779305,0.046074914113573257
