method,x,y,n,spearman_rho,p_value
persistence,particle_mse_fraction_of_full_mean,cumulative_abs_first_last,52,0.6366430461879962,3.908909441700792e-07
low_rank_dmd,particle_mse_mean,cumulative_abs_first_last,52,0.6026637069922307,2.2730613159552523e-06
persistence,particle_mse_fraction_of_full_mean,first_last_corr,52,-0.5854179117220182,5.150808337374153e-06
persistence,particle_to_nonparticle_mse_ratio_mean,cumulative_abs_first_last,52,0.567062238538376,1.1702535992579619e-05
low_rank_dmd,particle_to_nonparticle_mse_ratio_mean,high_fraction_slope_per_s,52,-0.5545120805942114,1.9950609594118738e-05
low_rank_dmd,particle_mse_mean,first_last_corr,52,-0.5438401775804662,3.0883809122296055e-05
persistence,particle_to_nonparticle_mse_ratio_mean,first_last_corr,52,-0.5225817467770852,7.06520074189508e-05
velocity,particle_mse_ratio_vs_persistence_velocity,cumulative_abs_first_last,52,-0.4931272944591479,0.00020379636846290763
persistence,particle_mse_ratio_vs_persistence_velocity,cumulative_abs_first_last,52,-0.4931272944591479,0.00020379636846290763
low_rank_dmd,particle_mse_ratio_vs_persistence_velocity,cumulative_abs_first_last,52,-0.4931272944591479,0.00020379636846290763
velocity,particle_mse_ratio_vs_persistence_velocity,first_last_corr,52,0.4218389823273286,0.001840969673945213
persistence,particle_mse_ratio_vs_persistence_velocity,first_last_corr,52,0.4218389823273286,0.001840969673945213
low_rank_dmd,particle_mse_ratio_vs_persistence_velocity,first_last_corr,52,0.4218389823273286,0.001840969673945213
velocity,particle_mse_fraction_of_full_mean,cumulative_abs_first_last,52,0.4179117220182703,0.002050865680947418
persistence,particle_mse_mean,cumulative_abs_first_last,52,0.39136002732007164,0.004118582084899029
velocity,particle_to_nonparticle_mse_ratio_mean,cumulative_abs_first_last,52,0.38734739178690336,0.004554358378652248
low_rank_dmd,particle_to_nonparticle_mse_ratio_mean,accepted_centroid_path_px,52,0.37104072398190047,0.006769388326165562
low_rank_dmd,particle_mse_fraction_of_full_mean,first_last_corr,52,-0.3675403397933919,0.007351820788815746
velocity,particle_mse_fraction_of_full_mean,first_last_corr,52,-0.3583198155895159,0.009099146088728003
low_rank_dmd,particle_to_nonparticle_mse_ratio_mean,first_last_corr,52,-0.34773328779988044,0.011538363995075303
velocity,particle_to_nonparticle_mse_ratio_mean,first_last_corr,52,-0.34150089643985315,0.013222422536459348
low_rank_dmd,particle_to_nonparticle_mse_ratio_mean,mask_instability_score,52,0.332621873132417,0.015982929880822064
low_rank_dmd,particle_mse_mean,front_quality_score,52,0.30675318022709813,0.02697477305078854
persistence,particle_mse_mean,first_last_corr,52,-0.30043541364296084,0.03045872332608799
low_rank_dmd,particle_mse_fraction_of_full_mean,cumulative_abs_first_last,52,0.28882438316400577,0.03783880259463912
persistence,particle_mse_fraction_of_full_mean,high_fraction_slope_per_s,52,-0.26884658072227435,0.05395483071292848
low_rank_dmd,particle_to_nonparticle_mse_ratio_mean,accepted_area_cv,52,0.2679928284811747,0.054751332689580226
persistence,particle_to_nonparticle_mse_ratio_mean,high_fraction_slope_per_s,52,-0.26321181593101683,0.059389134903830805
velocity,particle_mse_mean,cumulative_abs_first_last,52,0.2565525484504397,0.06637010130947767
velocity,particle_mse_mean,high_fraction_slope_per_s,52,0.251173909331512,0.07247433315038479
low_rank_dmd,particle_mse_mean,fallback_frame_fraction,52,-0.23791547571544325,0.08943024142233258
low_rank_dmd,particle_to_nonparticle_mse_ratio_mean,fallback_frame_fraction,52,-0.23791547571544325,0.08943024142233258
low_rank_dmd,particle_mse_fraction_of_full_mean,fallback_frame_fraction,52,-0.23791547571544325,0.08943024142233258
