embedding_row_id,roi_id,embedding_cohort,cycleNo,cohort_role,future_any_drop_within_8cycles,video_embedding_cluster,cluster_distance
selected_event_control::cycle58_rank6_obj29,cycle58_rank6_obj29,selected_event_control,58.0,control,,4,14.164080704672013
selected_event_control::cycle58_rank4_obj2,cycle58_rank4_obj2,selected_event_control,58.0,control,,1,12.676047827721938
selected_event_control::cycle58_rank1_obj1,cycle58_rank1_obj1,selected_event_control,58.0,control,,1,3.106471272591243
selected_event_control::cycle58_rank3_obj9,cycle58_rank3_obj9,selected_event_control,58.0,control,,4,4.640337156592268
selected_event_control::cycle60_rank3_obj9,cycle60_rank3_obj9,selected_event_control,60.0,event,,4,3.609010528162151
selected_event_control::cycle60_rank1_obj1,cycle60_rank1_obj1,selected_event_control,60.0,event,,1,2.168674630845248
selected_event_control::cycle60_rank2_obj2,cycle60_rank2_obj2,selected_event_control,60.0,event,,4,2.146586653063707
selected_event_control::cycle60_rank4_obj5,cycle60_rank4_obj5,selected_event_control,60.0,event,,4,4.591037253683599
selected_event_control::cycle60_rank6_obj26,cycle60_rank6_obj26,selected_event_control,60.0,event,,4,9.482438793830902
selected_event_control::cycle60_rank5_obj18,cycle60_rank5_obj18,selected_event_control,60.0,event,,1,7.95908524495147
selected_event_control::cycle62_rank2_obj2,cycle62_rank2_obj2,selected_event_control,62.0,control,,1,2.230516164595875
selected_event_control::cycle62_rank1_obj4,cycle62_rank1_obj4,selected_event_control,62.0,control,,4,2.0057911809484077
selected_event_control::cycle62_rank3_obj9,cycle62_rank3_obj9,selected_event_control,62.0,control,,4,8.771450461504442
selected_event_control::cycle62_rank4_obj1,cycle62_rank4_obj1,selected_event_control,62.0,control,,4,4.029699903383214
selected_event_control::cycle86_rank2_obj6,cycle86_rank2_obj6,selected_event_control,86.0,event,,1,2.3904788102494825
selected_event_control::cycle86_rank5_obj8,cycle86_rank5_obj8,selected_event_control,86.0,event,,4,3.56558429861408
selected_event_control::cycle86_rank3_obj5,cycle86_rank3_obj5,selected_event_control,86.0,event,,4,1.9337665264993324
selected_event_control::cycle86_rank4_obj9,cycle86_rank4_obj9,selected_event_control,86.0,event,,4,3.8405065748324194
selected_event_control::cycle86_rank6_obj78,cycle86_rank6_obj78,selected_event_control,86.0,event,,1,12.760310713591684
selected_event_control::cycle86_rank8_obj17,cycle86_rank8_obj17,selected_event_control,86.0,event,,1,14.139772294022615
selected_event_control::cycle88_rank2_obj4,cycle88_rank2_obj4,selected_event_control,88.0,control,,1,3.3390384693365927
selected_event_control::cycle88_rank5_obj9,cycle88_rank5_obj9,selected_event_control,88.0,control,,4,7.124136597015099
selected_event_control::cycle88_rank3_obj6,cycle88_rank3_obj6,selected_event_control,88.0,control,,4,2.678594127048833
selected_event_control::cycle88_rank4_obj8,cycle88_rank4_obj8,selected_event_control,88.0,control,,4,11.679932497105401
selected_event_control::cycle90_rank6_obj3,cycle90_rank6_obj3,selected_event_control,90.0,control,,1,3.8199670948279816
