feature,spearman_rho_vs_evidence_score,p_value,n
cumulative_abs_norm_change,-0.9098654144782998,7.210464628434724e-10,24
low_fraction_delta,0.861411043293065,6.482896168722885e-08,24
first_last_corr,0.8183404911284116,1.0294060693246312e-06,24
roi_norm_mean_delta,-0.74835084386085,2.6065889160281474e-05,24
high_fraction_delta,-0.700048673715291,0.0001399760172457137,24
centroid_path_px,-0.32841296025548095,0.11715650991248185,24
temporal_diff_energy,-0.2261203988644295,0.2880263202486067,24
high_fraction_slope,-0.10229256139105145,0.6343394191519443,24
high_radius2_delta_px2,0.06460582824697986,0.7642382483763439,24
high_radius2_slope_px2_per_frame,0.06460582824697986,0.7642382483763439,24
low_fraction_slope,-0.059222009226398205,0.7834080950136206,24
roi_norm_mean_slope,0.010767638041163312,0.9601736452803525,24
