cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,cohort_role,event_reference_cycle,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,front_to_object_distance_ds,front_quality_score,front_radius_slope_r2,front_radius_monotonic_fraction,apparent_diffusion_proxy_ds_px2_per_frame,roi_mean_delta_last_minus_first,high_fraction_first,high_fraction_last,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png,front_preview_png,front_trace_csv,event_particles,n_event_particles,mean_drop_frac,global_frame_percentile,evidence_score,degradation_mode_hypothesis
60.0,7_c2_x10_290623,5,3,9,6.866497919843912,event_multicycle_roi_candidate,event,60.0,800.7027027027027,321.94594594594594,200.17567567567568,80.48648648648648,74.0,7012.90576171875,16.92171287536621,0.39705086352851043,2.4945534720369364,0.6768568396840542,0.6451612903225806,0.0004867846454059,-122.48275862069022,0.3706896551724138,0.3534482758620689,4603,5523,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_60_7_c2_x10_290623_local5.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_60_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_60_7_c2_x10_290623_cand3.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
60.0,7_c2_x10_290623,5,1,1,6.474067665989688,event_multicycle_roi_candidate,event,60.0,1330.3188405797102,115.18840579710144,332.5797101449276,28.797101449275363,138.0,6019.62353515625,17.943437576293945,1.6381623868074462,1.990971834925495,0.4067763558179186,0.6774193548387096,0.0002043384224409,3.692307692308532,0.4230769230769231,0.375,4603,5523,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_60_7_c2_x10_290623_local5.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_60_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_60_7_c2_x10_290623_cand1.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
60.0,7_c2_x10_290623,5,2,2,5.384766191610338,event_multicycle_roi_candidate,event,60.0,1180.4,1033.6571428571428,295.1,258.4142857142857,70.0,8697.2138671875,20.85378837585449,2.069207979075079,1.3721660201122636,0.2123705939250706,0.4516129032258064,-0.0003672763036167,4.491228070175566,0.3245614035087719,0.3421052631578947,4603,5523,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_60_7_c2_x10_290623_local5.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_60_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_60_7_c2_x10_290623_cand2.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
60.0,7_c2_x10_290623,5,4,5,5.355307596954036,event_multicycle_roi_candidate,event,60.0,568.3137254901961,169.0196078431373,142.07843137254903,42.25490196078432,51.0,9768.7177734375,23.38945960998535,3.0146880080458063,1.5337954930279185,0.2649429907887313,0.5161290322580645,-0.000649790520133,52.89256198347175,0.3140495867768595,0.3057851239669421,4603,5523,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_60_7_c2_x10_290623_local5.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_60_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_60_7_c2_x10_290623_cand4.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
60.0,7_c2_x10_290623,5,6,26,4.590869322464719,event_multicycle_roi_candidate,event,60.0,1231.8333333333333,843.4166666666666,307.9583333333333,210.85416666666663,48.0,5661.26611328125,13.714458465576172,1.0737099724379953,1.320031653911962,0.1540931493512387,0.5161290322580645,-0.0002687203200089,-14.54545454545405,0.2878787878787879,0.2954545454545454,4603,5523,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_60_7_c2_x10_290623_local5.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_60_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_60_7_c2_x10_290623_cand6.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
60.0,7_c2_x10_290623,5,5,18,4.517043565680912,event_multicycle_roi_candidate,event,60.0,1661.5873015873017,130.34920634920636,415.3968253968254,32.58730158730159,63.0,4622.03173828125,15.262925148010254,3.0366976225238527,1.236404564188312,0.0135792364150086,0.7096774193548387,7.914396233751553e-05,-49.846153846154266,0.3942307692307692,0.3846153846153846,4603,5523,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_60_7_c2_x10_290623_local5.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_60_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_60_7_c2_x10_290623_cand5.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
58.0,7_c2_x10_290623,3,6,29,4.995734664947042,control_multicycle_roi_candidate,control,60.0,1236.076923076923,846.9230769230769,309.0192307692308,211.73076923076923,52.0,5446.28125,13.000043869018556,0.7900556194372572,1.6155277307729818,0.5355133694368999,0.5483870967741935,0.0003492805402585,16.122137404579917,0.3206106870229007,0.3282442748091603,2761,3682,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_58_7_c2_x10_290623_local3.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_58_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_58_7_c2_x10_290623_cand6.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
58.0,7_c2_x10_290623,3,4,2,4.914744204591446,control_multicycle_roi_candidate,control,60.0,568.421052631579,176.8421052631579,142.10526315789474,44.21052631578947,38.0,12415.0654296875,29.10134696960449,3.206442610080378,1.1091514494562902,0.2533090934767632,0.6129032258064516,-0.0004637138116359,-34.90909090909008,0.3140495867768595,0.3223140495867768,2761,3682,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_58_7_c2_x10_290623_local3.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_58_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_58_7_c2_x10_290623_cand4.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
58.0,7_c2_x10_290623,3,1,1,4.759075493154626,control_multicycle_roi_candidate,control,60.0,1326.2222222222222,117.88888888888889,331.55555555555554,29.47222222222222,144.0,5852.52001953125,17.64227294921875,1.2404061597917233,0.7330214581610461,0.0116381616728487,0.7096774193548387,-3.551275259375952e-05,-14.490566037737151,0.4433962264150943,0.3962264150943396,2761,3682,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_58_7_c2_x10_290623_local3.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_58_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_58_7_c2_x10_290623_cand1.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
58.0,7_c2_x10_290623,3,3,9,4.475129312169529,control_multicycle_roi_candidate,control,60.0,802.0759493670886,327.746835443038,200.51898734177212,81.9367088607595,79.0,6771.35205078125,16.08063316345215,0.6777976360887431,0.8161872484866202,0.0982345201052843,0.6129032258064516,0.0002580614020299,84.96551724138044,0.3534482758620689,0.3362068965517241,2761,3682,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_58_7_c2_x10_290623_local3.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_58_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_58_7_c2_x10_290623_cand3.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
62.0,7_c2_x10_290623,7,2,2,6.5839765845914116,control_multicycle_roi_candidate,control,60.0,1324.629213483146,108.42696629213484,331.1573033707865,27.10674157303371,178.0,4590.609375,15.653311729431152,1.1934317232359064,2.079343177314194,0.6851130808604106,0.7096774193548387,0.0004230040251199,-11.692307692304894,0.4134615384615384,0.4230769230769231,6444,7364,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_62_7_c2_x10_290623_local7.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_62_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_62_7_c2_x10_290623_cand2.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
62.0,7_c2_x10_290623,7,1,4,6.282223708699526,control_multicycle_roi_candidate,control,60.0,1176.79012345679,1024.3456790123455,294.1975308641975,256.08641975308643,81.0,7745.8759765625,18.821992874145508,1.844608324425516,1.9750338827400629,0.7803581370594694,0.4193548387096774,-0.0010294590858875,179.30158730158655,0.3412698412698413,0.3492063492063492,6444,7364,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_62_7_c2_x10_290623_local7.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_62_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_62_7_c2_x10_290623_cand1.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
62.0,7_c2_x10_290623,7,3,9,5.445827812460037,control_multicycle_roi_candidate,control,60.0,798.3291139240506,318.0253164556962,199.58227848101265,79.50632911392405,79.0,6528.3212890625,15.912408828735352,0.8068069246425373,1.5226033969557806,0.4351365854209194,0.6451612903225806,0.0009999913697182,50.285714285713766,0.3392857142857143,0.3482142857142857,6444,7364,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_object_candidate_reconstruction/overlays/cycle_62_7_c2_x10_290623_local7.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_previews/cycle_62_7_c2_x10_290623_candidates.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/candidate_traces/cycle_62_7_c2_x10_290623_cand3.csv,particle3,1.0,0.1707317073170731,0.3707865168539326,5.37722440775176,single_persistent_drop_needs_roi_qc
