rho,p_value,n,roi_feature,echem_feature
0.7764711628578677,1.3400105956209217e-11,52,latent_net_displacement,n_frames_percentile
0.75563438958091,9.500675602746318e-11,52,cumulative_abs_norm_change,n_frames_percentile
-0.7003566687387334,7.503878587410245e-09,52,first_last_corr,n_frames_percentile
0.6966542668754723,9.707037329700142e-09,52,latent_path_length,n_frames_percentile
0.6966542668754723,9.707037329700142e-09,52,latent_mean_step,n_frames_percentile
0.609336254352502,1.6349199157369377e-06,52,latent_mean_step,cycles_from_block_start
0.609336254352502,1.6349199157369377e-06,52,latent_path_length,cycles_from_block_start
0.5950534715580754,3.2803861137841034e-06,52,dmd_minus_persistence_mse,n_frames_percentile
-0.6754095729792845,3.2861631820959867e-06,38,latent_net_displacement,I_mean_delta
0.5707726035245958,9.953111563093891e-06,52,low_rank_dmd_mse,n_frames_percentile
0.5621274899646415,1.447104854958244e-05,52,latent_net_displacement,cycles_to_block_end
0.558023461829944,1.722186474210355e-05,52,cumulative_abs_norm_change,cycles_to_block_end
0.6363417643461691,1.753135156385513e-05,38,first_last_corr,I_mean_delta
-0.8907337387831413,1.934123982377304e-05,14,latent_net_displacement,block_fraction_elapsed
0.5269323395973864,5.991290259865297e-05,52,physics_no_qc_rf_event_probability,cycles_to_block_end
-0.6018530585439932,6.411906470254924e-05,38,high_fraction_delta,V_range
-0.5910937373982105,9.324479561727817e-05,38,cumulative_abs_norm_change,I_mean_delta
-0.5904315711501916,9.537745000205942e-05,38,roi_norm_mean_delta,V_mean
-0.5796161890992162,0.0001370480093457638,38,latent_net_displacement,V_mean_delta
-0.8438530156892917,0.0001481696051082752,14,cumulative_abs_norm_change,block_fraction_elapsed
0.5012264425520491,0.00015376064090363227,52,centroid_path_px,cycles_from_block_start
0.5674764745522027,0.00020281972835458137,38,first_last_corr,V_mean
0.5667486431703708,0.00020754243931067132,38,high_fraction_delta,V_min
-0.5519562165663915,0.00032759587269579467,38,high_fraction_delta,V_mean
-0.5491565416903463,0.00035630632675910363,38,latent_net_displacement,V_mean
0.5436384896235221,0.00041956792450240874,38,first_last_corr,V_mean_delta
0.469899789892546,0.0004402258588818433,52,latent_net_displacement,cycles_from_block_start
-0.5275257775883955,0.0006655994996292719,38,cumulative_abs_norm_change,V_mean
-0.523332058017609,0.0007477533218844934,38,roi_norm_mean_delta,V_range
0.45229574390024163,0.0007618143546180821,52,roi_norm_mean_delta,n_frames_percentile
0.4510599847966211,0.0007908512601657584,52,cumulative_abs_norm_change,cycles_from_block_start
-0.5077997192410801,0.0011360921514080185,38,high_fraction_delta,I_mean_delta
-0.5032463484943689,0.0012795581024668398,38,cumulative_abs_norm_change,V_mean_delta
-0.43123748208498636,0.0014143051563962512,52,low_fraction_delta,n_frames_percentile
-0.4943319875568602,0.0016074473662763564,38,high_fraction_delta,duration_s
-0.42507782316352755,0.001682497112769647,52,first_last_corr,cycles_to_block_end
-0.7547796418109776,0.0018071369998789194,14,physics_no_qc_rf_event_probability,block_fraction_elapsed
0.4168854546226178,0.0021091093325186156,52,physics_no_qc_rf_event_probability,cycles_from_block_start
-0.48139486230974493,0.00221454485810649,38,roi_norm_mean_delta,I_mean_delta
0.4119137328800221,0.00241260019201734,52,physics_no_qc_rf_event_probability,n_frames_percentile
0.4106229697854896,0.0024974718116632863,52,high_fraction_delta,n_frames_percentile
0.4049394409980652,0.0029035065717720153,52,centroid_path_px,n_frames_percentile
-0.4696605857257809,0.002930414404651283,38,high_fraction_delta,V_max
0.459984820290467,0.003665168411030552,38,high_fraction_slope,echem_points
-0.4559772129674285,0.00401357218427512,38,physics_no_qc_rf_event_probability,V_max
-0.4434306640899943,0.005296936632986168,38,roi_norm_mean_delta,V_mean_delta
0.38030660714864467,0.005417441579196082,52,latent_mean_step,cycles_to_block_end
0.38030660714864467,0.005417441579196082,52,latent_path_length,cycles_to_block_end
-0.44210633159395646,0.005451117765434024,38,roi_norm_mean_delta,duration_s
0.6938347017889732,0.00591440808049643,14,centroid_path_px,block_fraction_elapsed
-0.4378116709804617,0.005978090003573349,38,high_fraction_delta,V_mean_delta
-0.373619623152325,0.006366404353485626,52,first_last_corr,cycles_from_block_start
0.6797704848608184,0.007482736014872034,14,first_last_corr,block_fraction_elapsed
-0.42020122306111474,0.008624210562270765,38,roi_norm_mean_delta,V_max
0.4193719570786407,0.008770279126819788,38,roi_norm_mean_slope,echem_points
0.41444210693117817,0.009683044017325544,38,high_radius2_delta_px2,I_abs_mean_mA
-0.410543073771722,0.010461237021700476,38,physics_no_qc_rf_event_probability,V_range
-0.403479967126187,0.012006900306328384,38,latent_net_displacement,echem_points
0.3984033592247087,0.01323394996133713,38,first_last_corr,echem_points
0.6375778340763537,0.014170624267070827,14,low_fraction_delta,block_fraction_elapsed
-0.6375778340763537,0.014170624267070827,14,roi_norm_mean_slope,block_fraction_elapsed
-0.6375778340763537,0.014170624267070827,14,high_fraction_slope,block_fraction_elapsed
-0.6375778340763537,0.014170624267070827,14,high_fraction_delta,block_fraction_elapsed
-0.6375778340763537,0.014170624267070827,14,roi_norm_mean_delta,block_fraction_elapsed
-0.3946510838192682,0.014207687894887243,38,physics_no_qc_rf_event_probability,duration_s
0.3372764939787849,0.01448010072521309,52,dmd_minus_persistence_mse,cycles_to_block_end
0.39266458507521146,0.014747241842878811,38,roi_norm_mean_delta,V_min
0.39244386299253853,0.014808245441609358,38,high_radius2_delta_px2,echem_points
-0.3840564238509658,0.017289382960129,38,cumulative_abs_norm_change,echem_points
0.32641057666195505,0.01819385966104268,52,dmd_minus_persistence_mse,cycles_from_block_start
-0.3191192785949713,0.021115410333843652,52,velocity_mse,cycles_to_block_end
-0.36617793515445524,0.023756738686769356,38,roi_norm_mean_delta,V_range_delta
0.3093233115749534,0.025656230686396202,52,low_rank_dmd_mse,cycles_from_block_start
0.3084239325469715,0.026111348573669316,52,low_rank_dmd_mse,cycles_to_block_end
0.3595562726742662,0.026612899222413878,38,first_last_corr,V_range_delta
0.29314360216280444,0.034937706425450986,52,high_fraction_delta,cycles_from_block_start
0.2931123164924133,0.03495803816549466,52,roi_norm_mean_delta,cycles_from_block_start
-0.3412363398124098,0.03602492046457309,38,high_radius2_slope_px2_per_frame,I_pos_fraction
-0.3412363398124098,0.03602492046457309,38,high_radius2_slope_px2_per_frame,I_mean_mA
-0.3412363398124098,0.03602492046457309,38,centroid_path_px,V_range
0.3412363398124098,0.03602492046457309,38,high_radius2_slope_px2_per_frame,I_neg_fraction
-0.3404279596812711,0.03649588716068765,38,low_fraction_delta,I_mean_mA
-0.3404279596812711,0.03649588716068765,38,low_fraction_delta,I_pos_fraction
0.3404279596812711,0.03649588716068765,38,low_fraction_delta,I_neg_fraction
-0.33770478648964225,0.038119515019616135,38,centroid_path_px,duration_s
-0.33682189815895036,0.038658365262195855,38,cumulative_abs_norm_change,V_range_delta
-0.33316077231947394,0.04095936448130271,38,high_fraction_delta,I_pos_fraction
0.33316077231947394,0.04095936448130271,38,high_fraction_delta,I_neg_fraction
-0.33316077231947394,0.04095936448130271,38,high_fraction_delta,I_mean_mA
-0.32940747004682247,0.04343238983450894,38,high_fraction_delta,V_range_delta
-0.3293173473480695,0.04349322320095134,38,latent_net_displacement,V_range_delta
-0.281124234501102,0.04350264077807551,52,roi_norm_mean_slope,n_frames_percentile
-0.3290946649146012,0.0436438307183007,38,centroid_path_px,V_max
0.32887590318272353,0.0437921968925099,38,high_radius2_delta_px2,V_min
0.32549942232318313,0.046134316862385026,38,low_fraction_delta,V_max
0.3149704119743265,0.05409290981913056,38,latent_path_length,I_mean_mA
0.3149704119743265,0.05409290981913056,38,latent_path_length,I_pos_fraction
-0.3149704119743265,0.05409290981913056,38,latent_mean_step,I_neg_fraction
0.3149704119743265,0.05409290981913056,38,latent_mean_step,I_pos_fraction
-0.3149704119743265,0.05409290981913056,38,latent_path_length,I_neg_fraction
0.3149704119743265,0.05409290981913056,38,latent_mean_step,I_mean_mA
0.5203760263417299,0.0564342269902778,14,latent_path_length,block_fraction_elapsed
0.5203760263417299,0.0564342269902778,14,latent_mean_step,block_fraction_elapsed
0.2584996513161792,0.06426434839281041,52,temporal_diff_energy,cycles_from_block_start
-0.29466398036841335,0.07251646374557039,38,dmd_minus_persistence_mse,echem_points
0.29331758866595725,0.07389321687810946,38,high_fraction_delta,I_abs_mean_mA
-0.28914592830158914,0.07828915257631854,38,high_radius2_delta_px2,I_pos_fraction
-0.28914592830158914,0.07828915257631854,38,high_radius2_delta_px2,I_mean_mA
0.28914592830158914,0.07828915257631854,38,high_radius2_delta_px2,I_neg_fraction
0.2878215958055513,0.07972649107687721,38,physics_no_qc_rf_event_probability,echem_points
