feature_set,model,mean_balanced_accuracy,mean_roc_auc,mean_average_precision,folds,permutation_index
all_physics_plus_qc,logistic_l2,0.546875,0.5052083333333334,0.5442049848299848,4,0
all_physics_plus_qc,random_forest,0.49479166666666663,0.546875,0.5479076479076479,4,0
physics_no_selection_qc,logistic_l2,0.53125,0.53125,0.5969995282495282,4,0
physics_no_selection_qc,random_forest,0.53125,0.578125,0.5849068755318756,4,0
all_physics_plus_qc,logistic_l2,0.546875,0.5572916666666666,0.6430134680134679,4,1
all_physics_plus_qc,random_forest,0.5729166666666666,0.6666666666666666,0.7025578588078587,4,1
physics_no_selection_qc,logistic_l2,0.578125,0.5625,0.6178992303992303,4,1
physics_no_selection_qc,random_forest,0.625,0.6666666666666666,0.7295900858400858,4,1
all_physics_plus_qc,logistic_l2,0.609375,0.640625,0.702522015022015,4,2
all_physics_plus_qc,random_forest,0.609375,0.6510416666666667,0.6723873348873348,4,2
physics_no_selection_qc,logistic_l2,0.5677083333333334,0.59375,0.6254757973507973,4,2
physics_no_selection_qc,random_forest,0.5729166666666666,0.6770833333333333,0.6927246364746364,4,2
all_physics_plus_qc,logistic_l2,0.6354166666666667,0.6302083333333333,0.6343837875087874,4,3
all_physics_plus_qc,random_forest,0.5625,0.5520833333333334,0.5973632848632848,4,3
physics_no_selection_qc,logistic_l2,0.5520833333333334,0.5625,0.5768275705775705,4,3
physics_no_selection_qc,random_forest,0.5885416666666666,0.5572916666666667,0.5997289747289747,4,3
all_physics_plus_qc,logistic_l2,0.4427083333333333,0.4322916666666667,0.5272735366485366,4,4
all_physics_plus_qc,random_forest,0.5052083333333334,0.6041666666666667,0.623380439005439,4,4
physics_no_selection_qc,logistic_l2,0.47916666666666663,0.47916666666666663,0.5688906001406001,4,4
physics_no_selection_qc,random_forest,0.4427083333333333,0.5052083333333333,0.5712880869130869,4,4
all_physics_plus_qc,logistic_l2,0.5729166666666667,0.5833333333333333,0.627066798941799,4,5
all_physics_plus_qc,random_forest,0.578125,0.625,0.6347144753394753,4,5
physics_no_selection_qc,logistic_l2,0.5364583333333333,0.5260416666666666,0.606829513079513,4,5
physics_no_selection_qc,random_forest,0.515625,0.5677083333333334,0.5925111925111924,4,5
all_physics_plus_qc,logistic_l2,0.5052083333333333,0.47916666666666663,0.5378345034595035,4,6
all_physics_plus_qc,random_forest,0.6145833333333334,0.625,0.6647269397269397,4,6
physics_no_selection_qc,logistic_l2,0.45833333333333326,0.484375,0.554289923039923,4,6
physics_no_selection_qc,random_forest,0.65625,0.6041666666666666,0.6475807757057757,4,6
all_physics_plus_qc,logistic_l2,0.5364583333333333,0.4375,0.5154138685388685,4,7
all_physics_plus_qc,random_forest,0.4895833333333333,0.5625,0.5779123654123655,4,7
physics_no_selection_qc,logistic_l2,0.4895833333333333,0.421875,0.47182921245421244,4,7
physics_no_selection_qc,random_forest,0.5104166666666666,0.5416666666666667,0.5415915103415103,4,7
all_physics_plus_qc,logistic_l2,0.5260416666666666,0.5416666666666666,0.6097477753727754,4,8
all_physics_plus_qc,random_forest,0.5104166666666666,0.4583333333333333,0.589563677063677,4,8
physics_no_selection_qc,logistic_l2,0.4583333333333333,0.5208333333333333,0.6015427859177859,4,8
physics_no_selection_qc,random_forest,0.49479166666666663,0.46875,0.5778868122618122,4,8
all_physics_plus_qc,logistic_l2,0.5364583333333333,0.5208333333333334,0.5484734015984016,4,9
all_physics_plus_qc,random_forest,0.5625,0.5520833333333333,0.6083919552669552,4,9
physics_no_selection_qc,logistic_l2,0.5625,0.5520833333333334,0.5926532957782957,4,9
physics_no_selection_qc,random_forest,0.578125,0.5625,0.6188429625929626,4,9
all_physics_plus_qc,logistic_l2,0.5052083333333333,0.5677083333333334,0.6188758001258001,4,10
all_physics_plus_qc,random_forest,0.6822916666666666,0.78125,0.8233974358974359,4,10
physics_no_selection_qc,logistic_l2,0.6197916666666666,0.6354166666666666,0.6971341158841158,4,10
physics_no_selection_qc,random_forest,0.65625,0.7552083333333334,0.8007275132275131,4,10
all_physics_plus_qc,logistic_l2,0.44791666666666663,0.5052083333333334,0.5742645086395086,4,11
all_physics_plus_qc,random_forest,0.5,0.5416666666666666,0.6139002201502202,4,11
physics_no_selection_qc,logistic_l2,0.5260416666666666,0.53125,0.6148274179524179,4,11
physics_no_selection_qc,random_forest,0.4895833333333333,0.5208333333333333,0.618711728086728,4,11
all_physics_plus_qc,logistic_l2,0.47916666666666663,0.4375,0.5567227910977911,4,12
all_physics_plus_qc,random_forest,0.36979166666666663,0.33854166666666663,0.44280684593184594,4,12
physics_no_selection_qc,logistic_l2,0.48437499999999994,0.3854166666666667,0.4648933242683243,4,12
physics_no_selection_qc,random_forest,0.40625,0.296875,0.4171076608576608,4,12
all_physics_plus_qc,logistic_l2,0.53125,0.6875,0.7171817765567765,4,13
all_physics_plus_qc,random_forest,0.5104166666666666,0.5,0.5708113645613646,4,13
physics_no_selection_qc,logistic_l2,0.6302083333333334,0.703125,0.7431304806304806,4,13
physics_no_selection_qc,random_forest,0.49479166666666663,0.5572916666666666,0.6370376151626151,4,13
all_physics_plus_qc,logistic_l2,0.4270833333333333,0.3697916666666667,0.4847204878454878,4,14
all_physics_plus_qc,random_forest,0.4270833333333333,0.38541666666666663,0.49815901690901687,4,14
physics_no_selection_qc,logistic_l2,0.390625,0.390625,0.49269908332408335,4,14
physics_no_selection_qc,random_forest,0.484375,0.45312500000000006,0.5269986957486957,4,14
all_physics_plus_qc,logistic_l2,0.5677083333333334,0.5260416666666666,0.56376517001517,4,15
all_physics_plus_qc,random_forest,0.4895833333333333,0.421875,0.5415019008769009,4,15
physics_no_selection_qc,logistic_l2,0.5104166666666666,0.6197916666666666,0.6169640544640544,4,15
physics_no_selection_qc,random_forest,0.5,0.484375,0.579820411070411,4,15
all_physics_plus_qc,logistic_l2,0.40625,0.3020833333333333,0.45512369574869577,4,16
