cohort_role,event_reference_cycle,cycleNo,n_roi,roi_mean_delta,high_fraction_slope_per_s,high_radius2_slope_px2_per_s,interface_density_delta,first_last_corr,cumulative_abs_first_last
control,60.0,58.0,4,-2.4069100618355705e-05,1.954411861403685e-06,-0.00029941089685990666,0.0014230077890952583,0.9777667698918107,0.01649808301590383
control,60.0,62.0,4,0.000968024134635925,1.3842090154988562e-06,-0.0007704974573717395,0.0030332534451767493,0.8625765372226979,0.033625022042542696
control,86.0,88.0,4,-0.00031160004436970294,3.4152145515736377e-06,-0.002962814729429366,-0.002471539844218093,0.9963536859941697,0.008241759380325675
control,86.0,90.0,4,-0.0004222728312015,1.6650899568024129e-06,-0.0013005257205020242,-0.0024715398442181,0.9945721516359685,0.009674128494225442
control,116.0,118.0,4,-0.0010819379240273748,2.552976819462928e-06,0.00029569289827208666,-0.0012357699221090535,0.9957391920483732,0.008487423765473068
control,156.0,157.0,4,-0.017551751807332,-1.128773053286509e-06,9.46371262706393e-05,-0.00355751947273817,0.9148545792959375,0.031438912730664015
control,156.0,158.0,4,0.0056832209229469004,3.1609503877985686e-07,-0.0007641683178387874,0.00014979029358898333,0.9665448700454826,0.018213023897260427
event,60.0,60.0,6,0.00016235684355099764,1.286726220808963e-06,-0.0007884725162699823,0.0008987417615338537,0.8723657098315688,0.03453530805806319
event,86.0,86.0,6,0.00019067650039988337,3.0808552369947155e-06,-1.1772912059939517e-05,0.004044337926902337,0.9750109661989862,0.016108475780735414
event,116.0,116.0,6,-0.00073409328858055,3.578438175558896e-06,-0.0003718952945812744,-0.0014979029358897593,0.9958736981082149,0.008897979355727633
event,156.0,156.0,6,0.030053785070776884,2.2410304553384496e-06,-0.0001643806934476268,-0.0005242660275614116,0.905976798475936,0.04384576280911764
