x_feature,y_rollout_metric,n,spearman_rho,p_value
temporal_diff_energy,persistence_mse,52,0.9783146930760693,7.429426905301701e-36
temporal_diff_energy,persistence_mae,52,0.9602151455647571,2.3321115877869546e-29
cumulative_abs_first_last,latent_net_displacement,52,0.8890122086570478,1.370680472771275e-18
first_last_corr,latent_net_displacement,52,-0.8846580722274395,3.401823401120705e-18
temporal_diff_energy,persistence_ssim,52,-0.8607530094766499,2.8144507268407114e-16
evidence_score,latent_net_displacement,52,-0.8062492274886647,5.494804672941254e-13
evidence_score,velocity_mse_ratio_vs_persistence,52,0.7107003048005229,3.5793300191868856e-09
centroid_path_px,latent_path_length,52,0.7005890890463586,7.382631173065614e-09
evidence_score,latent_path_length,52,-0.6850910741354941,2.1171384128131417e-08
cumulative_abs_first_last,latent_path_length,52,0.5322291471015111,4.8866496317922825e-05
roi_mean_delta,velocity_mse_ratio_vs_persistence,52,-0.5187398616921369,8.157366189165539e-05
mean_drop_frac,velocity_mse_ratio_vs_persistence,52,0.5054732287124991,0.00013226868757615018
cumulative_abs_first_last,dmd_mse_ratio_vs_persistence,52,0.4918466660974985,0.00021294357353715356
first_last_corr,dmd_mse_ratio_vs_persistence,52,-0.4775036284470247,0.00034417965387767636
high_fraction_slope_per_s,persistence_ssim,52,-0.4724664902245368,0.00040538836816610043
mid_fraction_slope_per_s,persistence_ssim,52,-0.4631605907965508,0.0005449573054522037
temporal_diff_energy,latent_path_length,52,0.46128233586613165,0.000577907041909768
cumulative_abs_first_last,velocity_mse_ratio_vs_persistence,52,-0.4400239050627508,0.0010977705957682803
roi_mean_delta,latent_net_displacement,52,0.43643814565013234,0.001218342428367618
first_last_corr,latent_path_length,52,-0.42730299667036625,0.0015807894780856052
centroid_path_px,velocity_mse_ratio_vs_persistence,52,-0.41432596260565185,0.0022608231654241153
evidence_score,dmd_mse_ratio_vs_persistence,52,-0.40197661374900345,0.003137499559834398
temporal_diff_energy,dmd_mse_ratio_vs_persistence,52,-0.3992999231622983,0.003363063489673171
centroid_path_px,latent_net_displacement,52,0.3847007598394946,0.004863479372686004
mid_fraction_slope_per_s,latent_net_displacement,52,-0.3555878084179971,0.00968145260138198
centroid_path_px,persistence_mse,52,0.34978229317851955,0.011026616998219536
high_fraction_slope_per_s,persistence_mae,52,0.3455135319730214,0.012115686054582289
first_last_corr,velocity_mse_ratio_vs_persistence,52,0.344147528387262,0.012483158034440627
high_radius2_slope_px2_per_s,persistence_ssim,52,-0.32852386237513875,0.01741416254996541
mid_fraction_slope_per_s,persistence_mae,52,0.3250234781866302,0.01872157779456885
high_radius2_slope_px2_per_s,persistence_mae,52,0.311704943225476,0.02448306450063478
roi_mean_delta,latent_path_length,52,0.3064970545547682,0.027109224556886784
high_fraction_slope_per_s,latent_net_displacement,52,-0.30581405276188844,0.02747050602669174
evidence_score,persistence_ssim,52,-0.2767563065662076,0.04701255948431457
interface_density_delta,dmd_mse_ratio_vs_persistence,52,0.2733754629567889,0.049885035795776765
high_radius2_slope_px2_per_s,persistence_mse,52,0.24989328096986252,0.0739914562465446
interface_density_delta,latent_net_displacement,52,0.23319955937372808,0.09615755079665056
centroid_path_px,persistence_ssim,52,-0.23281823614786987,0.09671821662428995
high_fraction_slope_per_s,persistence_mse,52,0.22564671732263294,0.10774163772958731
