model,feature,importance
logistic_l2,velocity_particle_mse_fraction_of_full_mean,1.3007246974547872
logistic_l2,persistence_particle_mse_fraction_of_full_mean,0.9314390221991983
logistic_l2,velocity_particle_to_nonparticle_mse_ratio_mean,0.718615118420801
logistic_l2,transferred_masked_residual_signature,0.7030090956223776
logistic_l2,stage_drift_xy_sampled,0.6514840066415817
logistic_l2,object_mean_abs_z,0.5878025163450543
logistic_l2,persistence_particle_to_nonparticle_mse_ratio_mean,0.5274803264404699
logistic_l2,roi_mean_delta_last_minus_first,0.4980043235138091
logistic_l2,threshold_robust_diffusion_score,0.44656193869820043
logistic_l2,roi_norm_mean_delta_last_minus_first,0.35455637008938234
logistic_l2,phase_slope_abs_median_per_s,0.3515295366036304
logistic_l2,phase_slope_positive_fraction,0.31074185210754895
logistic_l2,q70_phase_slope_bootstrap_p50,0.302972470449909
logistic_l2,low_rank_dmd_particle_mse_fraction_of_full_mean,0.30076118745972025
logistic_l2,phase_slope_median_per_s,0.25853755366445247
logistic_l2,velocity_particle_mse_mean,0.2193309245138408
logistic_l2,object_mean_residual,0.2161616320992944
logistic_l2,mode_taxonomy_score,0.19645423520722066
logistic_l2,front_quality_score,0.1654340122621571
logistic_l2,threshold_robust_phase_score,0.1624942263208111
logistic_l2,diffusion_proxy_median_um2_per_s,0.15821204151434407
logistic_l2,radius2_slope_median_px2_per_s,0.15821204151433665
logistic_l2,validation_score,0.14989465470265792
logistic_l2,radius2_slope_positive_fraction,0.13644541192954002
logistic_l2,persistence_particle_mse_mean,0.1308232089436465
logistic_l2,transfer_rank,0.11155124751780679
logistic_l2,rollout_residual_score,0.10430850362312998
logistic_l2,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,0.08591867473765097
logistic_l2,q70_radius2_slope_bootstrap_p50_px2_per_s,0.08517664477807974
logistic_l2,kinetic_transition_score,0.07422027549051351
logistic_l2,low_rank_dmd_particle_mse_mean,0.07211974359468483
logistic_l2,physics_consistency_score,0.07131945643618821
logistic_l2,diffusion_proxy_abs_median_um2_per_s,0.05409475611901334
logistic_l2,optical_change_score,0.015266353530384694
logistic_l2,front_direction_score,0.009480884626848903
logistic_l2,accepted_area_fraction_median,0.006938677444857608
logistic_l2,cycle_state_pc2,0.0028966416559583746
logistic_l2,cycle_state_pc4,0.0028966416559448407
logistic_l2,axis_step,0.002896641655944779
logistic_l2,cycle_state_pc1,0.0028966416559435835
logistic_l2,degradation_state_axis,0.0028966416559435835
logistic_l2,state_step_norm,0.0028966416559435613
logistic_l2,cycle_state_pc3,0.002896641655942543
logistic_l2,mask_fallback_used_mean,0.0
random_forest,velocity_particle_to_nonparticle_mse_ratio_mean,0.15141572991265945
random_forest,velocity_particle_mse_fraction_of_full_mean,0.13697154164228126
random_forest,velocity_particle_mse_mean,0.13369657081926117
random_forest,persistence_particle_mse_fraction_of_full_mean,0.09412684172844063
random_forest,persistence_particle_mse_mean,0.09016029811238442
random_forest,persistence_particle_to_nonparticle_mse_ratio_mean,0.06123144940346435
random_forest,q70_radius2_slope_bootstrap_p50_px2_per_s,0.03621841414116394
random_forest,diffusion_proxy_median_um2_per_s,0.03344602354796116
random_forest,phase_slope_median_per_s,0.024303854074464233
random_forest,object_mean_abs_z,0.023881773301107308
random_forest,q70_phase_slope_bootstrap_p50,0.023000689574321883
random_forest,transferred_masked_residual_signature,0.020233201550066353
random_forest,roi_norm_mean_delta_last_minus_first,0.016813058583392448
random_forest,radius2_slope_positive_fraction,0.016531173854610635
random_forest,radius2_slope_median_px2_per_s,0.01598867029727884
random_forest,transfer_rank,0.01560767377237331
random_forest,stage_drift_xy_sampled,0.015313269357344972
random_forest,diffusion_proxy_abs_median_um2_per_s,0.013942007967722565
random_forest,low_rank_dmd_particle_mse_mean,0.013846304525394043
random_forest,threshold_robust_phase_score,0.013081752234694396
random_forest,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,0.007331122029769548
random_forest,phase_slope_abs_median_per_s,0.00705418122996881
random_forest,object_mean_residual,0.0070074814135023976
random_forest,low_rank_dmd_particle_mse_fraction_of_full_mean,0.006621039765052919
random_forest,roi_mean_delta_last_minus_first,0.0043788742476886635
random_forest,phase_slope_positive_fraction,0.004142857142857146
random_forest,threshold_robust_diffusion_score,0.0034716134130188016
random_forest,rollout_residual_score,0.0022830707935425566
random_forest,physics_consistency_score,0.0018083683166490022
random_forest,optical_change_score,0.0016969696969696972
random_forest,cycle_state_pc3,0.001677416260778829
random_forest,mode_taxonomy_score,0.0012820512820512777
random_forest,accepted_area_fraction_median,0.0007394416692559651
random_forest,validation_score,0.0006952143385070204
random_forest,front_quality_score,1.5265566588595882e-17
random_forest,degradation_state_axis,6.660132693869691e-18
random_forest,mask_fallback_used_mean,0.0
random_forest,cycle_state_pc1,0.0
random_forest,cycle_state_pc2,0.0
random_forest,cycle_state_pc4,0.0
random_forest,state_step_norm,0.0
random_forest,axis_step,0.0
random_forest,front_direction_score,0.0
random_forest,kinetic_transition_score,0.0
