roi_id,cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,object_x_full_approx,object_y_full_approx,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,npz_path,preview_png,video_cohort,cycleNo_src,cohort_role,is_event_roi,event_reference_cycle,validation_score_src,front_quality_score,degradation_mode_hypothesis,timing_elapsed_s,thresholds_finite,phase_slope_median_per_s,phase_slope_iqr_per_s,phase_slope_positive_fraction,phase_slope_negative_fraction,phase_slope_abs_median_per_s,radius2_slope_median_px2_per_s,radius2_slope_iqr_px2_per_s,radius2_slope_positive_fraction,radius2_slope_negative_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_iqr_um2_per_s,default_q70_diffusion_proxy_um2_per_s,q70_phase_slope_bootstrap_p05,q70_phase_slope_bootstrap_p50,q70_phase_slope_bootstrap_p95,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,threshold_robust_diffusion_score,physics_consistency_rank,cohort_role_src,event_reference_cycle_src,physics_consistency_tier,claim_readiness,physics_consistency_score,physics_pillar_support_count,physics_pillar_strong_support_count,physics_pillar_contradiction_count,front_direction_score,optical_change_score,rollout_residual_score,kinetic_transition_score,precursor_context_score,echem_shape_context_score,mode_taxonomy_score,mode_label,manual_qc_status,manual_qc_decision,review_sources,auto_review_flags,precursor_review_tier,physics_consistency_reason,recommended_claim_language,cycle_state_pc1,cycle_state_pc2,cycle_state_pc3,cycle_state_pc4,degradation_state_axis,state_step_norm,axis_step,future_any_drop_within_8cycles,cycle_state_cluster,phase_slope_positive_fraction_protocol_residual_shape_residual,threshold_robust_phase_score_protocol_residual_shape_residual,diffusion_proxy_median_um2_per_s_protocol_residual_shape_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual_shape_residual,q70_transformed_fraction_delta_shape_residual,mode_review_priority_shape_residual,is_future_drop_cycle_state,is_cross_modal_priority,low_rank_dmd_particle_mse_mean,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,low_rank_dmd_particle_mse_fraction_of_full_mean,low_rank_dmd_mask_fallback_used_mean,low_rank_dmd_accepted_area_fraction_median,persistence_particle_mse_mean,persistence_particle_to_nonparticle_mse_ratio_mean,persistence_particle_mse_fraction_of_full_mean,persistence_mask_fallback_used_mean,persistence_accepted_area_fraction_median,velocity_particle_mse_mean,velocity_particle_to_nonparticle_mse_ratio_mean,velocity_particle_mse_fraction_of_full_mean,velocity_mask_fallback_used_mean,velocity_accepted_area_fraction_median,mask_fallback_used_mean,accepted_area_fraction_median,weak_future_drop_label,weak_future_drop_label_source,cycleNo_recon,validation_score_recon,transfer_rank,transferred_masked_residual_signature,future_any_drop_within_16cycles,any_abrupt_drop,object_mean_abs_z,object_mean_residual,low_rank_dmd_particle_mask_area_fraction_mean,persistence_particle_mask_area_fraction_mean,velocity_particle_mask_area_fraction_mean,front_physics_review_score
cycle86_rank5_obj8,86.0,10_c2_x10_030723,1,5,8,5.377963073534964,selected_roi_candidate,1660.7096774193549,191.1290322580645,1565.0,95.0,1757.0,287.0,192.0,96.0,96.0,906,1812,8213.4951171875,8221.01953125,7.5244140625,0.0834420844912529,0.083774596452713,0.0003325119614601,0.2499999999999317,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/cycle86_rank5_obj8.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/previews/cycle86_rank5_obj8.png,selected,86.0,event,1.0,86.0,,1.9606669965442456,synchronized_persistent_drop_low_frame_count,9098.537893392,7.0,2.7063069795207498e-06,1.3865058302821564e-06,1.0,0.0,2.7063069795207498e-06,-0.0002808101853,0.0017079956145201,0.1428571428571428,0.8571428571428571,-6.469866669313556e-07,3.935221895854453e-06,-5.304166183579981e-07,-3.870068887707741e-07,2.857693433629604e-06,6.3651551445202455e-06,-0.0009466686256902,-0.0001827040651815,0.000446220521522,0.3942307692307694,6.469866669313556e-07,-0.375,29.0,event,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.2958360336584622,0.0,0.0,1.0,0.1386909786271328,0.2818794863481119,0.0902935853469922,0.4794180483146935,-0.0095629555632535,-0.0083626624184934,-0.593208716264419,near_baseline_or_context_like,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;diffusion_ci_crosses_zero,medium,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,-6.813171681880113,-1.1495673212394624,-5.612760464862473,3.651287796694237,6.813171681880113,8.521464254560303,2.389285221900084,0.0,1.0,0.0426147571116945,-0.0293045895684543,1.052846910566245e-06,-2.4108760896036643e-07,0.0005689384583441,-0.3201240683024975,0.0,0.0,0.0043561415659496,4.278402740745354,2.789475674440933,0.0,0.1790907118055555,8.581355052683648e-05,1.4278529519014915,1.0886652947622113,0.0,0.1790907118055555,0.000178089120709,1.311180009451633,1.0286267972109893,0.0,0.1790907118055555,0.0,0.1790907118055555,0.0,cycle_state_roi_bridge_future8,,,,,,,,,,,,
cycle86_rank2_obj6,86.0,10_c2_x10_030723,1,2,6,5.344092852173012,selected_roi_candidate,1335.859296482412,171.678391959799,1240.0,76.0,1432.0,268.0,192.0,96.0,96.0,906,1812,8857.2548828125,8861.24609375,3.9912109375,0.0743605196475982,0.0744921788573265,0.0001316592097282,0.2499999999999317,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/cycle86_rank2_obj6.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/previews/cycle86_rank2_obj6.png,selected,86.0,event,1.0,86.0,,2.198397308847956,synchronized_persistent_drop_low_frame_count,9098.537893392,7.0,2.051361698714253e-06,1.049343819660183e-06,1.0,0.0,2.051361698714253e-06,-0.0006995287785616,0.0005496634352113,0.0,1.0,-1.6117143058060102e-06,1.2664245547268506e-06,-1.9554819056947827e-06,1.3447250264855916e-07,2.1451709618248765e-06,3.947921903136735e-06,-0.0015233509880587,-0.0008388244248497,-0.00018581042229,0.4326923076923077,1.6117143058060102e-06,0.6538461538461537,33.0,event,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.553710077284754,0.0,0.0,1.0,0.033705950244641,-0.1877632797443432,-0.4096579912029954,0.1077049747916417,-0.1001312326880999,-0.0083626624184934,-0.8614662999756287,near_baseline_or_context_like,pending,,control_balanced_visual_qc,fragmented_q70_mask,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,-6.813171681880113,-1.1495673212394624,-5.612760464862473,3.651287796694237,6.813171681880113,8.521464254560303,2.389285221900084,0.0,1.0,0.0426147571116945,0.0091569488930838,8.811927169159005e-08,7.236400299142882e-07,-0.0005378323749891,-0.6182009913794206,0.0,0.0,0.0022816478340246,14.437854280460453,3.649630395269796,0.0,0.20947265625,7.150515108378386e-05,1.441611832012344,1.0634971444085906,0.0,0.20947265625,0.0001591875357007,1.3230371908498155,1.0128675690503397,0.0,0.20947265625,0.0,0.20947265625,0.0,cycle_state_roi_bridge_future8,,,,,,,,,,,,
cycle86_rank3_obj5,86.0,10_c2_x10_030723,1,3,5,4.595016519669338,selected_roi_candidate,1184.2469135802469,1085.9753086419753,1088.0,990.0,1280.0,1182.0,192.0,96.0,96.0,906,1812,8329.9814453125,8341.5458984375,11.564453125,0.0755006149411201,0.0761133879423141,0.000612773001194,0.2499999999999317,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/cycle86_rank3_obj5.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/previews/cycle86_rank3_obj5.png,selected,86.0,event,1.0,86.0,,1.456577760966197,synchronized_persistent_drop_low_frame_count,9098.537893392,7.0,3.687204623056872e-06,1.2315455328634658e-06,1.0,0.0,3.687204623056872e-06,0.0004434992317086,0.0004069598282052,1.0,0.0,1.0218222298568356e-06,9.376354441849584e-07,1.933724240255684e-06,1.2346986461047805e-06,3.5808534347945e-06,5.871121906199069e-06,0.000389504083506,0.0008609860690067,0.0012138667197822,0.6634615384615385,1.0218222298568356e-06,0.5769230769230769,23.0,event,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,0.3296899777950209,1.0,0.0,0.0,0.6448768822055279,0.1013443267750493,-0.0278523975056253,0.1377348373844259,0.0,-0.0083626624184934,-0.2899111418757373,near_baseline_or_context_like,pending,,ranked_review_packet,,medium,limited cross-modal agreement,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,-6.813171681880113,-1.1495673212394624,-5.612760464862473,3.651287796694237,6.813171681880113,8.521464254560303,2.389285221900084,0.0,1.0,0.0426147571116945,0.2399261796623147,2.721655807354436e-06,1.3374795396511368e-07,0.0010463690138997,-0.1278163759948052,0.0,0.0,0.0059185493300901,5.228461499076598,3.016811073856337,0.0,0.1319444444444444,0.0001392894644141,1.372317893549875,1.0280787903948916,0.0,0.1319444444444444,0.000317681654451,1.3471837909491935,1.031632383621458,0.0,0.1319444444444444,0.0,0.1319444444444444,0.0,cycle_state_roi_bridge_future8,,,,,,,,,,,,
cycle86_rank8_obj17,86.0,10_c2_x10_030723,1,8,17,3.8991914755100505,selected_roi_candidate,116.0,1002.9019607843136,20.0,907.0,212.0,1099.0,192.0,96.0,96.0,906,1812,8309.9638671875,8314.166015625,4.2021484375,0.1149021759629249,0.1153078973293304,0.0004057213664054,0.2499999999999317,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/cycle86_rank8_obj17.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/previews/cycle86_rank8_obj17.png,selected,86.0,event,1.0,86.0,,1.248393377128957,synchronized_persistent_drop_low_frame_count,9098.537893392,7.0,2.5173819686638037e-06,6.751226010716173e-07,1.0,0.0,2.5173819686638037e-06,-0.0005245335668951,0.0005329288376804,0.1428571428571428,0.8571428571428571,-1.2085253381264768e-06,1.2278680420156934e-06,-1.2085253381264768e-06,1.3822957008132638e-06,2.181060733993195e-06,2.9967827875631314e-06,-0.0011098236861088,-0.0005312457521378,-5.22561941236531e-05,0.6057692307692308,1.2085253381264768e-06,0.2403846153846153,21.0,event,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,0.4339942858990319,1.0,0.0,0.0,0.5392110173888225,0.3174281590590588,0.2331816147511288,0.0627385608429085,-0.0003520853005714,-0.0083626624184934,0.1441153969703693,near_baseline_or_context_like,pending,,primary_visual_qc;ranked_review_packet,fragmented_q70_mask,medium,automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,-6.813171681880113,-1.1495673212394624,-5.612760464862473,3.651287796694237,6.813171681880113,8.521464254560303,2.389285221900084,0.0,1.0,0.0426147571116945,0.182233871970007,4.913082393711233e-07,3.204510622347549e-07,-0.0022305407083224,0.4202605470821177,0.0,0.0,0.0179947259312029,3.989743370068987,2.865513324935065,0.0,0.1054144965277777,0.0001732492328301,1.3455518865896554,1.0751269326478463,0.0,0.1054144965277777,0.0003626168590926,1.2500348042566582,1.0156514896723796,0.0,0.1054144965277777,0.0,0.10541449652777772,0.0,cycle_state_roi_bridge_future8,,,,,,,,,,,,
cycle86_rank4_obj9,86.0,10_c2_x10_030723,1,4,9,3.518927813373632,selected_roi_candidate,810.7391304347826,383.69565217391306,715.0,288.0,907.0,480.0,192.0,96.0,96.0,906,1812,8176.974609375,8167.140625,-9.833984375,0.0835938081145286,0.0829318836331367,-0.0006619244813919,0.2499999999999317,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/cycle86_rank4_obj9.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/previews/cycle86_rank4_obj9.png,selected,86.0,event,1.0,86.0,,1.1156177975150214,synchronized_persistent_drop_low_frame_count,9098.537893392,7.0,5.385509073626023e-06,2.691471515792406e-06,1.0,0.0,5.385509073626023e-06,0.0001824065282852,0.0016747916170241,0.5714285714285714,0.4285714285714285,4.202646411692796e-07,3.8587198856235535e-06,4.202646411692796e-07,2.6694457668758897e-06,5.3076004942669705e-06,8.940731688852308e-06,-0.0004781591977925,0.000135355446846,0.000903958899515,0.5865384615384616,4.202646411692796e-07,-0.6346153846153846,12.0,event,86.0,cross_modal_review_priority,manual_qc_required_no_physics_claim,1.8286204821464007,4.0,1.0,0.0,0.7558451904602194,0.4212868018612782,0.9118410400496952,0.7255137273172761,0.008892083041864,-0.0083626624184934,1.2353271947129698,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;ranked_review_packet,fragmented_q70_mask;diffusion_ci_crosses_zero,medium,multi-pillar support;front/kinetic agreement;rollout/mode agreement;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,-6.813171681880113,-1.1495673212394624,-5.612760464862473,3.651287796694237,6.813171681880113,8.521464254560303,2.389285221900084,0.0,1.0,0.0426147571116945,0.1630031027392377,2.12009821866688e-06,-4.678096347224425e-07,0.002153139847233,0.7567990086205794,0.0,1.0,0.011153763764014,5.0161018942302364,3.536498439093437,0.0,0.1218532986111111,0.0002541507196838,1.4898988396739226,1.2122962018897734,0.0,0.1218532986111111,0.0005058288420514,1.4480381085753715,1.1948192979221182,0.0,0.1218532986111111,0.0,0.1218532986111111,0.0,cycle_state_roi_bridge_future8,,,,,,,,,,,,
cycle116_rank3_obj9,116.0,13_c2_x6_100723,1,3,9,4.261017170280639,selected_roi_candidate,820.927536231884,380.1159420289855,725.0,284.0,917.0,476.0,192.0,96.0,96.0,909,1818,8144.91845703125,8128.3359375,-16.58251953125,0.0767813622951507,0.0757234618067741,-0.0010579004883766,0.2236067977499281,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/cycle116_rank3_obj9.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/previews/cycle116_rank3_obj9.png,selected,116.0,event,1.0,116.0,,1.2773770940661642,synchronized_persistent_drop_low_frame_count,9126.745852742,7.0,5.850943150305229e-06,2.3848762904707225e-06,1.0,0.0,5.850943150305229e-06,0.000928009623568,0.0015988638159894,0.5714285714285714,0.4285714285714285,2.138134172700789e-06,3.6837822320396447e-06,2.138134172700789e-06,3.4512874805788723e-06,5.933619828633032e-06,8.347402605561352e-06,-0.0002734599652181,0.0009594246116843,0.0021788525779047,0.625,2.138134172700789e-06,-0.2115384615384615,32.0,event,116.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.5397926604327209,0.0,0.0,1.0,-0.1458969576048359,0.0614694425444881,-0.0220717258314093,-0.1722173765680749,,-0.2534922765311201,-0.6065470686053732,near_baseline_or_context_like,,,,,,discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,2.1141956086485054,-1.2460533610577464,-11.028105665725104,5.945611025740416,-2.1141956086485054,13.563520693660344,3.647132959927527,0.0,0.0,-0.0011027185480677,-0.0178630749652925,2.615387680370884e-06,-1.0576771681256478e-06,-0.0099569774903303,-0.0973894099131269,0.0,0.0,0.0032623087681713,3.8614281202676968,3.236077986684546,0.0,0.0891384548611111,8.928698548515968e-05,1.1720920146494584,1.0153517327210533,0.0,0.0891384548611111,0.0002519651857255,1.1479107614479898,0.9982322044793652,0.0,0.0891384548611111,0.0,0.0891384548611111,0.0,cycle_state_roi_bridge_future8,,,,,,,,,,,,
cycle116_rank2_obj2,116.0,13_c2_x6_100723,1,2,2,4.159234021974196,selected_roi_candidate,1348.6176470588234,177.44117647058823,1253.0,81.0,1445.0,273.0,192.0,96.0,96.0,909,1818,8875.732421875,8868.9501953125,-6.7822265625,0.0758262872695922,0.0756338983774185,-0.0001923888921737,0.2236067977499281,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/cycle116_rank2_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/previews/cycle116_rank2_obj2.png,selected,116.0,event,1.0,116.0,,1.2552609026042028,synchronized_persistent_drop_low_frame_count,9126.745852742,7.0,2.1037540208133585e-06,3.584897326314771e-07,1.0,0.0,2.1037540208133585e-06,-0.0004621559461591,0.0002288112704922,0.1428571428571428,0.8571428571428571,-1.0648072999505855e-06,5.271811672141926e-07,-1.663673262812137e-06,6.222935116721831e-07,2.0974934819247705e-06,3.518971477901895e-06,-0.0011241873566696,-0.0007329049353116,-0.0003632366214334,0.8173076923076923,1.0648072999505855e-06,0.4519230769230768,48.0,event,116.0,discordant_guardrail,manual_qc_required_no_physics_claim,-2.123212302669621,0.0,0.0,4.0,-0.3491058881839681,-0.4113877416782203,-1.077045272881798,-0.6202392672870245,-1.603891881030084,-0.2534922765311201,-0.7473237910951287,near_baseline_or_context_like,pending,,primary_visual_qc,none,routine,discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,2.1141956086485054,-1.2460533610577464,-11.028105665725104,5.945611025740416,-2.1141956086485054,13.563520693660344,3.647132959927527,0.0,0.0,-0.0011027185480677,0.1744446173423996,-5.875537922804906e-07,-2.1310040408758514e-06,-0.006506456656997,-0.001235563759281,0.0,0.0,0.0028726331584039,5.130554644039264,2.8204812838568443,0.0,0.2004123263888889,3.886068009251176e-05,1.0625338261131427,0.9165485745763948,0.0,0.2004123263888889,0.0001065047963493,0.9817250141925744,0.8619286771615853,0.0,0.2004123263888889,0.0,0.20041232638888892,0.0,cycle_state_roi_bridge_future8,,,,,,,,,,,,
cycle116_rank1_obj6,116.0,13_c2_x6_100723,1,1,6,4.033089505345082,selected_roi_candidate,1199.1515151515152,1088.4242424242425,1103.0,992.0,1295.0,1184.0,192.0,96.0,96.0,909,1818,8380.73828125,8359.5556640625,-21.1826171875,0.0783979892730712,0.0772332549095153,-0.0011647343635559,0.2236067977499281,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/cycle116_rank1_obj6.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/previews/cycle116_rank1_obj6.png,selected,116.0,event,1.0,116.0,,1.108391242725916,synchronized_persistent_drop_low_frame_count,9126.745852742,7.0,4.266589380884244e-06,7.585369224995461e-07,1.0,0.0,4.266589380884244e-06,-0.0004432946092543,0.0003701920220382,0.1428571428571428,0.8571428571428571,-1.0213507797221243e-06,8.529224187762178e-07,-3.095032074337184e-07,2.2935402345155917e-06,4.359122387255842e-06,6.694642737352898e-06,-0.0005350945001267,-0.0001559011296127,0.0002657916870378,0.8365384615384616,1.0213507797221243e-06,0.2596153846153846,35.0,event,116.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.7252273802375817,0.0,0.0,1.0,-0.0729045846677461,-0.0729943868030884,0.1783173437482126,-0.447184627538469,-1.587914379876674,-0.2534922765311201,-0.3704187499941866,near_baseline_or_context_like,pending,,primary_visual_qc,fragmented_q70_mask;diffusion_ci_crosses_zero,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,2.1141956086485054,-1.2460533610577464,-11.028105665725104,5.945611025740416,-2.1141956086485054,13.563520693660344,3.647132959927527,0.0,0.0,-0.0011027185480677,0.1936753865731689,-5.440972720520294e-07,-2.1744605611043126e-06,-0.0108901372125524,0.152610590086873,0.0,0.0,0.0058801233535632,4.569159874121591,2.625021368187753,0.0,0.1336263020833333,6.813742504618858e-05,1.0150316878425227,0.869557694387256,0.0,0.1336263020833333,0.0001913636247081,0.9869185849780028,0.8602240643053182,0.0,0.1336263020833333,0.0,0.1336263020833333,0.0,cycle_state_roi_bridge_future8,,,,,,,,,,,,
cycle116_rank8_obj20,116.0,13_c2_x6_100723,1,8,20,3.987079460919189,selected_roi_candidate,88.47058823529412,1086.1176470588234,0.0,990.0,192.0,1182.0,192.0,96.0,96.0,909,1818,8550.890625,8555.021484375,4.130859375,0.1112762317061424,0.1115345433354377,0.0002583116292953,0.2236067977499281,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/cycle116_rank8_obj20.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/previews/cycle116_rank8_obj20.png,selected,116.0,event,1.0,116.0,,1.0844116535413544,synchronized_persistent_drop_low_frame_count,9126.745852742,7.0,1.4399750470114455e-06,4.494183925111356e-07,1.0,0.0,1.4399750470114455e-06,-0.0024156938552927,0.0014684328449135,0.0,1.0,-5.565758642594448e-06,3.38326927468087e-06,-5.565758642594448e-06,6.663292336759862e-08,1.2726331631607296e-06,2.5110906647042617e-06,-0.0033928578326711,-0.0024571630919288,-0.001542934246376,0.528846153846154,5.565758642594448e-06,0.8269230769230769,49.0,event,116.0,discordant_guardrail,manual_qc_required_no_physics_claim,-2.446858352185597,0.0,0.0,5.0,-0.8370612859357912,-0.0035423998045502,-0.7266965133684654,-0.5636985004373731,-1.614260593004336,-0.2534922765311201,-0.8792568962175439,front_negative_high_apparent_front_proxy,pending,,primary_visual_qc,fragmented_q70_mask,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,2.1141956086485054,-1.2460533610577464,-11.028105665725104,5.945611025740416,-2.1141956086485054,13.563520693660344,3.647132959927527,0.0,0.0,-0.0011027185480677,-0.1140169211191385,-5.088505134924353e-06,2.3699473017680123e-06,-0.007504720545886,-0.4050817176054346,0.0,0.0,0.0093803510826546,7.768449646509461,5.07891538793192,0.0,0.08056640625,6.950858892196266e-05,0.9712055809850848,0.8503923669671933,0.0,0.08056640625,0.0001992144466385,0.9351047376954014,0.8227160663232346,0.0,0.08056640625,0.0,0.08056640625,0.0,cycle_state_roi_bridge_future8,,,,,,,,,,,,
cycle116_rank7_obj37,116.0,13_c2_x6_100723,1,7,37,3.780379242324946,selected_roi_candidate,1255.090909090909,900.2727272727273,1159.0,804.0,1351.0,996.0,192.0,96.0,96.0,909,1818,8141.65380859375,8131.5537109375,-10.10009765625,0.1357230842113495,0.1347198635339737,-0.0010032206773757,0.2236067977499281,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/cycle116_rank7_obj37.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_roi_sequences/previews/cycle116_rank7_obj37.png,selected,116.0,event,1.0,116.0,,1.32518717317117,synchronized_persistent_drop_low_frame_count,9126.745852742,7.0,4.3037461992517885e-06,1.3455076582567447e-06,1.0,0.0,4.3037461992517885e-06,0.0019916719088218,0.0006429216726149,1.0,0.0,4.588812077925554e-06,1.4812915337048528e-06,4.945665530777921e-06,2.2001902837347318e-06,4.440626095020972e-06,6.608535188680132e-06,0.0011133679740345,0.0021575598659723,0.0032824312357174,0.6826923076923077,4.588812077925554e-06,0.9423076923076924,22.0,event,116.0,rollout_mode_consistent,manual_qc_required_no_physics_claim,0.3395694293580337,2.0,1.0,1.0,-0.2734901215081065,0.2792407713332491,1.1221084560726138,-0.4209580087248643,-1.5862064374310796,-0.2534922765311201,0.7097836222955428,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc,fragmented_q70_mask;already_in_primary_qc,routine,rollout/mode agreement;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,2.1141956086485054,-1.2460533610577464,-11.028105665725104,5.945611025740416,-2.1141956086485054,13.563520693660344,3.647132959927527,0.0,0.0,-0.0011027185480677,0.039829232727015,5.0660655855956485e-06,1.3930007370991171e-06,-0.011758192768108,0.7103028977791805,0.0,0.0,0.0066171152138849,3.99527078777963,2.515390421687723,0.0,0.1526150173611111,0.0001795216530808,0.8698223415777802,0.7705124634829535,0.0,0.1526150173611111,0.0005310152255333,0.8742186206573461,0.7803827642712712,0.0,0.1526150173611111,0.0,0.1526150173611111,0.0,cycle_state_roi_bridge_future8,,,,,,,,,,,,
