cycleNo,particle0,particle1,particle2,particle3,addrs,n_frames,particle0_norm,particle0_abrupt_drop,particle1_norm,particle1_abrupt_drop,particle2_norm,particle2_abrupt_drop,particle3_norm,particle3_abrupt_drop,particle0_norm_delta_prev,particle0_norm_abs_delta_prev,particle0_norm_rolling3_slope,particle0_norm_rolling5_mean,particle0_norm_rolling5_std,particle1_norm_delta_prev,particle1_norm_abs_delta_prev,particle1_norm_rolling3_slope,particle1_norm_rolling5_mean,particle1_norm_rolling5_std,particle2_norm_delta_prev,particle2_norm_abs_delta_prev,particle2_norm_rolling3_slope,particle2_norm_rolling5_mean,particle2_norm_rolling5_std,particle3_norm_delta_prev,particle3_norm_abs_delta_prev,particle3_norm_rolling3_slope,particle3_norm_rolling5_mean,particle3_norm_rolling5_std,particle_norm_mean,particle_norm_std,particle_norm_min,particle_norm_max,particle_norm_range,particle_norm_cv,mean_delta_prev,mean_abs_delta_prev,max_abs_delta_prev,delta_std_across_particles,drop_count,any_abrupt_drop,synchronized_drop_2plus,synchronized_drop_3plus,cycle_gap,frames_percentile,future_any_drop_within_4cycles,future_sync2_drop_within_4cycles,cycles_to_next_drop_within_4,future_any_drop_within_8cycles,future_sync2_drop_within_8cycles,cycles_to_next_drop_within_8,future_any_drop_within_16cycles,future_sync2_drop_within_16cycles,cycles_to_next_drop_within_16,charge_capacity_mAh,discharge_capacity_mAh,capacity_mAh,coulombic_efficiency_pct,V_min,V_max,n_points
2,355,122,244,18,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle1.hdf5,945.0,1.0,False,1.0,False,1.0,False,1.0,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,,,,,0,0,0,0,,0.6067415730337079,0,0,,0,0,,0,0,,0.6656494797689486,0.6617634160010054,0.6617634160010054,99.41619968375969,2.999776,4.200073,95349.0
4,342,128,242,19,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle11.hdf5,940.0,0.9633802816901408,False,1.0491803278688523,False,0.9918032786885246,False,1.0555555555555556,False,-0.03661971830985922,0.03661971830985922,,0.9816901408450704,0.025894051142042667,0.04918032786885229,0.04918032786885229,,1.0245901639344261,0.034775743337043204,-0.008196721311475419,0.008196721311475419,,0.9959016393442623,0.005795957222840599,0.05555555555555558,0.05555555555555558,,1.0277777777777777,0.0392837100659194,1.0149798609507683,0.044779941474236924,0.9633802816901408,1.0555555555555556,0.0921752738654148,0.04411904432496812,0.014979860950768309,0.03738808076143563,0.05555555555555558,0.044779941474236924,0,0,0,0,2.0,0.5449438202247191,0,0,,0,0,,0,0,,0.6579691816627963,0.6522119151522108,0.6522119151522108,99.1249945026246,2.999969,4.200073,94165.0
6,325,117,228,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle13.hdf5,940.0,0.9154929577464788,False,0.9590163934426228,False,0.9344262295081968,False,0.8888888888888888,False,-0.04788732394366202,0.04788732394366202,-0.042253521126760576,0.9596244131455398,0.04237853181745272,-0.0901639344262295,0.0901639344262295,-0.020491803278688568,1.0027322404371584,0.045144020879394266,-0.05737704918032782,0.05737704918032782,-0.03278688524590153,0.9754098360655737,0.035728679865087515,-0.16666666666666674,0.16666666666666674,-0.05555555555555557,0.9814814814814815,0.08486251286955258,0.9244561173965468,0.0296601966195349,0.8888888888888888,0.9590163934426228,0.07012750455373395,0.032083942181121525,-0.09052374355422152,0.09052374355422152,0.16666666666666674,0.05389632587304491,0,0,0,0,2.0,0.5449438202247191,0,0,,0,0,,0,0,,0.6572880620356025,0.651378193951287,0.651378193951287,99.1008709231668,2.999969,4.200073,94056.0
8,376,129,255,18,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle3.hdf5,942.0,1.0591549295774647,False,1.0573770491803278,False,1.0450819672131149,False,1.0,False,0.14366197183098595,0.14366197183098595,0.04788732394366215,0.984507042253521,0.06061249237000004,0.09836065573770503,0.09836065573770503,0.004098360655737825,1.0163934426229506,0.04588211919056469,0.1106557377049181,0.1106557377049181,0.026639344262295136,0.992827868852459,0.04543761849607267,0.11111111111111116,0.11111111111111116,-0.02777777777777755,0.9861111111111112,0.06990587440065509,1.0404034864927267,0.027652898285044712,1.0,1.0591549295774647,0.05915492957746471,0.026579013473190652,0.11594736909618006,0.11594736909618006,0.14366197183098595,0.019397443522110553,0,0,0,0,2.0,0.5842696629213483,0,0,,0,0,,0,0,,0.6620987329400375,0.6601349203498337,0.6601349203498337,99.7033958090384,2.976612,4.200266,71705.0
10,376,132,254,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle5.hdf5,942.0,1.0591549295774647,False,1.0819672131147542,False,1.040983606557377,False,0.8888888888888888,False,0.0,0.0,0.07183098591549315,0.9994366197183098,0.06220825580148602,0.024590163934426368,0.024590163934426368,0.06147540983606576,1.0295081967213116,0.04938482075866262,-0.004098360655737876,0.004098360655737876,0.0532786885245904,1.0024590163934426,0.04485786325413812,-0.11111111111111116,0.11111111111111116,1.6427249470549956e-16,0.9666666666666666,0.07453559924999298,1.0177486595346212,0.08752752914903651,0.8888888888888888,1.0819672131147542,0.19307832422586535,0.08600112447120256,-0.022654826958105667,0.03494990892531885,0.11111111111111116,0.06031635211318544,0,0,0,0,2.0,0.5842696629213483,0,0,,0,0,,0,0,,0.6616160441820849,0.6589297755617513,0.6589297755617513,99.59398375478416,2.96503,4.202196,52469.0
12,376,139,261,16,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle7.hdf5,941.0,1.0591549295774647,False,1.139344262295082,False,1.069672131147541,False,0.8888888888888888,False,0.0,0.0,8.378528922508307e-17,1.0112676056338028,0.06772290298688058,0.05737704918032782,0.05737704918032782,0.040983606557377185,1.0573770491803278,0.06531712069880852,0.028688524590164022,0.028688524590164022,0.012295081967213272,1.0163934426229508,0.05382756367444137,0.0,0.0,-0.05555555555555564,0.9444444444444444,0.0785674201318386,1.0392650529772443,0.10637831304302287,0.8888888888888888,1.139344262295082,0.25045537340619317,0.10235917462852677,0.02151639344262296,0.02151639344262296,0.05737704918032782,0.027467171124157228,0,0,0,0,2.0,0.5617977528089888,0,0,,0,0,,0,0,,0.6624457646054849,0.6561075442300461,0.6561075442300461,99.04320916306057,2.990896,4.20181,47321.0
14,363,131,254,19,D://NMC_degradation_3_160623_Halfthedata\2_c2_x14_200623chopped\2_c2_x14_200623_cycle9.hdf5,942.0,1.0225352112676056,False,1.0737704918032789,False,1.040983606557377,False,1.0555555555555556,False,-0.036619718309859106,0.036619718309859106,-0.01830985915492928,1.0230985915492958,0.06220825580148599,-0.06557377049180313,0.06557377049180313,-0.004098360655737518,1.062295081967213,0.06547123130398665,-0.028688524590164022,0.028688524590164022,8.094889793240983e-17,1.0262295081967214,0.05269223262172186,0.16666666666666674,0.16666666666666674,0.0833333333333334,0.9444444444444444,0.0785674201318386,1.0482112162959543,0.021746351880782274,1.0225352112676056,1.0737704918032789,0.05123528053567328,0.02074615453708555,0.00894616331871012,0.07438717001462325,0.16666666666666674,0.10633531400565416,0,0,0,0,2.0,0.5842696629213483,0,0,,0,0,,0,0,,0.6502804000705293,0.6530329238290579,0.6530329238290579,100.42328259597396,2.999776,4.200073,94417.0
26,382,129,250,18,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle1.hdf5,927.0,1.076056338028169,False,1.0573770491803278,False,1.024590163934426,False,1.0,False,0.05352112676056331,0.05352112676056331,0.008450704225352233,1.0552112676056338,0.01967802726374376,-0.01639344262295106,0.01639344262295106,-0.04098360655737685,1.0819672131147542,0.033795947750964804,-0.01639344262295106,0.01639344262295106,-0.022540983606557378,1.044262295081967,0.01623902684931092,-0.05555555555555558,0.05555555555555558,0.05555555555555569,0.9666666666666666,0.07453559924999298,1.0395058877857306,0.033855121770390066,1.0,1.076056338028169,0.07605633802816891,0.03256847524212243,-0.008705328510223598,0.03546589189050525,0.05555555555555558,0.04540664307854463,0,0,0,0,12.0,0.46629213483146065,0,0,,0,0,,0,0,,0.6549194748884893,0.6474638568058328,0.6474638568058328,98.86159774315372,2.999969,4.200073,93602.0
28,381,130,250,19,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle3.hdf5,934.0,1.0732394366197182,False,1.0655737704918034,False,1.024590163934426,False,1.0555555555555556,False,-0.0028169014084507005,0.0028169014084507005,0.02535211267605647,1.0580281690140845,0.02132303196369035,0.00819672131147553,0.00819672131147553,-0.004098360655737671,1.0836065573770493,0.03247805369862159,0.0,0.0,-0.008196721311475513,1.0401639344262295,0.01841984020839719,0.05555555555555558,0.05555555555555558,2.3125063820860983e-16,0.9777777777777776,0.08425417160057279,1.0547397316503757,0.021364124786451257,1.024590163934426,1.0732394366197182,0.04864927268529229,0.020255352240331665,0.015233843864645102,0.016642294568870453,0.05555555555555558,0.027284066970302223,0,0,0,0,2.0,0.5224719101123596,0,0,,0,0,,0,0,,0.6576108009653199,0.6496160466220149,0.6496160466220149,98.7842726531302,2.980858,4.200073,81639.0
30,387,127,252,18,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle5.hdf5,933.0,1.0901408450704226,False,1.040983606557377,False,1.0327868852459017,False,1.0,False,0.016901408450704425,0.016901408450704425,0.0070422535211269914,1.0642253521126759,0.025771184251228253,-0.024590163934426368,0.024590163934426368,-0.008196721311475159,1.0754098360655737,0.03774053912531619,0.008196721311475752,0.008196721311475752,0.004098360655738153,1.0385245901639342,0.01869140041146152,-0.05555555555555558,0.05555555555555558,1.4218392530957516e-16,1.0,0.06804138174397716,1.0409778342184253,0.03725263396350536,1.0,1.0901408450704226,0.09014084507042264,0.035786193268442595,-0.013761897431950443,0.02631096231304053,0.05555555555555558,0.03309773647635053,0,0,0,0,2.0,0.5,0,0,,0,0,,0,0,,0.6564992465395547,0.6500891617769337,0.6500891617769337,99.02359602141068,2.992055,4.201423999999999,69357.0
