feature,pre_event_distance_bin,n_rows,n_sources,median_value,median_source_centered_value
transport_mechanism_score,pre_17_32,22,4,0.433675572663835,-5.551115123125783e-17
transport_mechanism_score,pre_1_2,8,4,0.724789169953479,0.08042622686589801
transport_mechanism_score,pre_3_4,8,4,0.6287805294296116,-0.035419163379854346
transport_mechanism_score,pre_5_8,16,4,0.6285036470974918,0.012418461771844636
transport_mechanism_score,pre_9_16,22,6,0.41721945160800966,-0.025680844205097086
transport_raw_score,pre_17_32,22,4,0.494921875,0.011328124999999967
transport_raw_score,pre_1_2,8,4,0.8783203125,0.04091796874999998
transport_raw_score,pre_3_4,8,4,0.7408203124999999,-0.05410156250000003
transport_raw_score,pre_5_8,16,4,0.8125,0.03330078125000008
transport_raw_score,pre_9_16,22,6,0.34160156249999996,-0.03125000000000003
transport_source_residual_score,pre_17_32,22,4,0.5119140625,-5.551115123125783e-17
transport_source_residual_score,pre_1_2,8,4,0.7837890625,0.13925781249999997
transport_source_residual_score,pre_3_4,8,4,0.6195312500000001,-0.10585937499999998
transport_source_residual_score,pre_5_8,16,4,0.6041015624999999,0.13906249999999992
transport_source_residual_score,pre_9_16,22,6,0.3560546875,-0.05478515624999997
front_kinetic_score,pre_17_32,22,4,0.452002427184466,-0.007782160194174742
front_kinetic_score,pre_1_2,8,4,0.5806280339805826,0.0
front_kinetic_score,pre_3_4,8,4,0.6723528519417477,-0.012515169902912626
front_kinetic_score,pre_5_8,16,4,0.6119538834951457,0.06580703883495154
front_kinetic_score,pre_9_16,22,6,0.4419599514563106,-0.00717157160194179
observable_tail_score,pre_17_32,22,4,0.39316406249999997,-0.003710937500000011
observable_tail_score,pre_1_2,8,4,0.6705078125,0.04726562500000003
observable_tail_score,pre_3_4,8,4,0.5904296875,-0.029394531249999967
observable_tail_score,pre_5_8,16,4,0.626953125,-0.009667968750000089
observable_tail_score,pre_9_16,22,6,0.5765625000000001,0.006152343749999956
qc_review_score,pre_17_32,22,4,0.3763671875,-0.0013671875000000056
qc_review_score,pre_1_2,8,4,0.5862630208333333,0.012337239583333298
qc_review_score,pre_3_4,8,4,0.5927734375,0.05498046874999993
qc_review_score,pre_5_8,16,4,0.6208333333333333,0.006087239583333293
qc_review_score,pre_9_16,22,6,0.35175781249999993,-0.016406249999999983
abs_radial_flow_mean,pre_17_32,22,4,4.4291296905286117e-07,1.0242120935608829e-08
abs_radial_flow_mean,pre_1_2,8,4,8.245374934786448e-07,7.09255356026403e-08
abs_radial_flow_mean,pre_3_4,8,4,5.924039741861332e-07,-8.595531594632883e-08
abs_radial_flow_mean,pre_5_8,16,4,7.60539649978413e-07,7.581612000245185e-08
abs_radial_flow_mean,pre_9_16,22,6,3.5358813927324463e-07,-2.366834427279771e-08
abs_radial_flow_q90,pre_17_32,22,4,7.11899531700303e-07,7.853158003303589e-09
abs_radial_flow_q90,pre_1_2,8,4,1.5768515352593934e-06,2.509786876668991e-07
abs_radial_flow_q90,pre_3_4,8,4,1.1256783959903888e-06,-1.372265060354344e-07
abs_radial_flow_q90,pre_5_8,16,4,1.0677951192728568e-06,1.2791543054150725e-07
abs_radial_flow_q90,pre_9_16,22,6,5.417443225995876e-07,-4.480947777745075e-08
particle_flow_mag_mean,pre_17_32,22,4,7.444748345005177e-07,2.6469779601696886e-23
particle_flow_mag_mean,pre_1_2,8,4,1.2316034306997387e-06,5.536532481725056e-08
particle_flow_mag_mean,pre_3_4,8,4,8.455778340104386e-07,-1.5177130999413877e-07
particle_flow_mag_mean,pre_5_8,16,4,1.1125634872956727e-06,1.5166166528040997e-07
