visual_rank,roi_id,cohort_role,cycleNo,event_reference_cycle,precursor_review_tier,precursor_informed_review_score,precursor_review_reason,auto_review_flags,manual_qc_status,copied_primary_qc_png,copied_control_balanced_qc_png,copied_roi_preview_path,copied_rollout_preview_path,copied_front_tracking_plot_path,copied_front_crop_preview_path
1,cycle156_rank7_obj27,event,156.0,156.0,high,5.527327255269491,event-cycle ROI;high precursor-context cycle;event-enriched residual mode;kinetic proxy available,none;already_in_primary_qc,pending,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/01_cycle156_rank7_obj27/primary_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/01_cycle156_rank7_obj27/control_balanced_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/01_cycle156_rank7_obj27/roi_preview_path.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/01_cycle156_rank7_obj27/rollout_preview_path.png,,
2,cycle60_rank5_obj18,event,60.0,60.0,high,5.094177650128833,event-cycle ROI;high precursor-context cycle;large front-direction residual;kinetic proxy available,fragmented_q70_mask;threshold_sign_unstable,pending,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/02_cycle60_rank5_obj18/control_balanced_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/02_cycle60_rank5_obj18/roi_preview_path.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/02_cycle60_rank5_obj18/rollout_preview_path.png,,
3,cycle156_rank6_obj3,event,156.0,156.0,high,5.085785158845422,event-cycle ROI;high precursor-context cycle;kinetic proxy available,diffusion_ci_crosses_zero;already_in_primary_qc,pending,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/03_cycle156_rank6_obj3/primary_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/03_cycle156_rank6_obj3/control_balanced_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/03_cycle156_rank6_obj3/roi_preview_path.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/03_cycle156_rank6_obj3/rollout_preview_path.png,,
4,cycle156_rank5_obj4,event,156.0,156.0,high,5.054387158039447,event-cycle ROI;high precursor-context cycle;event-enriched residual mode;kinetic proxy available,fragmented_q70_mask;diffusion_ci_crosses_zero;already_in_primary_qc,pending,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/04_cycle156_rank5_obj4/primary_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/04_cycle156_rank5_obj4/control_balanced_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/04_cycle156_rank5_obj4/roi_preview_path.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/04_cycle156_rank5_obj4/rollout_preview_path.png,,
5,cycle156_rank2_obj2,event,156.0,156.0,high,4.9263306130924,event-cycle ROI;high precursor-context cycle;event-enriched residual mode;kinetic proxy available,none;already_in_primary_qc,pending,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/05_cycle156_rank2_obj2/primary_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/05_cycle156_rank2_obj2/control_balanced_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/05_cycle156_rank2_obj2/roi_preview_path.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/05_cycle156_rank2_obj2/rollout_preview_path.png,,
6,cycle156_rank1_obj1,event,156.0,156.0,high,4.8344916484313964,event-cycle ROI;high precursor-context cycle;kinetic proxy available,none;already_in_primary_qc,pending,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/06_cycle156_rank1_obj1/primary_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/06_cycle156_rank1_obj1/control_balanced_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/06_cycle156_rank1_obj1/roi_preview_path.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/06_cycle156_rank1_obj1/rollout_preview_path.png,,
7,cycle156_rank8_obj10,event,156.0,156.0,high,4.741332262445839,event-cycle ROI;high precursor-context cycle;event-enriched residual mode;kinetic proxy available,none;already_in_primary_qc,pending,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/07_cycle156_rank8_obj10/primary_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/07_cycle156_rank8_obj10/control_balanced_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/07_cycle156_rank8_obj10/roi_preview_path.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/07_cycle156_rank8_obj10/rollout_preview_path.png,,
8,cycle60_rank3_obj9,event,60.0,60.0,high,4.631996975432886,event-cycle ROI;high precursor-context cycle;event-enriched residual mode;large front-direction residual;kinetic proxy available,fragmented_q70_mask;already_in_primary_qc,pending,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/08_cycle60_rank3_obj9/primary_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/08_cycle60_rank3_obj9/control_balanced_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/08_cycle60_rank3_obj9/roi_preview_path.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/08_cycle60_rank3_obj9/rollout_preview_path.png,,
9,cycle60_rank2_obj2,event,60.0,60.0,high,4.176067818759451,event-cycle ROI;high precursor-context cycle;event-enriched residual mode;large front-direction residual;kinetic proxy available,fragmented_q70_mask;already_in_primary_qc,pending,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/09_cycle60_rank2_obj2/primary_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/09_cycle60_rank2_obj2/control_balanced_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/09_cycle60_rank2_obj2/roi_preview_path.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/09_cycle60_rank2_obj2/rollout_preview_path.png,,
10,cycle62_rank2_obj2,control,62.0,60.0,high,4.145095096572958,high precursor-context cycle;large front-direction residual;kinetic proxy available,fragmented_q70_mask;threshold_sign_unstable,pending,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/10_cycle62_rank2_obj2/control_balanced_qc_png.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/10_cycle62_rank2_obj2/roi_preview_path.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/precursor_review_visual_bundle/assets/10_cycle62_rank2_obj2/rollout_preview_path.png,,
