feature,feature_group,mean_coefficient,mean_abs_coefficient,median_coefficient,positive_fraction,folds
stage_prefix_step_max,stage_drift,-0.875944818541484,0.875944818541484,-0.7968520821718967,0.0,4
stage_prefix_net_drift,stage_drift,0.6235282266962646,0.6825368034645789,0.6406607021074013,0.75,4
stage_prefix_step_mean,stage_drift,0.44140923673926014,0.44140923673926014,0.4508870835811926,1.0,4
average_intensity_prefix_last,mean_intensity_trace,-0.41270184093784357,0.41270184093784357,-0.44904639174510175,0.0,4
high_fraction_prefix_first,bright_dark_fraction,-0.38730721885361064,0.38730721885361064,-0.4742323006847118,0.0,4
prefix_temporal_absdiff_p95,temporal_change_energy,0.28792924317949653,0.3719807332050651,0.36233335187890076,0.75,4
average_intensity_prefix_std,mean_intensity_trace,0.3314655633943077,0.3314655633943077,0.3030770174258348,1.0,4
average_intensity_prefix_mean,mean_intensity_trace,-0.30921218630044023,0.30921218630044023,-0.2934158963366059,0.0,4
average_intensity_prefix_first,mean_intensity_trace,-0.305237044817237,0.305237044817237,-0.33937353167551715,0.0,4
average_intensity_prefix_slope,mean_intensity_trace,0.2507262289441256,0.2507262289441256,0.11561242222431461,1.0,4
low_fraction_prefix_absdiff_mean,temporal_change_energy,0.23293260624836032,0.23293260624836032,0.23552077200009508,1.0,4
low_fraction_prefix_absdiff_sum,temporal_change_energy,0.23293260624835022,0.23293260624835022,0.23552077200008564,1.0,4
prefix_frame_delta_p95_abs,temporal_change_energy,-0.1254876049398145,0.21218186446852053,-0.0922363604684422,0.5,4
high_fraction_prefix_slope,bright_dark_fraction,-0.14811871472390942,0.19687231425223528,-0.21166431234935618,0.25,4
prefix_frame_delta_abs_mean,temporal_change_energy,-0.05099961779434009,0.19105765856343981,-0.00459262857276805,0.5,4
low_fraction_prefix_first,bright_dark_fraction,0.1736093198709199,0.1736093198709199,0.09387572622448279,1.0,4
average_intensity_prefix_delta,mean_intensity_trace,0.16048882352104155,0.16048882352104155,0.16968191024064194,1.0,4
low_fraction_prefix_slope,bright_dark_fraction,0.1141272465758949,0.15407750319189378,0.09505201555118517,0.75,4
low_fraction_prefix_std,bright_dark_fraction,-0.019977788390063454,0.1433708529524033,0.025967687870821075,0.75,4
prefix_spatial_std_first,frame_texture_level,-0.027657839983671467,0.13290860405466054,-0.07212582021500885,0.25,4
high_fraction_prefix_mean,bright_dark_fraction,0.03265835817947373,0.13026601526042658,0.07596390562351554,0.75,4
roi_norm_mean_prefix_slope,mean_intensity_trace,-0.08938414708342689,0.11994876002790024,-0.11073563611673105,0.25,4
roi_mean_prefix_std,mean_intensity_trace,0.11438940383646581,0.11733639771242838,0.12135681067716614,0.75,4
last_prefix_frame_mean,frame_texture_level,0.11487547831236988,0.11487547831236988,0.10997139086412466,1.0,4
roi_norm_mean_prefix_last,mean_intensity_trace,0.11487547831236988,0.11487547831236988,0.10997139086412466,1.0,4
low_fraction_prefix_mean,bright_dark_fraction,0.021268223783886417,0.11320547917705052,-0.04745347906759174,0.25,4
roi_mean_prefix_slope,mean_intensity_trace,-0.026138959635117663,0.1121582335280091,-0.07218428400167676,0.25,4
roi_norm_mean_prefix_mean,mean_intensity_trace,0.10792353396422673,0.10792353396422673,0.107064069574316,1.0,4
roi_mean_prefix_delta,mean_intensity_trace,0.10735535114488462,0.10735535114488462,0.11247098642928041,1.0,4
roi_norm_mean_prefix_delta,mean_intensity_trace,0.07028674536683309,0.09930358822439501,0.10038793248722337,0.75,4
prefix_frame_delta_mean,frame_texture_level,0.07028702431474912,0.09930349087601947,0.10038797485480686,0.75,4
prefix_temporal_absdiff_mean,temporal_change_energy,0.01135478639163701,0.09330215469692461,0.05795752739639254,0.75,4
prefix_spatial_std_last,frame_texture_level,0.09290312212133658,0.09290312212133658,0.08039057675540945,1.0,4
roi_norm_mean_prefix_std,mean_intensity_trace,0.05924438331096958,0.08956966898972814,0.08270888417011688,0.75,4
low_fraction_prefix_last,bright_dark_fraction,0.04029196390942208,0.08923512105989848,0.004067528826665879,0.5,4
low_fraction_prefix_delta,bright_dark_fraction,0.040132318111275295,0.0891290586711915,0.0038858569716579694,0.5,4
roi_mean_prefix_first,mean_intensity_trace,-0.03260539585492073,0.08871689652582844,-0.06550499431028256,0.25,4
roi_norm_mean_prefix_absdiff_sum,temporal_change_energy,0.04453038820563025,0.08763529071335492,0.08511770310790184,0.75,4
roi_norm_mean_prefix_absdiff_mean,temporal_change_energy,0.04453038820558469,0.0876352907133445,0.085117703107848,0.75,4
first_q30_threshold,bright_dark_fraction,0.0819291588044867,0.0819291588044867,0.08195805346987016,1.0,4
first_frame_mean,frame_texture_level,0.07973327299422478,0.07973327299422478,0.07119970848189106,1.0,4
roi_norm_mean_prefix_first,mean_intensity_trace,0.07973327299422478,0.07973327299422478,0.07119970848189106,1.0,4
first_q70_threshold,bright_dark_fraction,0.07696471201017054,0.07696471201017054,0.07517637729836531,1.0,4
high_fraction_prefix_std,bright_dark_fraction,0.06307041189452074,0.06643644870399089,0.07321216214161377,0.75,4
roi_mean_prefix_mean,mean_intensity_trace,0.05118628541422682,0.06518948854935537,0.06203101524698474,0.75,4
high_fraction_prefix_absdiff_mean,temporal_change_energy,0.06475790464043508,0.06475790464043508,0.06330510765818434,1.0,4
high_fraction_prefix_absdiff_sum,temporal_change_energy,0.06475790464042268,0.06475790464042268,0.06330510765816677,1.0,4
roi_mean_prefix_absdiff_mean,temporal_change_energy,0.039393018483027786,0.05430487504524692,0.05033529034242744,0.75,4
roi_mean_prefix_absdiff_sum,temporal_change_energy,0.03939301848302763,0.054304875045246885,0.05033529034242732,0.75,4
roi_mean_prefix_last,mean_intensity_trace,0.01534182944225251,0.0541414081366095,0.008094296441285079,0.75,4
average_intensity_prefix_absdiff_mean,temporal_change_energy,-0.023403170656057227,0.04967200906786835,0.010004715428935437,0.75,4
average_intensity_prefix_absdiff_sum,temporal_change_energy,-0.023403170656056946,0.04967200906786798,0.01000471542893535,0.75,4
high_fraction_prefix_delta,bright_dark_fraction,0.0009403031324175449,0.011397410279324383,-0.0032702133321517264,0.5,4
high_fraction_prefix_last,bright_dark_fraction,0.000595395150115265,0.011265495209656536,-0.0035913957061276215,0.5,4
