target,model,prefix_fraction,heldout_event_reference_cycle,n_train,n_test,roc_auc,balanced_accuracy,feature_set
is_event_roi,logistic_l2,0.25,60.0,38,14,0.0,0.08333333333333333,prefix_only
is_event_roi,logistic_l2,0.25,86.0,38,14,0.2708333333333333,0.35416666666666663,prefix_only
is_event_roi,logistic_l2,0.25,116.0,42,10,0.08333333333333333,0.25,prefix_only
is_event_roi,logistic_l2,0.25,156.0,38,14,0.5,0.5,prefix_only
is_event_roi,random_forest,0.25,60.0,38,14,0.16666666666666666,0.25,prefix_only
is_event_roi,random_forest,0.25,86.0,38,14,0.7708333333333334,0.6666666666666666,prefix_only
is_event_roi,random_forest,0.25,116.0,42,10,0.041666666666666664,0.20833333333333331,prefix_only
is_event_roi,random_forest,0.25,156.0,38,14,0.0,0.25,prefix_only
is_event_enriched_mode,logistic_l2,0.25,60.0,38,14,0.5416666666666667,0.5208333333333334,prefix_only
is_event_enriched_mode,logistic_l2,0.25,86.0,38,14,0.0,0.34615384615384615,prefix_only
is_event_enriched_mode,logistic_l2,0.25,116.0,42,10,0.33333333333333337,0.3888888888888889,prefix_only
is_event_enriched_mode,logistic_l2,0.25,156.0,38,14,0.2888888888888889,0.5,prefix_only
is_event_enriched_mode,random_forest,0.25,60.0,38,14,0.3958333333333333,0.5,prefix_only
is_event_enriched_mode,random_forest,0.25,86.0,38,14,0.3846153846153846,0.46153846153846156,prefix_only
is_event_enriched_mode,random_forest,0.25,116.0,42,10,1.0,0.5,prefix_only
is_event_enriched_mode,random_forest,0.25,156.0,38,14,0.8888888888888888,0.5,prefix_only
front_positive_residual_binary,logistic_l2,0.25,60.0,38,14,0.3111111111111111,0.37777777777777777,prefix_only
front_positive_residual_binary,logistic_l2,0.25,86.0,38,14,0.22916666666666669,0.375,prefix_only
front_positive_residual_binary,logistic_l2,0.25,116.0,42,10,0.875,0.7083333333333333,prefix_only
front_positive_residual_binary,logistic_l2,0.25,156.0,38,14,0.1333333333333333,0.1,prefix_only
front_positive_residual_binary,random_forest,0.25,60.0,38,14,0.6,0.7222222222222222,prefix_only
front_positive_residual_binary,random_forest,0.25,86.0,38,14,0.6041666666666667,0.5208333333333333,prefix_only
front_positive_residual_binary,random_forest,0.25,116.0,42,10,0.875,0.7916666666666667,prefix_only
front_positive_residual_binary,random_forest,0.25,156.0,38,14,0.0,0.1,prefix_only
is_event_roi,logistic_l2,0.25,60.0,38,14,0.0,0.1875,prefix_plus_context
is_event_roi,logistic_l2,0.25,86.0,38,14,0.0,0.0625,prefix_plus_context
is_event_roi,logistic_l2,0.25,116.0,42,10,0.41666666666666663,0.375,prefix_plus_context
is_event_roi,logistic_l2,0.25,156.0,38,14,0.5,0.5,prefix_plus_context
