target,feature_set,model,prefix_fraction,folds,mean_roc_auc,mean_balanced_accuracy
front_positive_residual_binary,prefix_only,random_forest,0.5,4,0.6906249999999999,0.4722222222222222
front_positive_residual_binary,prefix_plus_context,random_forest,0.25,4,0.5236111111111111,0.5857638888888889
front_positive_residual_binary,prefix_only,random_forest,0.25,4,0.5197916666666667,0.5336805555555556
front_positive_residual_binary,prefix_plus_context,random_forest,0.5,4,0.5059027777777777,0.4635416666666667
front_positive_residual_binary,prefix_only,logistic_l2,0.5,4,0.47638888888888886,0.4791666666666667
front_positive_residual_binary,prefix_only,random_forest,0.75,4,0.409375,0.5104166666666667
front_positive_residual_binary,prefix_only,logistic_l2,0.75,4,0.40694444444444444,0.46597222222222223
front_positive_residual_binary,prefix_only,logistic_l2,0.25,4,0.3871527777777778,0.3902777777777778
front_positive_residual_binary,prefix_plus_context,random_forest,0.75,4,0.35555555555555557,0.484375
front_positive_residual_binary,prefix_plus_context,logistic_l2,0.25,4,0.31631944444444443,0.20972222222222223
front_positive_residual_binary,prefix_plus_context,logistic_l2,0.5,4,0.27222222222222225,0.20555555555555555
front_positive_residual_binary,prefix_plus_context,logistic_l2,0.75,4,0.1701388888888889,0.23888888888888887
is_event_enriched_mode,prefix_only,random_forest,0.25,4,0.6673344017094016,0.4903846153846154
is_event_enriched_mode,prefix_plus_context,random_forest,0.25,4,0.6496260683760684,0.4903846153846154
is_event_enriched_mode,prefix_plus_context,random_forest,0.5,4,0.633573717948718,0.4807692307692308
is_event_enriched_mode,prefix_only,logistic_l2,0.75,4,0.6301549145299146,0.6013621794871795
is_event_enriched_mode,prefix_only,random_forest,0.5,4,0.6253739316239316,0.47115384615384615
is_event_enriched_mode,prefix_plus_context,logistic_l2,0.75,4,0.5819711538461538,0.4763621794871795
is_event_enriched_mode,prefix_plus_context,random_forest,0.75,4,0.5725160256410257,0.4903846153846154
is_event_enriched_mode,prefix_only,random_forest,0.75,4,0.5555021367521368,0.4903846153846154
is_event_enriched_mode,prefix_only,logistic_l2,0.5,4,0.43699252136752137,0.405849358974359
is_event_enriched_mode,prefix_plus_context,logistic_l2,0.5,4,0.4237980769230769,0.4282852564102564
is_event_enriched_mode,prefix_only,logistic_l2,0.25,4,0.29097222222222224,0.4389690170940171
is_event_enriched_mode,prefix_plus_context,logistic_l2,0.25,4,0.27534722222222224,0.44911858974358976
is_event_roi,prefix_only,random_forest,0.5,4,0.6822916666666666,0.375
is_event_roi,prefix_only,logistic_l2,0.75,4,0.5625,0.39583333333333337
is_event_roi,prefix_only,random_forest,0.75,4,0.5104166666666666,0.5677083333333334
is_event_roi,prefix_plus_context,random_forest,0.5,4,0.484375,0.46875
is_event_roi,prefix_only,logistic_l2,0.5,4,0.4791666666666667,0.5
is_event_roi,prefix_plus_context,random_forest,0.75,4,0.42708333333333337,0.4895833333333333
is_event_roi,prefix_plus_context,logistic_l2,0.5,4,0.2760416666666667,0.3645833333333333
is_event_roi,prefix_only,random_forest,0.25,4,0.24479166666666666,0.34375
is_event_roi,prefix_plus_context,logistic_l2,0.75,4,0.234375,0.3489583333333333
is_event_roi,prefix_plus_context,logistic_l2,0.25,4,0.22916666666666666,0.28125
is_event_roi,prefix_only,logistic_l2,0.25,4,0.21354166666666666,0.296875
is_event_roi,prefix_plus_context,random_forest,0.25,4,0.17187499999999997,0.375
